,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
P5231,0.1798105835914611,0.161137193441391,0.1982831209897995,0.2462012022733688,0.1901620328426361,0.1697012186050415,0.1944171637296676,0.244684487581253,0.2717191278934479,0.3774803876876831,0.4232926964759826,0.2484098076820373,0.3343983888626098,0.1976132541894912,0.1869983971118927,0.2020934373140335,0.2037998139858245,0.2513419985771179,0.2491736412048339,0.1809720396995544,0.3069145381450653,0.2172878086566925,0.28838711977005,0.3095389604568481,0.5244971513748169,0.5818832516670227,0.5096683502197266,0.4277936816215515,0.2169210016727447,0.18183633685112,0.3194012343883514,0.3072274029254913,0.2100026905536651,0.2728586196899414,0.5727916955947876,0.6363925933837891,0.220805287361145,0.3099073767662048,0.2529624700546264,0.2353354692459106,0.3115934431552887,0.4300517141819,0.4417232573032379,0.6112526655197144,0.3900027573108673,0.5195053219795227,0.5404971837997437,0.3828336894512176,0.3464755415916443,0.2938231527805328,0.22490194439888,0.2422738969326019,0.2452475577592849,0.398155927658081,0.2185784876346588,0.2324649393558502,0.1592979282140731,0.1870731562376022,0.4706848263740539,0.3458019495010376,0.5037401914596558,0.4582870900630951,0.4823915362358093,0.3540381491184234,0.381597489118576,0.4485910534858703,0.3212842345237732,0.3807182610034942,0.2198325842618942,0.2667613923549652,0.3112823069095611,0.3479255735874176,0.3214770257472992,0.3704710602760315,0.592171311378479,0.4457863867282867,0.3351557850837707,0.2514864504337311,0.3407334983348846,0.3459622859954834,0.1845227628946304,0.1983934640884399,0.2312770932912826,0.2233919948339462,0.183250293135643,0.2509160041809082,0.5628304481506348,0.5039568543434143,0.2699469327926636,0.1763741672039032,0.3618135452270508,0.3201749324798584,0.5033597350120544,0.3745808601379394,0.5073392987251282,0.5035997033119202,0.2103577852249145,0.2140422463417053,0.3730973601341247,0.3585557639598846,0.9613560438156128,0.4708737730979919,0.6684228777885437,0.6166158318519592,0.6488994359970093,0.6797546744346619,,0.8815343379974365,0.6610175967216492,0.5771528482437134,0.2162234783172607,0.3976713716983795,0.5457924008369446,0.4939142167568207,0.5978995561599731,0.6489520072937012
P5209,0.1762255877256393,0.1318550854921341,0.2307435125112533,0.1671296209096908,0.1670748144388198,0.1769335120916366,0.1089741662144661,0.1722585707902908,0.2631967067718506,0.1896970123052597,0.2111104279756546,0.2171729058027267,0.24835866689682,0.2576348781585693,0.197563886642456,0.2246069014072418,0.2465300858020782,0.3088732063770294,0.2091420143842697,0.2498661428689956,0.5217663049697876,0.3359994888305664,0.2054785639047622,0.2726853787899017,0.4493723213672638,0.3936347961425781,0.3031269013881683,0.2198054939508438,0.2212958633899688,0.2229785770177841,0.2034187018871307,0.2033255249261856,0.1946958899497985,0.186463713645935,0.7187349796295166,0.743565559387207,0.2054474502801895,0.3397578299045563,0.2521811425685882,0.3503561913967132,0.4873223304748535,0.5679536461830139,0.4429022967815399,0.427016019821167,0.3465528786182403,0.3365630209445953,0.4076088964939117,0.3419520556926727,0.2660646736621856,0.2834844291210174,0.1869675815105438,0.2492808252573013,0.2638140320777893,0.2955622375011444,0.2330062538385391,0.3032607138156891,0.1968210786581039,0.1673904210329055,0.1539148539304733,0.2466079592704773,0.2080021500587463,0.2855851650238037,0.3888469934463501,0.3651160597801208,0.5604144334793091,0.3369697630405426,0.4818271398544311,0.4334657192230224,0.2586163580417633,0.2680251598358154,0.2351445406675338,0.2427698522806167,0.3872703313827514,0.3447853624820709,0.6015213131904602,0.3984391689300537,0.2030132263898849,0.2655216753482818,0.419981449842453,0.4155665934085846,0.1964134722948074,0.1999138742685318,0.2217949777841568,0.2807917296886444,0.254669576883316,0.2437899708747863,0.5307133793830872,0.519014835357666,0.1821668595075607,0.1832208186388015,0.4109613597393036,0.4445613622665405,0.5884935855865479,0.6367096900939941,0.4695214629173279,0.3666185140609741,0.240873783826828,0.2339394986629486,0.1965865343809127,0.2291122078895568,0.3688097894191742,0.4647994637489319,0.8009219765663147,0.916715919971466,0.8520150780677795,0.919101059436798,1.0,1.0,0.574508547782898,0.5509899854660034,0.2134919762611389,0.2237944900989532,0.3885576128959656,0.6211762428283691,0.9044079780578612,0.7834430932998657
P5234,0.2237037271261215,0.3037126958370209,0.2714478373527527,0.277814507484436,0.2744675278663635,0.2537181377410888,0.2297681719064712,0.3336846232414245,0.2566532492637634,0.2218736708164215,0.4070985317230224,0.4257697761058807,0.257253348827362,0.3549674153327942,0.2643654644489288,0.2849557399749756,0.2937264144420624,0.3279166221618652,0.3045868277549743,0.4109694063663482,0.2719220519065857,0.3594972789287567,0.431613564491272,0.3169588148593902,0.5255033373832703,0.4304633438587188,0.5102907419204712,0.4430781900882721,0.2827301323413849,0.2965108752250671,0.3678225874900818,0.3219015300273895,0.3341152369976043,0.3194752037525177,0.7003136277198792,0.6923920512199402,0.3383626937866211,0.3085253238677978,0.2896252870559692,0.3251004517078399,0.4098533093929291,0.3735364079475403,0.2505557835102081,0.3469763398170471,0.3202509880065918,0.5077522397041321,0.2960041761398315,0.2531259953975677,0.4155401885509491,0.3393062353134155,0.2315055131912231,0.377612441778183,0.5155419111251831,0.418411910533905,0.4402931630611419,0.429638147354126,0.3205717206001282,0.2510530352592468,0.2981509864330292,0.4208632111549377,0.2289360016584396,0.4885145723819732,0.3819393813610077,0.4779179692268371,0.7181388139724731,0.4613402783870697,0.3724980652332306,0.4146642088890075,0.316719651222229,0.4662380516529083,0.3476455211639404,0.360809713602066,0.5260597467422485,0.5298775434494019,0.6612781286239624,0.5905013680458069,0.28697469830513,0.2917893230915069,0.5185486674308777,0.478704571723938,0.3218181729316711,0.2696468532085418,0.2410839796066284,0.3084383904933929,0.3675923645496368,0.2913829982280731,0.6169355511665344,0.4129678606986999,0.3727677166461944,0.4934656322002411,,,,,0.6148773431777954,0.5536550283432007,0.3406326472759247,0.4236362278461456,0.5759317278862,0.8143531680107117,,,,,,,,,0.947470486164093,0.5368087291717529,0.3679070174694061,0.6746176481246948,,,,
P5203,0.2402250915765762,0.2371005862951278,0.2122602760791778,0.202282041311264,0.2950379848480224,0.2893927097320556,0.1678297370672226,0.2193093746900558,0.2940680384635925,0.2508655488491058,0.4290908575057983,0.2539860308170318,0.5295971035957336,0.5789921283721924,0.3531011641025543,0.331720769405365,0.2904922068119049,0.4139844477176666,0.1928058415651321,0.2141520380973816,0.3653587698936462,0.4138301610946655,0.3134238421916961,0.2676220238208771,0.4970881044864654,0.4116221070289612,0.3024055659770965,0.3505944907665252,0.2315900027751922,0.2780891954898834,0.2409652173519134,0.2893011271953583,0.2515483498573303,0.2302312701940536,0.502159059047699,0.4843585789203644,0.392181932926178,0.4153323173522949,0.3840985000133514,0.5271201133728027,0.6149306297302246,0.6096092462539673,0.4134568572044372,0.3758368790149688,0.3385353684425354,0.3092062175273895,0.3939235210418701,0.2788257002830505,0.2467659264802932,0.2678558528423309,0.1851378977298736,0.2617516815662384,0.3121867477893829,0.2728734016418457,0.2626954317092895,0.2547766268253326,0.2077238410711288,0.2190178781747818,0.2321501970291137,0.2083956152200698,0.3854338526725769,0.4851816892623901,0.2605063319206238,0.2789395451545715,0.4127971231937408,0.4544788897037506,0.2697966694831848,0.1951938718557357,0.1753076463937759,0.352165549993515,0.3044478893280029,0.3024790287017822,0.3748693466186523,0.3241032063961029,0.6586188673973083,0.2834970951080322,0.2502073347568512,0.2291427552700042,0.4465706050395965,0.4416333734989166,0.3621416389942169,0.2813321650028229,0.3057391345500946,0.4317071437835693,0.2724082171916961,0.2584033012390136,0.7615731954574585,0.7992734313011169,0.1862481385469436,0.1479749083518982,0.3478949964046478,0.3118003308773041,0.7082833647727966,0.5792365670204163,0.3319966495037079,0.447683185338974,0.3926039338111877,0.3841481506824493,0.2984698116779327,0.287152886390686,0.999999701976776,0.2863016724586487,0.8816404938697815,0.8949297666549683,0.8253048062324524,0.8634862303733826,0.3078098595142364,0.5116758942604065,0.7513039708137512,0.5610741972923279,0.2902617454528808,0.330757200717926,0.4357522130012512,0.709219217300415,0.8825641870498657,0.8769914507865906
P5206,0.2378371804952621,0.4215024709701538,0.2336822748184204,0.1960963308811187,0.19723941385746,0.264597088098526,0.1515362560749054,0.2133928090333938,0.1889168471097946,0.2275298833847046,0.3578688204288482,0.41392982006073,0.2563117444515228,0.2988698780536651,0.2840448915958404,0.234750285744667,0.3775053024291992,0.3381310105323791,0.4226411581039428,0.3085529208183288,0.2766481339931488,0.1964219212532043,0.398761123418808,0.2881141602993011,0.3238832950592041,0.3301336467266083,0.272165298461914,0.2439288198947906,0.3802179098129272,0.4074279069900512,0.3579814434051513,0.3038029670715332,0.2931581735610962,0.2155426144599914,0.6246525049209595,0.604372501373291,0.2891991734504699,0.3358744382858276,0.2239438593387603,0.1932404637336731,0.3345892429351806,0.3718777596950531,0.5615832209587097,0.5257951617240906,0.5009661316871643,0.4037215709686279,0.4739745557308197,0.5031766891479492,0.357557088136673,0.4162103533744812,0.2751513123512268,0.48662269115448,0.2851794064044952,0.3578192293643951,0.4013082385063171,0.3568677604198456,0.2867768704891205,0.4408002197742462,0.3207623362541199,0.3669323623180389,0.300184041261673,0.4006538093090057,0.3580110967159271,0.3428121507167816,0.4689172506332397,0.3985433876514435,0.3736054301261902,0.323144793510437,0.2794470191001892,0.2316920608282089,0.2862274646759033,0.3542309403419494,0.6270203590393066,0.6341692805290222,0.57023024559021,0.6613888144493103,0.4487416446208954,0.5725923180580139,0.5529059171676636,0.6510316133499146,0.3840761482715606,0.3913464546203613,0.233213797211647,0.3912555873394012,0.2829743027687073,0.271799623966217,0.2687731683254242,0.2884222269058227,0.1560301929712295,0.1701819002628326,0.304167091846466,0.3609019815921783,0.4368444085121155,0.6627109050750732,0.4275427460670471,0.4735394120216369,0.2818794250488281,0.2391548156738281,0.4034891724586487,0.5004544854164124,0.6964796781539917,0.7755193114280701,0.5339269042015076,0.5648010969161987,0.5081376433372498,0.5934358239173889,0.6840752363204956,0.6751212477684021,0.5048331022262573,0.4477561414241791,0.2829906642436981,0.5156372785568237,0.4645795524120331,0.5341721177101135,0.4176970422267914,0.7179422974586487
P5247,0.2733787596225738,0.3076538443565368,0.2393892258405685,0.3319949805736542,0.2623627781867981,0.2888086140155792,0.2710312902927398,0.2893265187740326,0.3103473782539367,0.3174411654472351,0.3717162013053894,0.2862766981124878,0.3855456709861755,0.3468135297298431,0.1603576838970184,0.2155887931585312,0.3354836106300354,0.4736465215682983,0.3185183107852936,0.3549807965755462,0.2354652732610702,0.4245509505271911,0.3743292093276977,0.2991548180580139,0.6681326031684875,0.4682342708110809,0.5403498411178589,0.4984462559223175,0.2884565889835357,0.3092941641807556,0.3778623044490814,0.3911539912223816,0.3049518465995788,0.33762127161026,0.6449289321899414,0.5775548815727234,0.567714512348175,0.2200406938791275,0.2860573232173919,0.2526462376117706,0.461577445268631,0.2824468314647674,0.5147898197174072,0.4559154212474823,0.2817385792732239,0.569145679473877,0.3768913149833679,0.2694386839866638,0.387773722410202,0.3726465106010437,0.4396237432956695,0.3115556538105011,0.4288898110389709,0.4122363328933716,0.3234080076217651,0.2503760755062103,0.3283799588680267,0.3283745646476745,0.4384204447269439,0.4661641418933868,0.4565329253673553,0.3778396248817444,0.4124867916107178,0.3954551219940185,0.6054095029830933,0.422453761100769,0.458077073097229,0.3711552917957306,0.551841676235199,0.4476483166217804,0.3425654470920563,0.3723680675029754,0.3711020350456238,0.4004740118980407,0.5631545782089233,0.4768735468387604,0.2639555931091308,0.3185255229473114,0.5870493054389954,0.5553296804428101,0.3696995079517364,0.442258358001709,0.2189416885375976,0.3964172303676605,0.2762719988822937,0.2104435563087463,0.5105653405189514,0.4837549030780792,0.2192849814891815,0.2446858584880828,0.4283232092857361,0.3455811440944671,0.7003759741783142,0.4073937535285949,0.3951470851898193,0.549912691116333,0.1871588379144668,0.1892876774072647,0.4853091239929199,0.2481958717107772,0.9805352687835692,0.2714315056800842,0.755230724811554,0.7610350251197815,0.6313539147377014,0.73870450258255,0.7867100238800049,0.910786271095276,0.5887571573257446,0.5742696523666382,0.345469206571579,0.340831309556961,0.456772893667221,0.5698654651641846,0.556333065032959,0.5721673369407654
P5211,0.2462660670280456,0.250061959028244,0.3069728016853332,0.3429602980613708,0.2641797065734863,0.2094996869564056,0.2317418754100799,0.199013352394104,0.26569664478302,0.3957266807556152,0.3799620568752289,0.4373465180397033,0.3215989768505096,0.3416434228420257,0.2005590200424194,0.301244169473648,0.3268406987190246,0.3091776669025421,0.3058576583862304,0.2054523229598999,0.3503011465072632,0.2780526578426361,0.2518025040626526,0.2748729586601257,0.4617977142333984,0.5296396613121033,0.4047842919826507,0.3156622946262359,0.2579651474952698,0.3327983021736145,0.5631409883499146,0.4353957176208496,0.2704418897628784,0.2579843401908874,0.6079462766647339,0.6132965683937073,0.2649903893470764,0.2896265983581543,0.3488842248916626,0.236239954829216,0.3708991110324859,0.3488312065601349,0.3644673824310303,0.328921914100647,0.4086703956127167,0.4348803162574768,0.2351869046688079,0.2187835574150085,0.3601658642292022,0.3228205442428589,0.2426271289587021,0.3882732987403869,0.3207580149173736,0.4067271053791046,0.2561553120613098,0.2388554662466049,0.2220319807529449,0.2647677958011627,0.3505144119262695,0.3491915464401245,0.2898617088794708,0.3208150565624237,0.2657089531421661,0.3938517570495605,0.3892495334148407,0.3683397173881531,0.4638870060443878,0.4390528798103332,0.2501790225505829,0.1931573301553726,0.2427506744861602,0.2874206304550171,0.3798741996288299,0.382594496011734,0.5762636065483093,0.323289543390274,0.2447503209114074,0.2446603327989578,0.4613010287284851,0.522024393081665,0.223201721906662,0.3949865698814392,0.3468618094921112,0.6015024185180664,0.2334699034690857,0.2179022878408432,0.3007017970085144,0.2221913039684295,0.2703202366828918,0.1958664506673813,0.3402592241764068,0.2802038788795471,0.540623664855957,0.4012086689472198,0.5738411545753479,0.6376505494117737,0.3911404907703399,0.2863093614578247,0.2387933880090713,0.2369191199541092,0.9438117742538452,0.4316163063049316,0.6079056262969971,0.5899789333343506,0.6137362718582153,0.6486769914627075,0.7473180890083313,0.8790808320045471,0.4313578009605407,0.457059770822525,0.350093126296997,0.5262485146522522,0.4691213965415954,0.4787368476390838,0.5402727127075195,0.5714671611785889
P5229,0.2436309307813644,0.2483013868331909,0.2290950119495391,0.2767618894577026,0.2724796533584595,0.3073209524154663,0.2487719655036926,0.2806169688701629,0.2682199776172638,0.3567455410957336,0.4015381634235382,0.397531121969223,0.3467978239059448,0.4143203496932983,0.3601845800876617,0.2297563701868057,0.4715639650821686,0.4282993972301483,0.2020812332630157,0.2620538771152496,0.2719914019107818,0.7867586016654968,0.2672969996929168,0.3200663924217224,0.4328619539737701,0.4276292622089386,0.3712730705738067,0.4023459553718567,0.5493342280387878,0.3591379523277282,0.3492594361305237,0.309166818857193,0.411766767501831,0.3316217064857483,0.7614465355873108,0.7342923283576965,0.4545581936836242,0.4102083444595337,0.3452323675155639,0.3097379505634308,0.8195919990539551,0.8561375737190247,0.3607758581638336,0.2803810536861419,0.6042006611824036,0.5454616546630859,0.1858205795288086,0.4242921769618988,0.2599827647209167,0.2262371927499771,0.3088367283344269,0.3589842915534973,0.3974868357181549,0.2599895894527435,0.3239345252513885,0.3295120596885681,0.202902466058731,0.2111034095287323,0.2561591863632202,0.2902738153934479,0.3427742719650268,0.463640809059143,0.3294782638549804,0.434620589017868,0.4706685245037079,0.5843193531036377,0.4412500858306885,0.4579348266124725,0.310381531715393,0.2958821952342987,0.2772030830383301,0.3267910480499267,0.3437382280826568,0.3598470091819763,0.5957004427909851,0.3752481937408447,0.3553926050662994,0.2867206931114197,0.7239896059036255,0.4686397314071655,0.3781574368476867,0.3117242753505707,0.3684532046318054,0.4549398720264435,0.2215615063905716,0.2324139922857284,0.823936939239502,0.6419807076454163,0.3773746788501739,0.2416743040084839,0.6231686472892761,0.4021371304988861,0.9114525318145752,0.8634135127067566,0.4419304132461548,0.4593245685100555,0.3511255085468292,0.4927451312541961,0.4792198240756988,0.4919065535068512,0.9538228511810304,0.3690195381641388,0.654839813709259,0.3488633334636688,0.2171961516141891,0.4075016975402832,0.4459103047847748,0.4918651282787323,0.7814470529556274,0.5363379120826721,0.493104338645935,0.3104596436023712,0.5535827875137329,0.820357620716095,0.1987011581659317,0.7685649991035461
P5243,0.2216588407754898,0.3046748638153076,0.2353018373250961,0.2384830266237259,0.2624943852424621,0.2265422195196151,0.244155541062355,0.3707983493804931,0.2429020851850509,0.4519618451595306,0.399566113948822,0.4007857739925384,0.320250540971756,0.3059378266334533,0.2526411712169647,0.284721702337265,0.3115536272525787,0.4025003612041473,0.297762393951416,0.3253993988037109,0.276271253824234,0.3471741378307342,0.3966467678546905,0.3488163650035858,0.5036791563034058,0.4281761646270752,0.3526089191436767,0.300586462020874,0.3087354600429535,0.2894012928009033,0.4682423174381256,0.4370753169059753,0.3018608093261719,0.2516855895519256,0.7197689414024353,0.6229479908943176,0.3108996748924255,0.2905659973621368,0.3178514540195465,0.3149890899658203,0.4962660670280456,0.5097286701202393,0.2733422517776489,0.2565392851829529,0.4096496701240539,0.3659385144710541,0.3091102242469787,0.2303382754325866,0.2516572475433349,0.2590227425098419,0.2473077923059463,0.2183684855699539,0.2810502350330353,0.4122142493724823,0.2622296810150146,0.2182711660861969,0.2380033880472183,0.3209649622440338,0.4007595777511596,0.4301743805408478,0.4626798927783966,0.5832734704017639,0.3350119292736053,0.3254186809062958,0.6146386861801147,0.369331419467926,0.293967992067337,0.3260464072227478,0.3436452746391296,0.3735697567462921,0.4465211629867553,0.446415513753891,0.5318121314048767,0.5590012669563293,0.5739820003509521,0.6399697065353394,0.4014898538589477,0.2978956997394562,0.4731891751289367,0.4245666265487671,0.2853115499019623,0.1898710429668426,0.2282467484474182,0.187155082821846,0.21677066385746,0.2547686100006103,0.484928697347641,0.3730961382389068,0.2756427228450775,0.3129313886165619,0.4906202554702759,0.6036500930786133,0.8889561891555786,0.4478857815265655,0.4045700132846832,0.2984752655029297,0.2944320738315582,0.2806757688522339,0.4453598260879516,0.3739373683929443,,,0.9991205334663392,0.9999996423721312,0.7776920795440674,0.5496205687522888,,,0.5741943120956421,0.3847663104534149,0.3441643118858337,0.4900121986865997,0.7440619468688965,0.7440656423568726,0.2776579856872558,0.7864908576011658
P5207,0.2715818583965301,0.252761036157608,0.3239806890487671,0.3808269500732422,0.270939290523529,0.7038246989250183,0.2290220111608505,0.3290295600891113,0.4386680126190185,0.7413267493247986,0.4682393670082092,0.3071959316730499,0.4189842045307159,0.4039299786090851,0.3118966221809387,0.6425793170928955,0.4486272037029266,0.4315745830535888,0.3802472054958343,0.2636715769767761,0.3170223534107208,0.4304467141628265,0.3204435110092163,0.3184615969657898,0.391850858926773,0.5347958207130432,0.3460377752780914,0.3638036251068115,0.5298527479171753,0.4358806610107422,0.3372102677822113,0.3106358647346496,0.2966169416904449,0.2946859300136566,0.6812251806259155,0.6284118294715881,0.2840703427791595,0.3992748558521271,0.3022095561027527,0.3586078286170959,0.5178817510604858,0.5461258888244629,0.4413495063781738,0.3827806711196899,0.4384261965751648,0.4196355938911438,0.3349816501140594,0.4693436026573181,0.2959669530391693,0.4079356789588928,0.3763231635093689,0.2984130978584289,0.3592014014720917,0.5292401909828186,0.3056011795997619,0.3812732100486755,0.3246873617172241,0.291092038154602,0.3743269741535187,0.4109825193881988,0.4343898594379425,0.6328490376472473,0.3175986707210541,0.382841557264328,0.5153753757476807,0.540863037109375,0.3285268545150757,0.3362466990947723,0.4352295696735382,0.4904693365097046,0.4170653522014618,0.3550018668174743,0.541980504989624,0.5918010473251343,0.6786906719207764,0.6268662214279175,0.3291151821613312,0.3945890963077545,0.605055570602417,0.6178162097930908,0.2935984432697296,0.4012837409973144,0.3253193497657776,0.4128234088420868,0.2781582474708557,0.2509901821613312,0.652174711227417,0.6500906944274902,0.3212511837482452,0.3023259043693542,0.3424498736858368,0.3437273204326629,0.3313631117343902,0.5407243371009827,0.7077029347419739,0.6644275784492493,0.4555107951164245,0.5243685245513916,0.4461784362792969,0.3192134797573089,0.9531434774398804,0.390160471200943,0.8470798134803772,0.8529810905456543,0.8381467461585999,0.7728472352027893,0.2722060680389404,0.999706208705902,0.8035976886749268,0.6398414373397827,0.4795279502868652,0.5324156880378723,0.5228842496871948,0.6724420785903931,0.7295319437980652,0.8395466804504395
