,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
P5259,0.2303487062454223,0.2496826499700546,0.3731227517127991,0.2896500527858734,0.2369431257247924,0.2849351763725281,0.2425325959920883,0.2194982767105102,0.3140897452831268,0.3079032301902771,0.4667707681655884,0.484097421169281,0.2723482251167297,0.3031977117061615,0.2751641869544983,0.2496901601552963,0.3984945118427276,0.5009382963180542,0.4020349085330963,0.4353094398975372,0.2747254371643066,0.3998506367206573,0.3553519248962402,0.3936390876770019,0.4012860953807831,0.3643259704113006,0.4265689253807068,0.4242929816246032,0.3990488946437835,0.3830735385417938,0.5270854234695435,0.5033196210861206,0.3537096083164215,0.3239103555679321,0.632431149482727,0.528888463973999,0.4361641108989715,0.3244694173336029,0.2320653200149536,0.2559898793697357,0.3662022650241852,0.4846885204315185,0.5250073075294495,0.5138123035430908,0.4504977464675903,0.4293167293071747,0.4019797146320343,0.3484882116317749,0.4189705848693847,0.4372570514678955,0.4063843190670013,0.4455821812152862,0.4115035235881805,0.4363915920257568,0.2687727212905884,0.3118689060211181,0.4055757820606231,0.2924886047840118,0.4100605249404907,0.4072553515434265,0.3665163218975067,0.497045487165451,0.3200691342353821,0.4586827456951141,0.4923551082611084,0.4741493463516235,0.3200006186962127,0.3531697988510132,0.6264439225196838,0.6414438486099243,0.4230312407016754,0.3671583235263824,0.5067606568336487,0.595072329044342,0.6594812870025635,0.693228006362915,0.556313693523407,0.6003302335739136,0.5359866619110107,0.5732478499412537,0.4247816503047943,0.319765955209732,0.3242554664611816,0.2409074157476425,0.1948695331811905,0.2032782137393951,0.5471305251121521,0.5349531173706055,0.4183586537837982,0.2772339582443237,0.5662915706634521,0.4429771900177002,0.9223875403404236,0.8967443108558655,0.5184769630432129,0.3582731783390045,0.3518189787864685,0.3108972907066345,0.4794675707817077,0.4387705624103546,0.7134981751441956,,0.9459431171417236,0.9617377519607544,0.9407729506492616,0.9660009741783142,0.5686723589897156,0.9429559707641602,0.7613506317138672,0.6047750115394592,0.6346886157989502,0.4952483177185058,0.7468050718307495,0.935716450214386,0.8684048056602478,0.9186080694198608
P5232,0.2757340371608734,0.310641199350357,0.2148975282907486,0.1900577098131179,0.4029655158519745,0.3446884751319885,0.1994515657424926,0.2544491291046142,0.4246377646923065,0.5067986845970154,0.3645987212657928,0.3784597516059875,0.3506356477737427,0.252258151769638,0.3219140470027923,0.2640972137451172,0.3069167137145996,0.3991470634937286,0.291623055934906,0.3649775385856628,0.3506801724433899,0.4105165302753448,0.2329157441854477,0.2354303747415542,0.3293895125389099,0.3081624805927276,0.4198169410228729,0.5010055899620056,0.2690817713737488,0.273443341255188,0.445464164018631,0.4311152696609497,0.2996507883071899,0.2384493798017501,0.4943144619464874,0.5485471487045288,0.4435315430164337,0.650242030620575,0.3662275671958923,0.3508463203907013,0.6098476052284241,0.6876583695411682,0.2701782286167145,0.2259933650493621,0.4477920830249786,0.342771828174591,0.2259231060743332,0.3204584419727325,0.3596495985984802,0.3393550515174866,0.3713003396987915,0.3802899420261383,0.3128881752490997,0.5299107432365417,0.5347786545753479,0.4245723485946655,0.4090839326381683,0.3412962555885315,0.2403395175933838,0.3742988109588623,0.2807914912700653,0.450599193572998,0.3842195272445678,0.5186471939086914,0.4140742123126983,0.4201399683952331,0.216722771525383,0.3304453790187835,0.3035380840301513,0.5218314528465271,0.2843545079231262,0.2570968568325043,0.3790822029113769,0.4461758434772491,0.5077471137046814,0.379338800907135,0.2765090465545654,0.4432863295078277,0.3895399272441864,0.5747206211090088,0.3282299339771271,0.2853547632694244,0.2121506929397583,0.4633591175079345,0.2253171801567077,0.1795494705438614,0.4640039801597595,0.8375536799430847,0.3938169181346893,0.5551421046257019,0.5272552371025085,0.7932940125465393,0.9584962129592896,,0.5535117387771606,0.5472241640090942,0.4179853498935699,0.412769466638565,0.3820492923259735,0.4917201995849609,,,,,,,,,0.953316569328308,0.5672116875648499,0.4415681362152099,0.490604430437088,0.9333158731460572,0.5706470012664795,,0.5203419923782349
P5235,0.268912136554718,0.1951454579830169,0.1853260993957519,0.2602099776268005,0.2000039368867874,0.2464108914136886,0.1832890808582306,0.2831155657768249,0.2950131297111511,0.274167537689209,0.3578556180000305,0.2601114809513092,0.2575244605541229,0.2245637327432632,0.21365287899971,0.2047591209411621,0.2912151217460632,0.3517726957798004,0.2078502625226974,0.2276111245155334,0.3851359784603119,0.2554592490196228,0.3501359224319458,0.3534190058708191,0.4039624333381653,0.339693158864975,0.3230303227901459,0.3108852207660675,0.3461987674236297,0.2845202684402466,0.3281797170639038,0.4010677337646484,0.2551504373550415,0.2593409717082977,0.5994117856025696,0.6913410425186157,0.3738383650779724,0.3131176829338074,0.2336108386516571,0.2807453572750091,0.4816276431083679,0.4984738826751709,0.4618583619594574,0.6296990513801575,0.6221317648887634,0.4018792510032654,0.4259290099143982,0.3687458336353302,0.5147354006767273,0.4743974804878235,0.328816682100296,0.383371353149414,0.6662392616271973,0.4053686261177063,0.4147766232490539,0.3409057557582855,0.2050799429416656,0.3011002838611603,0.3740476965904236,0.3753707706928253,0.2755920588970184,0.3326837718486786,0.4479106068611145,0.3020447194576263,0.6083980202674866,0.5060930252075195,0.4180725216865539,0.4388329982757568,0.2779211699962616,0.3891685903072357,0.3701811730861664,0.4086790680885315,0.4546334445476532,0.5111575126647949,0.6561894416809082,0.5391164422035217,0.3453253209590912,0.3245960772037506,0.6483489274978638,0.5549821257591248,0.305007129907608,0.2457601279020309,0.420797735452652,0.3076609373092651,0.270327478647232,0.3014182150363922,0.3476886749267578,0.3590908646583557,0.1833146959543228,0.2339987605810165,0.3938558101654053,0.4462209045886993,0.3893124461174011,0.3526155352592468,0.393035888671875,0.3776465654373169,0.3574786186218261,0.4807811975479126,0.4684464335441589,0.4071035385131836,0.8644476532936096,0.3729085922241211,0.6815955638885498,0.538655698299408,0.6745285391807556,0.6843957901000977,0.3902800977230072,0.8454415798187256,0.5342112183570862,0.5885400772094727,0.5590224266052246,0.4212374985218048,0.549299418926239,0.5006873607635498,0.6286702156066895,0.6954834461212158
P5203,0.3706767857074737,0.2841597199440002,0.3549366295337677,0.2490822672843933,0.2832223773002624,0.2384078651666641,0.4187802076339721,0.2740422785282135,0.2474465370178222,0.2918591797351837,0.3115096092224121,0.3445248305797577,0.2756756544113159,0.3031307160854339,0.2626313865184784,0.2112681269645691,0.4923173785209656,0.4427833557128906,0.3322824239730835,0.3466647863388061,0.3742444515228271,0.3715540170669555,0.4102137684822082,0.2108810693025589,0.5769314765930176,0.4855318963527679,0.3657563030719757,0.3573207557201385,0.3708463907241821,0.4216436445713043,0.2991082072257995,0.2849647104740143,0.4257281124591827,0.422101765871048,0.6411916017532349,0.5644716024398804,0.4733433425426483,0.4310995638370514,0.3394095301628113,0.4019429683685303,0.5956700444221497,0.5916444063186646,0.461904913187027,0.4524929821491241,0.3269929587841034,0.4159775674343109,0.4257723391056061,0.4382864832878113,0.346867948770523,0.3797365427017212,0.3264408409595489,0.3188308775424957,0.5951905846595764,0.4783657789230346,0.5184973478317261,0.3778188824653625,0.2323359251022339,0.2870994806289673,0.3197334110736847,0.3474334180355072,0.4136849343776703,0.491869568824768,0.4930683076381683,0.4369995296001434,0.4591273367404938,0.4226995408535003,0.5193160176277161,0.4226568639278412,0.3318070769309997,0.3699475824832916,0.3837156891822815,0.3648083806037903,0.4126589000225067,0.5263657569885254,0.6647865176200867,0.4815846681594848,0.4457795321941376,0.4876098334789276,0.5492560863494873,0.41510009765625,0.3540608584880829,0.2145894467830658,0.3253739774227142,0.3281867206096649,0.2069637179374694,0.2157951146364212,0.5512250661849976,0.4562377631664276,0.4271327257156372,0.3834439218044281,0.6645121574401855,0.3801913261413574,0.7747578620910645,0.6898746490478516,0.9004697203636169,0.855323314666748,0.5712124705314636,0.6334500312805176,0.8397623300552368,0.6089799404144287,0.6000000238418579,,0.4358974397182464,0.6363636255264282,0.5064935088157654,0.3731343150138855,,0.8085106611251831,0.9357147812843324,0.8231434226036072,0.6527986526489258,0.7751667499542236,0.2824264168739319,0.389857679605484,0.4099352061748504,0.6394298076629639
P5258,0.3799756467342376,0.4132427871227264,0.2293491065502166,0.2516762614250183,0.3793315291404724,0.3055773675441742,0.2584159672260284,0.264124721288681,0.5009890794754028,0.5026475787162781,0.4025656580924988,0.6304956674575806,0.554275631904602,0.4343104660511017,0.3636073768138885,0.3853093683719635,0.5585423111915588,0.4107429385185241,0.6868604421615601,0.451657086610794,,,0.4296496212482452,0.2860901355743408,0.6825791001319885,0.7109572887420654,0.8705369830131531,0.6600669026374817,0.3109371662139892,0.3552958965301513,0.4902904033660888,0.4573516249656677,0.6120823621749878,0.3839735388755798,,,0.7270532846450806,0.70876544713974,0.6684244275093079,0.4300898611545563,,,0.3160260319709778,0.3267675638198852,0.3595028519630432,0.5141262412071228,0.3155817091464996,0.2300261110067367,0.51566082239151,0.4409809410572052,0.3940398693084717,0.3828679621219635,0.5068921446800232,0.876109778881073,0.2740962207317352,0.3048194050788879,0.3903535604476928,0.409597784280777,0.342347115278244,0.3159672319889068,0.2998273968696594,0.5372053384780884,0.4510171711444855,0.5015981197357178,0.6935259103775024,0.4114243388175964,0.363507330417633,0.3305401802062988,0.7658141255378723,,0.3584147989749908,0.5156839489936829,0.6058499813079834,0.7163194417953491,,,,,0.9593079686164856,,0.2689678966999054,0.3061370253562927,0.5204993486404419,0.7509835362434387,0.2655145823955536,0.2957192659378052,0.5435317158699036,0.7837710380554199,0.3240277171134949,0.2786513268947601,0.40518918633461,0.4416752159595489,0.5533351898193359,0.5396965146064758,,,0.7514113783836365,0.3978979587554931,0.3956640362739563,0.3657716810703277,0.496075838804245,0.9704695343971252,0.4208813607692718,0.5362904071807861,,,,,,,,,,,,
P52125,0.3752981126308441,0.3474412560462951,0.4083497822284698,0.2018958628177642,0.4513351023197174,0.264352947473526,0.2242343425750732,0.2269903719425201,0.3160119950771332,0.2755062580108642,0.3595423996448517,0.3731923997402191,0.2779889702796936,0.3247717916965484,0.2843871414661407,0.2374941855669021,0.4150417149066925,0.3067764341831207,0.2385677695274353,0.3410175442695617,0.3775217533111572,0.3428226113319397,0.3482521772384643,0.3552442491054535,0.435699850320816,0.3461448848247528,0.2722625136375427,0.3571220338344574,0.303113579750061,0.3340788185596466,0.3313973248004913,0.3373842239379883,0.3286530971527099,0.2712942063808441,0.5509340763092041,0.5811107158660889,0.2278145849704742,0.2450357675552368,0.3295045495033264,0.2952195107936859,0.4641152620315552,0.4061232507228851,0.3256740272045135,0.3524474501609802,0.5857268571853638,0.6539028286933899,0.4169427454471588,0.3268383741378784,0.5130947232246399,0.5406792759895325,0.2842649519443512,0.4763872921466827,0.3485491573810577,0.5862936973571777,0.334622174501419,0.4590173065662384,0.4020284116268158,0.4235521852970123,0.3995580077171325,0.4579374492168426,0.3906081616878509,0.4335208237171173,0.4553911983966827,0.3515361547470093,0.6107337474822998,0.3659241199493408,0.3094517886638641,0.3807826340198517,0.4803491234779358,0.687180757522583,0.4594786465167999,0.5311241149902344,0.6406537890434265,0.653330385684967,0.7250854969024658,0.6524859666824341,0.3826200366020202,0.4296023547649383,0.3743480145931244,0.4450937807559967,0.2734725177288055,0.213269293308258,0.3652761876583099,0.3181068301200866,0.2264824956655502,0.2650079131126404,0.2964028418064117,0.2339744418859481,0.2345011085271835,0.2640231251716614,0.2940431833267212,0.3411890268325805,0.3704980611801147,0.3791558742523193,0.6532585024833679,0.538832426071167,0.2516143023967743,0.2675236165523529,0.3685290217399597,0.4018614292144775,0.4308414161205292,0.4239920675754547,0.4512008726596832,0.5112652778625488,0.6292138695716858,0.5779823064804077,0.7975299954414368,0.7029935121536255,0.8102483749389648,0.71406090259552,0.3907029032707214,0.2893033623695373,0.3770427405834198,0.4038642942905426,0.6111294031143188,0.6039307713508606
P5260,0.2614713311195373,0.3565633893013,0.2740541100502014,0.2611261010169983,0.2344665378332138,0.2004548162221908,0.3196789622306824,0.3192043304443359,0.2304211109876632,0.2701242864131927,0.3789001703262329,0.2809609770774841,0.2971884608268738,0.2935883998870849,0.198874294757843,0.1841159164905548,0.4512489140033722,0.5483098030090332,0.2677997946739197,0.3448218405246734,0.3441711366176605,0.2234198749065399,0.3141846358776092,0.3426845073699951,0.4208906292915344,0.4126732349395752,0.1944338828325271,0.224292978644371,0.3103298842906952,0.2443988919258117,0.4655710458755493,0.3410530388355255,0.2907513082027435,0.3304370939731598,0.7377763390541077,0.7578974366188049,0.2658262848854065,0.2897674739360809,0.259650707244873,0.2492171078920364,0.299159437417984,0.5441785454750061,0.496493250131607,0.4132586121559143,0.5406246185302734,0.4884383380413055,0.4658997356891632,0.3146253824234009,0.2928707897663116,0.5044548511505127,0.2726672291755676,0.359581857919693,0.335477739572525,0.3051670789718628,0.2675226330757141,0.3054712116718292,0.4112443625926971,0.3422174453735351,0.4494061768054962,0.4233262240886688,0.2677288949489593,0.5161935687065125,0.4825093448162079,0.4940073192119598,0.4920395314693451,0.5285727977752686,0.3429939448833465,0.3298841416835785,0.3427544832229614,0.3200061619281769,0.2742247581481933,0.3944646120071411,0.3668524324893951,0.3639682233333587,0.6357064247131348,0.3596650958061218,0.3428670167922973,0.3272744119167328,0.6096717715263367,0.7049678564071655,0.468132883310318,0.4514834880828857,0.2242532223463058,0.2289271205663681,0.2946977913379669,0.2027167081832885,0.4606097638607025,0.3094290494918823,0.1635222882032394,0.1943962126970291,0.2813799381256103,0.4303508698940277,0.6007840037345886,0.6495057940483093,0.5026816725730896,0.2885797917842865,0.2316158860921859,0.2528660595417022,0.2390181124210357,0.3306373059749603,0.7159827351570129,0.4357635676860809,0.7134512066841125,0.7298519611358643,0.6511608362197876,0.6830814480781555,0.7991638779640198,0.9170057773590088,0.5919343829154968,0.5127737522125244,0.3264693319797516,0.3276097476482391,0.5119441747665405,0.6047399640083313,0.6333343386650085,0.5545173287391663
P5205,0.4362190067768097,0.400843471288681,0.2087653875350952,0.1663146317005157,0.3124716281890869,0.2905991375446319,0.1930481940507888,0.2449480891227722,0.6346095204353333,0.7168653011322021,0.476081371307373,0.4489353895187378,0.5042267441749573,0.551479697227478,0.464374840259552,0.3478237390518188,0.5411010384559631,0.4015384316444397,0.5514987111091614,0.3409703969955444,,,0.3740101158618927,0.4434564709663391,0.8887818455696106,0.9342440366744996,0.9878589510917664,0.7098639607429504,0.2871571481227875,0.3308949768543243,0.4445413649082184,0.4581689536571502,0.4778850674629211,0.3303209543228149,,,0.746612548828125,0.712929368019104,0.4181975424289703,0.4803951382637024,,,0.4263471662998199,0.3999095857143402,0.4252534210681915,0.5063480138778687,0.3378372192382812,0.3710719645023346,0.510046124458313,0.6284604668617249,0.3619827628135681,0.4940926730632782,0.5094316005706787,0.6300517320632935,0.3282375931739807,0.3255868256092071,0.4626125991344452,0.3575216233730316,0.4745077192783355,0.4502421021461487,0.3093361556529999,0.6180799007415771,0.4083709418773651,0.7813882231712341,0.6579481363296509,0.4811706840991974,0.2991914749145508,0.3245573341846466,0.8800950050354004,,0.4446127712726593,0.539858877658844,0.457055002450943,0.8835709095001221,,,,0.9989404678344728,0.7133347392082214,,0.4029620289802551,0.3423067927360534,0.6600132584571838,0.8594604134559631,0.3102494478225708,0.2852948307991028,0.7454030513763428,0.1858756244182586,0.3590524196624756,0.3038012683391571,0.5325936675071716,0.5812379717826843,,0.5311852693557739,,,0.6821410059928894,0.6795403957366943,0.4817396104335785,0.4889959990978241,0.6526798605918884,,,0.7885851263999939,,,,,,,,,,,,
P5234,0.2841139733791351,0.3063959777355194,0.3710089325904846,0.3365402519702911,0.2637904286384582,0.2673754096031189,0.3478351533412933,0.3180533349514007,0.3533216118812561,0.3986252248287201,0.4612833261489868,0.3385840058326721,0.2699381113052368,0.2892539799213409,0.298706978559494,0.2528724372386932,0.3863060176372528,0.3534906506538391,0.3787190914154053,0.3896986842155456,0.2993455827236175,0.3166322708129883,0.2785402834415436,0.2560857832431793,0.3677640259265899,0.2894908189773559,0.2428956925868988,0.3249937295913696,0.4009008705615997,0.336309403181076,0.4572585225105285,0.5061313509941101,0.3670822381973266,0.2983870506286621,0.6578735113143921,0.5985791087150574,0.3085038959980011,0.4098364412784576,0.3040813505649566,0.2835146784782409,0.4543510377407074,0.6330358386039734,0.5400981903076172,0.4760733544826507,0.4393052756786346,0.4770493507385254,0.3801300227642059,0.4566975235939026,0.3607741892337799,0.3060425519943237,0.2858124375343323,0.3857275545597076,0.4472244381904602,0.5767271518707275,0.5188787579536438,0.4721601009368896,0.3838212788105011,0.4151867926120758,0.4024019837379455,0.3666796088218689,0.3370999693870544,0.4564932584762573,0.4754610657691955,0.3936064839363098,0.5497317314147949,0.4381318390369415,0.3746612668037414,0.3643872737884521,0.5735034942626953,0.5479065179824829,0.732212245464325,0.7280229330062866,0.4950990080833435,0.6097790002822876,0.7074481844902039,0.592846155166626,0.5322732925415039,0.621020495891571,0.5198685526847839,0.552498996257782,0.4978640377521515,0.552818238735199,0.3567747175693512,0.3644438982009887,0.2930786907672882,0.3971186876296997,0.6461053490638733,0.6461690068244934,0.3366798758506775,0.4186372756958008,0.4786755740642547,0.7532610893249512,0.8022910356521606,0.8626636862754822,0.5845491290092468,0.5974989533424377,0.5151830911636353,0.4704633057117462,0.6312679052352905,0.6344245076179504,,,0.9364542961120604,0.7007311582565308,0.4736917316913605,0.4153631329536438,,,0.5876114964485168,0.6183581948280334,0.5855160355567932,0.6172178983688354,0.9190099835395812,0.9502736926078796,0.8801774978637695,0.9527511596679688
P5233,0.2271488010883331,0.2756763100624084,0.2466968148946762,0.2440644800662994,0.2159169167280197,0.2310182005167007,0.3016027808189392,0.3943603038787842,0.3585992455482483,0.490223079919815,0.4288369417190552,0.4079757928848266,0.2553946375846863,0.3021324276924133,0.2547506093978882,0.3786865770816803,0.444687157869339,0.4227382838726043,0.4275829195976257,0.5335408449172974,0.2880242168903351,0.2904112339019775,0.2938742339611053,0.3310765922069549,0.6079510450363159,0.3804557621479034,0.4226592779159546,0.3708561062812805,0.4532726407051086,0.4083310961723327,0.3052687048912048,0.3164459466934204,0.4142254292964935,0.4198886156082153,0.6347325444221497,0.5387637615203857,0.3950086832046509,0.3343530297279358,0.4463805854320526,0.3925983011722564,0.5334387421607971,0.4878834187984466,0.3256354033946991,0.3367244601249695,0.3586896657943725,0.3989511728286743,0.3016647398471832,0.2502940893173218,0.2847518622875213,0.3219249248504638,0.2644065916538238,0.3206689953804016,0.297856330871582,0.3933326601982116,0.2210240811109542,0.2363937199115753,0.3847589194774627,0.4500436782836914,0.3137437701225281,0.3948544561862945,0.3069092929363251,0.5522527098655701,0.4578171968460083,0.5839913487434387,0.6356707215309143,0.4422828257083893,0.4399845898151397,0.3058089017868042,0.5985493063926697,0.6345287561416626,0.3672669529914856,0.3857678174972534,0.5461865663528442,0.581458330154419,0.5999886393547058,0.6226092576980591,0.3406513631343841,0.336071640253067,0.5320418477058411,0.5045623183250427,0.3325863778591156,0.3257204294204712,0.3846851289272308,0.4442289769649505,0.360906183719635,0.2404648810625076,0.4657312035560608,0.3140165209770202,0.1607476025819778,0.1851236075162887,0.3419778645038605,0.3906354606151581,0.5051970481872559,0.5723747611045837,0.7340689301490784,0.604449987411499,0.3315966427326202,0.3086709380149841,0.4291853308677673,0.4126755893230438,0.651606559753418,0.7868684530258179,0.5080879926681519,0.4824835360050201,0.6085819602012634,0.625105082988739,0.7851611971855164,0.905773401260376,0.8100824356079102,0.7525176405906677,0.4176780581474304,0.5834938883781433,0.5282306671142578,0.4777615070343017,0.584586501121521,0.6104905605316162
