,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
P5259,-0.05053812265396121,-0.08854545652866361,-0.17483963072299957,-0.043448850512504605,-0.04678109288215629,-0.11523395776748657,-0.04811543226242068,0.025186210870742798,-0.0423706173896789,0.069577157497406,-0.04347807168960577,-0.2356876134872437,0.06205016374588013,-0.10558445751667031,-0.08816578984260559,-0.04759672284126279,-0.1946946978569031,-0.24959629774093628,-0.1528612673282624,-0.2543374001979828,0.03218910098075872,-0.1825628280639648,-0.06696480512619019,-0.08410012722015381,0.12321105599403381,0.2175572812557221,0.08309942483901978,0.0035006999969482977,-0.18212789297103882,-0.20123720169067383,-0.20768418908119207,-0.19609221816062933,-0.1437069177627564,-0.05105173587799067,-0.05963945388793945,0.10750412940979004,-0.2153588235378265,-0.014562040567398127,0.020897150039672796,-0.02065441012382513,-0.054608821868896484,-0.054636806249618475,-0.08328405022621155,0.09744036197662354,-0.06049498915672297,0.09018859267234802,0.13851746916770935,0.034345477819442694,-0.07249504327774042,-0.14343389868736273,-0.18148237466812128,-0.2033082842826843,-0.1662559658288956,-0.03823566436767578,-0.050194233655929565,-0.07940396666526792,-0.24627785384655002,-0.10541544854640958,0.06062430143356318,-0.061453402042388916,0.13722386956214905,-0.0387583971023559,0.16232240200042725,-0.10464459657669067,-0.1107576191425324,-0.025558292865753174,0.0012836158275604803,0.027548462152481024,-0.4066113382577896,-0.3746824562549591,-0.11174893379211431,-0.019232749938964788,-0.1852836310863495,-0.22460126876831055,-0.06730997562408447,-0.24744161963462835,-0.22115790843963629,-0.3488437831401825,-0.19525316357612615,-0.22728556394577026,-0.2402588874101639,-0.12137249112129209,-0.09297837316989899,-0.01751542091369629,-0.011619240045547485,0.04763779044151309,0.015699923038482666,-0.030996263027191162,-0.14841172099113464,-0.10085979104042048,-0.20447802543640137,-0.1228022575378418,-0.41902780532836914,-0.522163450717926,-0.011137664318084717,0.14532652497291565,-0.141461193561554,-0.09685504436492923,-0.10637021064758301,-0.08021479845047003,0.24785786867141724,0.4708737730979919,-0.27752023935317993,-0.34512192010879517,-0.2918735146522523,-0.28624629974365234,-0.5686723589897156,-0.06142163276672363,-0.10033303499221802,-0.02762216329574585,-0.4184651374816895,-0.09757694602012629,-0.20101267099380493,-0.4418022334575653,-0.27050524950027466,-0.26965606212615967
P5232,-0.09950844943523413,-0.1787861138582229,0.015845984220504705,-0.022928088903427096,-0.23589070141315469,-0.16775496304035192,-0.0904773995280265,-0.0821905583143234,-0.16144105792045593,-0.3171016722917557,-0.1534882932901382,-0.1612868458032608,-0.10227698087692266,0.005376726388931274,-0.1243501603603363,-0.039490312337875394,-0.06038662791252142,-0.09027385711669916,-0.08248104155063632,-0.11511139571666718,0.1710861325263977,-0.07451704144477839,-0.02743718028068548,0.03725500404834747,0.11998280882835388,0.08547231554985052,-0.11669003963470465,-0.2812000960111618,-0.04778590798377999,-0.0504647642374039,-0.24204546213150027,-0.2277897447347641,-0.10495489835739139,-0.0519856661558151,0.22442051768302917,0.19501841068267822,-0.23808409273624423,-0.3104842007160187,-0.11404642462730408,-0.0004901289939880926,-0.12252527475357056,-0.1197047233581543,0.17272406816482544,0.2010226547718049,-0.10123920440673828,-0.0062088072299957275,0.1816857904195785,0.021493613719940186,-0.09358492493629461,-0.05587062239646917,-0.1843327581882477,-0.131009116768837,-0.04907414317131037,-0.23434850573539734,-0.3017724007368088,-0.12131163477897644,-0.2122628539800644,-0.173905834555626,-0.08642466366291049,-0.127690851688385,-0.072789341211319,-0.16501402854919428,0.004627466201782282,-0.1535311341285706,0.14634022116661077,-0.0831702053546905,0.2651043683290481,0.10302034020423889,-0.044921725988388006,-0.2538062930107117,-0.04920996725559243,-0.014327004551887568,0.008188128471374512,-0.10139048099517817,0.09377419948577881,0.0191003680229187,-0.07349582016468048,-0.1777646541595459,0.0304415225982666,-0.1591540277004242,-0.13181646168231967,-0.08544088900089258,0.009644284844398499,-0.1825673878192901,0.029352396726608276,0.0642405003309249,0.06670939922332764,-0.3185388445854187,-0.21165005862712857,-0.37192128598690044,-0.11629387736320496,-0.3487326502799988,-0.3700026273727417,0.6367096900939941,-0.08399027585983276,-0.18060564994812012,-0.1771115660667419,-0.1788299679756164,-0.1854627579450608,-0.26260799169540405,0.3688097894191742,0.4647994637489319,0.8009219765663147,0.916715919971466,0.8520150780677795,0.919101059436798,1.0,1.0,-0.37880802154541005,-0.016221702098846436,-0.22807615995407102,-0.2668099403381348,-0.5447582602500917,0.05052924156188965,0.9044079780578612,0.26310110092163086
P5235,-0.045208409428596524,0.10856723785400396,0.08612173795700079,0.017604529857635498,0.07446359097957614,0.0073072463274002075,0.046479091048240606,0.05056905746459961,-0.038359880447387695,-0.052293866872787476,0.04924291372299189,0.16565829515457148,-0.00027111172676091977,0.130403682589531,0.05071258544921878,0.08019661903381348,0.002511292695999201,-0.023856073617935236,0.09673656523227692,0.18335828185081482,-0.1132139265537262,0.10403802990913391,0.08147764205932617,-0.03646019101142889,0.12154090404510498,0.09077018499374384,0.18726041913032532,0.1321929693222046,-0.06346863508224482,0.011990606784820501,0.03964287042617798,-0.07916620373725886,0.07896479964256281,0.060134232044220026,0.10090184211730957,0.0010510087013244629,-0.03547567129135132,-0.004592359066009577,0.05601444840431208,0.04435509443283081,-0.07177433371543884,-0.12493747472763062,-0.21130257844924932,-0.28272271156311035,-0.30188077688217163,0.1058729887008667,-0.1299248337745667,-0.1156198382377625,-0.0991952121257782,-0.13509124517440796,-0.09731116890907293,-0.005758911371231024,-0.15069735050201416,0.013043284416198675,0.025516539812088013,0.08873239159584045,0.11549177765846258,-0.05004724860191345,-0.07589671015739441,0.04549244046211237,-0.04665605723857877,0.15583080053329462,-0.06597122550010681,0.17587324976921082,0.10974079370498657,-0.04475274682044983,-0.04557445645332331,-0.024168789386749268,0.03879848122596741,0.07706946134567261,-0.022535651922226008,-0.04786935448646551,0.07142630219459534,0.018720030784606934,0.005088686943054199,0.051384925842285156,-0.05835062265396118,-0.03280675411224371,-0.12980026006698608,-0.07627755403518677,0.01681104302406311,0.023886725306510925,-0.1797137558460236,0.0007774531841278076,0.09726488590240479,-0.010035216808319092,0.2692468762397766,0.05387699604034418,0.18945302069187162,0.25946687161922455,-0.3938558101654053,-0.4462209045886993,-0.3893124461174011,-0.3526155352592468,0.2218414545059204,0.1760084629058838,-0.016845971345901434,-0.05714496970176702,0.10748529434204107,0.4072496294975281,-0.8644476532936096,-0.3729085922241211,-0.6815955638885498,-0.538655698299408,-0.6745285391807556,-0.6843957901000977,-0.3902800977230072,-0.8454415798187256,0.41325926780700684,-0.05173134803771973,-0.19111540913581854,0.25338014960289,-0.549299418926239,-0.5006873607635498,-0.6286702156066895,-0.6954834461212158
P5203,-0.1304516941308975,-0.047059133648872375,-0.1426763534545899,-0.0468002259731293,0.01181560754776001,0.05098484456539151,-0.2509504705667495,-0.05473290383815771,0.046621501445770264,-0.040993630886077936,0.11758124828338617,-0.09053879976272589,0.2539214491844177,0.2758614122867585,0.09046977758407593,0.1204526424407959,-0.20182517170906067,-0.028798907995224,-0.13947658240795138,-0.1325127482414245,-0.008885681629180908,0.042276144027710016,-0.09678992629051208,0.056740954518318176,-0.07984337210655218,-0.07390978932380671,-0.0633507370948792,-0.006726264953613281,-0.13925638794898987,-0.1435544490814209,-0.05814298987388611,0.004336416721343994,-0.17417976260185236,-0.19187049567699438,-0.1390325427055359,-0.08011302351951599,-0.08116140961647034,-0.01576724648475647,0.044688969850540106,0.12517714500427246,0.01926058530807495,0.017964839935302734,-0.04844805598258978,-0.07665610313415527,0.011542409658432007,-0.10677134990692139,-0.03184881806373596,-0.1594607830047608,-0.10010202229022983,-0.11188068985939031,-0.1413029432296753,-0.057079195976257324,-0.28300383687019354,-0.2054923772811889,-0.2558019161224366,-0.12304225564002991,-0.024612084031105097,-0.06808160245418549,-0.087583214044571,-0.1390378028154374,-0.028251081705093384,-0.00668787956237793,-0.2325619757175445,-0.1580599844455719,-0.046330213546752985,0.0317793488502503,-0.24951934814453125,-0.2274629920721055,-0.1564994305372238,-0.01778203248977661,-0.07926779985427862,-0.06232935190200806,-0.037789553403854426,-0.20226255059242249,-0.00616765022277832,-0.19808757305145258,-0.19557219743728638,-0.25846707820892345,-0.1026854813098908,0.026533275842666626,0.008080780506134033,0.06674271821975708,-0.019634842872619573,0.10352042317390436,0.06544449925422671,0.04260818660259241,0.21034812927246094,0.34303566813468933,-0.2408845871686936,-0.2354690134525299,-0.3166171610355377,-0.06839099526405334,-0.06647449731826782,-0.1106380820274353,-0.5684730708599091,-0.40764012932777405,-0.17860853672027593,-0.2493018805980683,-0.5412925183773041,-0.32182705402374273,0.3999996781349181,0.2863016724586487,0.4457430541515351,0.25856614112854004,0.318811297416687,0.49035191535949707,0.3078098595142364,-0.2968347668647766,-0.18441081047058117,-0.2620692253112793,-0.362536907196045,-0.4444095492362976,0.15332579612731934,0.31936153769493103,0.4726289808750153,0.2375616431236267
P5258,-0.14213846623897552,0.008259683847427424,0.004333168268203819,-0.05557993054389962,-0.18209211528301242,-0.04098027944564819,-0.10687971115112299,-0.05073191225528717,-0.3120722323656082,-0.2751176953315735,-0.04469683766365057,-0.21656584739685059,-0.2979638874530792,-0.13544058799743658,-0.0795624852180481,-0.1505590826272965,-0.18103700876235962,-0.07261192798614502,-0.26421928405761724,-0.1431041657924652,0.2766481339931488,0.1964219212532043,-0.0308884978294372,0.0020240247249602716,-0.3586958050727844,-0.38082364201545715,-0.598371684551239,-0.4161380827426911,0.06928074359893799,0.0521320104598999,-0.1323089599609375,-0.15354865789413452,-0.3189241886138916,-0.16843092441558838,0.6246525049209595,0.604372501373291,-0.43785411119461065,-0.3728910088539124,-0.4444805681705476,-0.23684939742088318,0.3345892429351806,0.3718777596950531,0.24555718898773193,0.19902759790420538,0.1414632797241211,-0.11040467023849493,0.15839284658432012,0.2731505781412125,-0.15810373425483704,-0.024770587682724,-0.11888855695724487,0.10375472903251648,-0.221712738275528,-0.5182905495166779,0.1272120177745819,0.0520483553409577,-0.10357668995857233,0.03120243549346924,-0.021584779024124146,0.05096513032913208,0.0003566443920135498,-0.1365515291690827,-0.09300607442855835,-0.15878596901893616,-0.22460865974426275,-0.012880951166152899,0.010098099708557184,-0.007395386695861761,-0.4863671064376831,0.2316920608282089,-0.07218733429908747,-0.16145300865173345,0.021170377731323242,-0.0821501612663269,0.57023024559021,0.6613888144493103,0.4487416446208954,0.5725923180580139,-0.406402051448822,0.6510316133499146,0.11510825157165522,0.08520942926406855,-0.28728555142879486,-0.35972794890403753,0.017459720373153687,-0.02391964197158819,-0.27475854754447937,-0.4953488111495972,-0.16799752414226538,-0.10846942663192746,-0.10102209448814398,-0.0807732343673706,-0.11649078130722046,0.12301439046859741,0.4275427460670471,0.4735394120216369,-0.46953195333480835,-0.158743143081665,0.007825136184692383,0.13468280434608465,0.2004038393497467,-0.19495022296905518,0.11304554343223577,0.028510689735412598,0.5081376433372498,0.5934358239173889,0.6840752363204956,0.6751212477684021,0.5048331022262573,0.4477561414241791,0.2829906642436981,0.5156372785568237,0.4645795524120331,0.5341721177101135,0.4176970422267914,0.7179422974586487
P52125,-0.10191935300827032,-0.0397874116897583,-0.1689605563879013,0.13009911775588998,-0.1889723241329193,0.024455666542053223,0.046796947717666626,0.06233614683151248,-0.005664616823196467,0.041934907436370905,0.01217380166053772,-0.08691570162773132,0.10755670070648188,0.022041738033294678,-0.12402945756912229,-0.021905392408370916,-0.0795581042766571,0.16687008738517756,0.07995054125785828,0.013963252305984497,-0.14205648005008703,0.08172833919525141,0.0260770320892334,-0.056089431047439575,0.23243275284767156,0.12208938598632807,0.26808732748031616,0.1413242220878601,-0.014656990766525269,-0.02478465437889099,0.04646497964859014,0.05376976728439331,-0.023701250553131104,0.0663270652294159,0.0939948558807373,-0.0035558342933654785,0.33989992737770086,-0.024995073676109286,-0.043447226285934504,-0.04257327318191534,-0.0025378167629241943,-0.12367641925811768,0.18911579251289373,0.10346797108650208,-0.3039882779121399,-0.08475714921951294,-0.040051430463790894,-0.0573996901512146,-0.12532100081443787,-0.16803276538848877,0.1553587913513183,-0.16483163833618159,0.08034065365791321,-0.17405736446380615,-0.01121416687965393,-0.20864123106002808,-0.07364845275878912,-0.09517762064933777,0.0388624370098114,0.00822669267654419,0.0659247636795044,-0.055681198835372925,-0.04290440678596491,0.04391896724700922,-0.005324244499206543,0.05652964115142817,0.14862528443336492,-0.009627342224121094,0.07149255275726318,-0.2395324409008026,-0.11691319942474365,-0.15875604748725897,-0.26955175399780273,-0.2528563737869263,-0.16193091869354248,-0.1756124198436737,-0.1186644434928894,-0.1110768318176269,0.21270129084587097,0.11023589968681335,0.09622699022293091,0.22898906469345098,-0.14633449912071228,0.07831040024757391,0.0497895032167435,-0.05456435680389407,0.21416249871253973,0.24978046119213113,-0.015216127038002014,-0.019337266683578574,0.1342800259590149,0.004392117261886597,0.3298779129981995,0.028237879276275635,-0.25811141729354864,0.011080265045166016,-0.06445546448230749,-0.0782359391450882,0.1167801022529602,-0.15366555750370028,0.54969385266304,-0.15256056189537054,0.3040298521518707,0.24976974725723267,0.002140045166015625,0.16072219610214233,-0.010819971561431885,0.2077927589416505,-0.22149121761322021,-0.13979125022888184,-0.0452336966991424,0.051527947187423706,0.07973015308380121,0.16600117087364197,-0.05479633808135986,-0.031763434410095215
P5260,-0.0152052640914917,-0.10650143027305597,0.03291869163513178,0.0818341970443725,0.029713168740272466,0.00904487073421481,-0.08793708682060247,-0.12019097805023188,0.035275533795356806,0.12560239434242249,0.0010618865489959717,0.15638554096221924,0.02441051602363581,0.048055022954940796,0.001684725284576416,0.1171282529830932,-0.12440821528434759,-0.2391321361064911,0.038057863712310736,-0.1393695175647735,0.006130009889602661,0.05463278293609622,-0.06238213181495661,-0.06781154870986944,0.04090708494186396,0.11696642637252808,0.2103504091501236,0.0913693159818649,-0.052364736795425415,0.08839941024780279,0.09756994247436523,0.0943426787853241,-0.020309418439865057,-0.0724527537822724,-0.12983006238937378,-0.14460086822509766,-0.0008358955383300781,-0.00014087557792658023,0.0892335176467896,-0.012977153062820407,0.0717396736145019,-0.19534733891487122,-0.13202586770057673,-0.08433669805526733,-0.13195422291755676,-0.05355802178382868,-0.2307128310203553,-0.09584182500839239,0.06729507446289062,-0.1816343069076538,-0.03004010021686554,0.028691440820693914,-0.014719724655151423,0.10156002640724182,-0.011367321014404297,-0.06661574542522433,-0.1892123818397522,-0.07744964957237238,-0.09889176487922674,-0.07413467764854431,0.02213281393051153,-0.19537851214408875,-0.2168003916740418,-0.10015556216239929,-0.1027899980545044,-0.16023308038711548,0.12089306116104132,0.1091687381267547,-0.09257546067237854,-0.1268488317728043,-0.03147408366203311,-0.10704398155212402,0.013021767139434814,0.0186262726783753,-0.05944281816482544,-0.036375552415847834,-0.09811669588088992,-0.08261407911777499,-0.14837074279785156,-0.1829434633255005,-0.244931161403656,-0.05649691820144648,0.12260858714580541,0.3725752979516983,-0.061227887868881226,0.01518557965755471,-0.1599079668521881,-0.08723774552345281,0.10679794847965238,0.0014702379703521729,0.05887928605079651,-0.1501469910144806,-0.06016033887863159,-0.24829712510108953,0.0711594820022583,0.3490707576274872,0.15952460467815402,0.03344330191612249,-0.0002247244119644165,-0.09371818602085114,0.22782903909683228,-0.004147261381149292,-0.10554558038711548,-0.13987302780151367,-0.037424564361572266,-0.034404456615448,-0.05184578895568848,-0.03792494535446167,-0.1605765819549561,-0.05571398138999939,0.023623794317245428,0.19863876700401312,-0.042822778224945124,-0.1260031163692475,-0.09306162595748901,0.016949832439422607
P5205,-0.19258807599544528,-0.15254208445549008,0.020329624414443914,0.11044725775718689,-0.03999197483062744,0.016721814870834406,0.0557237714529038,0.03566887974739072,-0.36638954281806946,-0.36011976003646856,-0.07454320788383478,-0.05140426754951477,-0.15742892026901245,-0.13715934753417974,-0.10419026017189031,-0.1180673688650131,-0.06953707337379456,0.026760965585708618,-0.3494174778461457,-0.0789165198802948,0.2719914019107818,0.7867586016654968,-0.10671311616897589,-0.1233900785446167,-0.4559198915958405,-0.506614774465561,-0.6165858805179596,-0.30751800537109375,0.26217707991600037,0.02824297547340393,-0.0952819287776947,-0.14900213479995722,-0.06611829996109009,0.0013007521629334051,0.7614465355873108,0.7342923283576965,-0.2920543551445008,-0.3027210235595703,-0.07296517491340637,-0.1706571877002716,0.8195919990539551,0.8561375737190247,-0.06557130813598627,-0.1195285320281983,0.1789472401142121,0.039113640785217285,-0.1520166397094726,0.05322021245956421,-0.2500633597373963,-0.40222327411174774,-0.053146034479141235,-0.13510838150978088,-0.1119447648525238,-0.37006214261055,-0.004303067922592219,0.003925234079361017,-0.2597101330757142,-0.14641821384429932,-0.2183485329151153,-0.1599682867527008,0.03343811631202692,-0.15443909168243414,-0.0788926780223847,-0.34676763415336614,-0.187279611825943,0.10314866900444031,0.1420586109161377,0.13337749242782587,-0.5697134733200073,0.2958821952342987,-0.16740968823432922,-0.2130678296089173,-0.11331677436828619,-0.5237239003181458,0.5957004427909851,0.3752481937408447,0.3553926050662994,-0.7122197747230531,0.010654866695404053,0.4686397314071655,-0.024804592132568415,-0.030582517385482733,-0.2915600538253784,-0.40452054142951965,-0.0886879414319992,-0.052880838513374384,0.07853388786315918,0.45610508322715765,0.01832225918769831,-0.06212696433067322,0.09057497978210449,-0.17910084128379822,0.9114525318145752,0.33222824335098267,0.4419304132461548,0.4593245685100555,-0.3310154974460602,-0.18679526448249822,-0.002519786357879694,0.0029105544090270996,0.30114299058914196,0.3690195381641388,0.654839813709259,-0.4397217929363251,0.2171961516141891,0.4075016975402832,0.4459103047847748,0.4918651282787323,0.7814470529556274,0.5363379120826721,0.493104338645935,0.3104596436023712,0.5535827875137329,0.820357620716095,0.1987011581659317,0.7685649991035461
P5234,-0.06245513260364527,-0.001721113920211792,-0.13570709526538852,-0.09805722534656519,-0.0012960433959960938,-0.040833190083503806,-0.10367961227893827,0.05274501442909241,-0.1104195266962052,0.05333662033081049,-0.061717212200164795,0.06220176815986628,0.050312429666519165,0.016683846712112427,-0.0460658073425293,0.03184926509857183,-0.07475239038467413,0.04900971055030817,-0.08095669746398926,-0.06429928541183472,-0.02307432889938349,0.030541867017745916,0.11810648441314692,0.0927305817604065,0.13591513037681585,0.1386853456497193,0.1097132265567779,-0.02440726757049555,-0.09216541051864618,-0.046908110380172674,0.010983794927597101,-0.06905603408813482,-0.06522142887115473,-0.046701461076736506,0.06189543008804321,0.024368882179260254,0.002395778894424383,-0.1192704439163208,0.0137701034545899,0.0314744114875794,0.0419150292873382,-0.12330716848373413,-0.26675593852996826,-0.21953406929969782,-0.02965560555458069,-0.11111083626747131,-0.07101979851722717,-0.226359248161316,-0.109116941690445,-0.047019809484481756,-0.03850464522838598,-0.1673590689897537,-0.16617420315742493,-0.16451290249824524,-0.2566490769386292,-0.2538889348506927,-0.1458178907632828,-0.09422183036804199,-0.0016424059867858887,0.06349477171897888,0.12557992339134222,0.1267802119255066,-0.1404491364955902,-0.06818780303001404,0.06490695476531982,-0.06880041956901545,-0.08069327473640442,-0.03834086656570429,-0.22985821962356573,-0.1743367612361908,-0.28569108247756964,-0.28160741925239563,0.0367131233215332,-0.05077773332595825,-0.1334661841392517,0.04712355136871338,-0.1307834386825562,-0.32312479615211487,-0.046679377555847223,-0.1279323697090149,-0.2125524878501892,-0.3629471957683564,-0.12852796912193298,-0.1772888153791427,-0.07630802690982821,-0.1423500776290894,-0.1611766517162323,-0.2730728685855866,-0.061037153005599976,-0.10570588707923889,0.011944681406021174,-0.1496109962463379,0.08666515350341797,-0.4147779047489167,-0.1799791157245636,-0.29902368783950806,-0.22075101733207703,-0.18978753685951233,-0.18590807914733892,-0.26048713922500616,0.0,0.0,0.06266623735427879,0.2992684841156005,0.3040003478527069,0.13425743579864502,0.0,0.0,-0.013417184352874756,-0.23359188437461853,-0.24135172367095953,-0.12720569968223577,-0.1749480366706847,-0.20620805025100708,-0.6025195121765137,-0.16626030206680298
P5233,0.044433057308196994,-0.022915273904800415,0.07728387415409088,0.13676247000694278,0.05502237379550931,0.4728064984083176,-0.07258076965808871,-0.06533074378967291,0.08006876707077021,0.2511036694049836,0.039402425289154,-0.10077986121177668,0.1635895669460296,0.10179755091667181,0.05714601278305054,0.2638927400112152,0.003940045833587591,0.008836299180984497,-0.04733571410179138,-0.26986926794052124,0.028998136520385742,0.140035480260849,0.026569277048111017,-0.012614995241165106,-0.2161001861095429,0.15434005856513983,-0.07662150263786321,-0.007052481174468994,0.0765801072120667,0.02754956483840948,0.031941562891006525,-0.0058100819587708075,-0.11760848760604858,-0.12520268559455866,0.04649263620376587,0.08964806795120239,-0.11093834042549139,0.06492182612419128,-0.14417102932929993,-0.03399047255516052,-0.01555699110031128,0.05824247002601629,0.11571410298347468,0.046056210994720403,0.07973653078079229,0.020684421062469482,0.033316910266876165,0.21904951333999634,0.011215090751648005,0.08601075410842901,0.1119165718555451,-0.022255897521972712,0.0613450706005097,0.135907530784607,0.0845770984888077,0.1448794901371002,-0.06007155776023859,-0.1589516401290894,0.0605832040309906,0.016128063201904297,0.12748056650161743,0.08059632778167725,-0.14021852612495422,-0.20114979147911072,-0.12029534578323364,0.09858021140098572,-0.11145773530006403,0.030437797307968084,-0.16331973671913147,-0.144059419631958,0.049798399209976196,-0.030765950679779108,-0.004206061363220215,0.010342717170715332,0.07870203256607056,0.0042569637298583984,-0.011536180973052923,0.0585174560546875,0.07301372289657593,0.1132538914680481,-0.038987934589385986,0.0755633115768432,-0.05936577916145319,-0.031405568122863714,-0.0827479362487793,0.010525301098823575,0.1864435076713562,0.33607417345047,0.1605035811662674,0.11720229685306549,0.00047200918197631836,-0.04690814018249517,-0.17383393645286566,-0.031650424003601074,-0.026365995407104492,0.059977591037750244,0.12391415238380432,0.21569758653640753,0.016993105411529597,-0.09346210956573492,0.3015369176864624,-0.3967079818248749,0.33899182081222534,0.3704975545406342,0.22956478595733643,0.1477421522140503,-0.5129551291465759,0.09393280744552601,-0.0064847469329833984,-0.11267620325088501,0.06184989213943476,-0.051078200340270996,-0.005346417427062988,0.19468057155609136,0.1449454426765442,0.22905611991882324
