,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
P5203,0.1917817592620849,0.2196325361728668,0.2180111855268478,0.1385366767644882,0.348658412694931,0.3466948866844177,0.1672516167163849,0.1419431716203689,0.4598754644393921,0.6700800657272339,0.4903284609317779,0.4311339557170868,0.5053727626800537,0.4326390624046325,0.3832771778106689,0.55615234375,0.6033745408058167,0.5480489730834961,0.5558253526687622,0.4505688846111297,,0.8384141325950623,0.3420526385307312,0.3675523400306701,0.740538477897644,0.7683226466178894,0.6868309378623962,0.6257739067077637,0.3120998740196228,0.262973815202713,0.3533971905708313,0.3643485903739929,0.5151170492172241,0.3973449766635895,,,0.6924165487289429,0.625350832939148,0.6269357204437256,0.5335703492164612,,,0.2881377339363098,0.4041943848133087,0.539191722869873,0.5602772831916809,0.3178295195102691,0.2211999893188476,0.40507772564888,0.3321501612663269,0.2249884903430938,0.2909453809261322,0.5662015676498413,0.6137133240699768,0.173210009932518,0.2498726993799209,0.188406690955162,0.1885301023721695,0.3096944093704223,0.3131148815155029,0.2841536104679107,0.5195927023887634,0.5841469168663025,0.5430551767349243,0.6327650547027588,0.2711442112922668,0.4079828262329101,0.1662825495004654,0.7403255105018616,,0.39859738945961,0.5798477530479431,0.6764529943466187,0.6360331773757935,,,,0.9978849291801452,0.3610393702983856,,0.267513632774353,0.342728316783905,0.2875639200210571,0.849581778049469,0.1332302987575531,0.1583320349454879,0.8641167283058167,0.9999999403953552,0.2311792522668838,0.381834477186203,0.3668434917926788,0.4763716459274292,,0.2374139726161956,,,0.6728572249412537,0.4849060177803039,0.4728947877883911,0.3886747658252716,0.3927710056304931,,,,,,,,,,,,,,,
P5205,0.4131778180599212,0.2753766775131225,0.2296409904956817,0.2291755229234695,0.2987141609191894,0.442527174949646,0.1799572557210922,0.1714686751365661,0.5359596610069275,0.6424590945243835,0.6970939636230469,0.8015899062156677,0.6153203248977661,0.5540696978569031,0.3726833462715149,0.5022413730621338,0.5205269455909729,0.5280291438102722,0.5227492451667786,0.4025506973266601,,0.9682332277297974,0.3866903483867645,0.3821804225444793,0.588497519493103,0.672357976436615,0.7212753295898438,0.5929789543151855,0.2794554829597473,0.3965114057064056,0.4647476971149444,0.4444312155246734,0.3721774816513061,0.4344759583473205,,,0.7280395030975342,0.6699005961418152,0.4288094937801361,0.4409321546554565,,,0.3144526183605194,0.3221291899681091,0.3557857573032379,0.5594990849494934,0.2588357329368591,0.3612348735332489,0.3942001461982727,0.4080401360988617,0.3491351008415222,0.4720277786254883,0.337818831205368,0.6494235992431641,0.3059777021408081,0.287065178155899,0.4341836869716644,0.2620161473751068,0.3885692358016968,0.3412117958068847,0.3434115648269653,0.5074935555458069,0.532055675983429,0.607252836227417,0.5948471426963806,0.4244894683361053,0.4239858984947204,0.3066734075546264,0.7329836487770081,,0.479754090309143,0.4984325766563415,0.4986003041267395,0.6771971583366394,,,,0.9616346955299376,0.872744083404541,,0.2690569758415222,0.2952971756458282,0.4316644370555877,0.5761762261390686,0.2513527870178222,0.2987313866615295,0.6517757177352905,0.5979088544845581,0.3292454481124878,0.2844414114952087,0.4338869750499725,0.5036208629608154,0.7227235436439514,0.4806837141513824,,,0.4301115870475769,0.6598069667816162,0.5172776579856873,0.3840824663639068,0.5521707534790039,,0.351798266172409,0.8500059247016907,,,,,,,,,,,,
P5211,0.2427709996700287,0.2888281643390655,0.1417914777994156,0.1308654844760894,0.2787538766860962,0.4605843722820282,0.1568470150232315,0.1394369900226593,0.5262987613677979,0.5196056365966797,0.6751899123191833,0.4393725991249084,0.461299329996109,0.3523565530776977,0.4130111336708069,0.4115004241466522,0.4494901597499847,0.4155709743499756,0.5760439038276672,0.4699695408344269,,,0.4330895543098449,0.4549867212772369,0.687100350856781,0.7369332313537598,0.6893540024757385,0.6277146935462952,0.3534475862979889,0.4436206221580505,0.4972720742225647,0.4798682332038879,0.5802855491638184,0.366225391626358,,,0.6903488636016846,0.6546254754066467,0.6874129772186279,0.3986194729804992,,,0.3364194333553314,0.316871702671051,0.4222112894058227,0.4138675034046173,0.2362403720617294,0.1735785901546478,0.4702544808387756,0.4916285574436188,0.2415991574525833,0.4425630867481231,0.4626646637916565,0.7982950806617737,0.2359206527471542,0.3172050714492798,0.2899710536003113,0.2528644800186157,0.3641101419925689,0.3343041241168976,0.2402543425559997,0.3730091750621795,0.4479198455810547,0.7363913655281067,0.6405298113822937,0.3841025531291961,0.3507180213928222,0.234164759516716,0.5973181128501892,,0.5580401420593262,0.5755762457847595,0.5362275838851929,0.6752398014068604,,,,,0.7092658281326294,,0.2912599444389343,0.3888919055461883,0.4578334093093872,0.7768281102180481,0.2009574323892593,0.3357571363449096,0.6182323694229126,0.6820918321609497,0.2413790822029113,0.34803307056427,0.3140584528446197,0.3104786276817322,0.4092251658439636,0.4700376689434051,,,0.5331275463104248,0.4860913157463074,0.3484688401222229,0.445343017578125,0.5704517960548401,0.999899446964264,0.3906655311584472,0.8630505204200745,,,,,,,,,,,,
P5229,0.2824214696884155,0.3070622682571411,0.2993088960647583,0.3221254348754883,0.3197695612907409,0.3506741523742676,0.2589591741561889,0.2622349262237549,0.4279576539993286,0.4958875775337219,0.3654913604259491,0.5925908088684082,0.4098244607448578,0.4033188223838806,0.358857661485672,0.3707011044025421,0.3842839002609253,0.3577872514724731,0.4460233151912689,0.3051448464393616,,0.8242263197898865,0.393094390630722,0.4370572566986084,0.5622754096984863,0.6370427012443542,0.6288811564445496,0.5077113509178162,0.2581267654895782,0.317847192287445,0.4340288937091827,0.4662000834941864,0.4668576121330261,0.3475349247455597,,,0.5665126442909241,0.5210331082344055,0.5192904472351074,0.3834733963012695,,,0.3461586534976959,0.3011847734451294,0.3941694498062134,0.38751882314682,0.2793615162372589,0.3178281188011169,0.3955642879009247,0.5457081198692322,0.2951166331768036,0.2898029088973999,0.5216053128242493,0.7061417698860168,0.2156879007816314,0.2209231108427047,0.2634073495864868,0.296207994222641,0.3018615245819092,0.3178459107875824,0.2957505285739898,0.4252939522266388,0.4485571682453155,0.3265147805213928,0.5295054316520691,0.3298021256923675,0.5532712340354919,0.3885834813117981,0.7228912711143494,,0.454555869102478,0.4102865159511566,0.5340349078178406,0.6689563393592834,,,,0.8931883573532104,0.8438162207603455,,0.2496803700923919,0.2658789753913879,0.362820953130722,0.482462614774704,0.2419419884681701,0.3481101393699646,0.7519516944885254,0.2407844215631485,0.2981052696704864,0.2858098745346069,0.4901286661624908,0.5309590697288513,,0.9076285362243652,,,0.6210953593254089,0.350039392709732,0.4460376799106598,0.3427736759185791,,,,0.9822792410850524,,,,,,,,,,,,
P5216,0.4312476515769958,0.2500690221786499,0.2696245908737182,0.2292310744524002,0.2944214344024658,0.3750826418399811,0.1655656844377517,0.1616576015949249,0.4652175009250641,0.3094826340675354,0.4912029802799225,0.7440364956855774,0.3500767350196838,0.3252825438976288,0.427510917186737,0.2673920392990112,0.3288933038711548,0.3435166180133819,0.5304907560348511,0.3565630614757538,,,0.2982001602649688,0.3193656802177429,0.5919397473335266,0.6042434573173523,0.5346223711967468,0.4772451221942901,0.2361790239810943,0.2601518332958221,0.3295705616474151,0.3590247929096222,0.451485812664032,0.3619084358215332,,,0.5103153586387634,0.5479779243469238,0.5254560708999634,0.3934195935726166,,,0.4011789858341217,0.3839287459850311,0.2783702313899994,0.5033249855041504,0.2222378253936767,0.2538524866104126,0.4561315476894378,0.4746264517307281,0.3175971508026123,0.3498559892177582,0.393288642168045,0.6200289726257324,0.2297585755586624,0.1824080199003219,0.4454253017902374,0.262344092130661,0.3590820133686065,0.4690611958503723,0.3934050798416137,0.3731074929237366,0.5124087333679199,0.49276202917099,0.590054988861084,0.4608113467693329,0.5144126415252686,0.2026223540306091,0.5316472053527832,,0.3995797336101532,0.4835415482521057,0.380835473537445,0.5246353149414062,,,,,0.8962591886520386,,0.3512661457061767,0.2749448418617248,0.4638845026493072,0.5074017643928528,0.2108025550842285,0.2059480398893356,0.6146619319915771,0.583931565284729,0.2994548082351684,0.2237375527620315,0.4777271747589111,0.4548795819282532,0.4499335289001465,0.5747532844543457,,,0.5092952251434326,0.283659815788269,0.3251656293869018,0.4129556119441986,0.5082063674926758,0.9413809180259703,0.402871310710907,0.6569685339927673,,,,,,,,,,,,
P5220,0.3449998199939728,0.2754052877426147,0.2536464929580688,0.2789356708526611,0.4995529651641845,0.5545832514762878,0.2064114660024643,0.1851766854524612,0.6502509117126465,0.6959440112113953,0.566038191318512,0.7462431192398071,0.5545151233673096,0.6133736968040466,0.5709013938903809,0.5882285833358765,0.584550678730011,0.6024457812309265,0.5688408017158508,0.4908823370933532,,0.9008499383926392,0.3505853712558746,0.3922973275184631,0.6685512065887451,0.6550260186195374,0.5327764749526978,0.5966314673423767,0.3819679915904999,0.380455732345581,0.3885360062122345,0.4190561771392822,0.5032780170440674,0.3969515264034271,,,0.752512514591217,0.8039896488189697,0.6564351320266724,0.6142041683197021,,,0.4930406808853149,0.539309561252594,0.6193992495536804,0.5245234370231628,0.4937578737735748,0.4723827540874481,0.4741489887237549,0.3172895908355713,0.359739601612091,0.3889810442924499,0.6580268740653992,0.8145076036453247,0.4062276482582092,0.437694102525711,0.3460878431797027,0.2640550434589386,0.4729447066783905,0.4642026722431183,0.5872599482536316,0.6735835075378418,0.6433156728744507,0.754313051700592,0.6506962180137634,0.5346933603286743,0.4920948445796966,0.2092312723398208,0.7830889821052551,,0.4953175485134125,0.5593687891960144,0.6175707578659058,0.4958920180797577,,,,0.9244411587715148,0.858949601650238,,0.4479246437549591,0.4166867136955261,0.7000787258148193,0.6992748379707336,0.2118558883666992,0.2481941431760788,0.711791455745697,,0.5111586451530457,0.4732964336872101,0.589974582195282,0.6755408644676208,,0.7557910084724426,,,0.5531185269355774,0.5993366837501526,0.7062625885009766,0.5605588555335999,,,,0.9677306413650512,,,,,,,,,,,,
P5218,0.3811693787574768,0.2783083915710449,0.3885257542133331,0.2295082360506057,,,0.2590750753879547,0.2387297600507736,,,,,,,,,,,,,,,0.980689823627472,,,,,,,0.8941906690597534,,,,,,,,,,,,,0.7841618061065674,,,,,0.2499971836805343,,,0.2810990810394287,0.6369659900665283,,,0.5825954079627991,0.4064570665359497,0.3270351886749267,0.2329363077878952,0.8031633496284485,0.3867356777191162,,,,,,0.9498995542526244,0.7283967137336731,0.3758005499839782,,,,,,,,,,,,,0.2770338654518127,0.8473109006881714,,,0.3547866642475128,0.3617547750473022,,,0.5951695442199707,0.6330495476722717,1.000000238418579,,,,,,,,,0.683435320854187,,,,,,,,,,,,,,,,
P5227,0.3623775541782379,0.4089867174625397,0.3163691163063049,0.3350402116775512,0.3692435920238495,0.3489536345005035,0.3122704923152923,0.3109490573406219,0.4677852690219879,0.4795969724655151,0.5135829448699951,0.6518914103507996,0.362052321434021,0.5178255438804626,0.428753137588501,0.4001970589160919,0.5064250826835632,0.4002186954021454,0.4002479314804077,0.3104686737060547,,0.8182681798934937,0.3546628952026367,0.2774423062801361,0.548636257648468,0.5521709322929382,0.5722224712371826,0.6510082483291626,0.3312024474143982,0.368279218673706,0.4214412868022918,0.3669856786727905,0.3403108417987823,0.3320623934268951,,,0.5421659350395203,0.556551456451416,0.5792544484138489,0.4654182493686676,,,0.4334906637668609,0.2906534373760223,0.44098100066185,0.3446926474571228,0.2790903747081756,0.3341130018234253,0.4531867802143097,0.4490814208984375,0.3904855847358703,0.3935109078884125,0.5163689255714417,0.6773935556411743,0.3009079694747925,0.2719074189662933,0.4039520919322967,0.3578248620033264,0.3723863661289215,0.3781384825706482,0.3395548164844513,0.470438688993454,0.4655043482780456,0.6189810633659363,0.5429905652999878,0.412374198436737,0.4852325916290283,0.3825350105762481,0.6284653544425964,,0.3965135812759399,0.3377294838428497,0.4920634627342224,0.5430412888526917,,,,0.7435161471366882,0.9098564982414246,,0.3275743424892425,0.2904182970523834,0.5247488617897034,0.7863684892654419,0.3092424273490906,0.31605264544487,0.3187369704246521,,0.3300338387489319,0.2849694788455963,0.454980194568634,0.4814152121543884,,,,,0.789410412311554,0.461923599243164,0.5012300610542297,0.3777930438518524,,0.0,,,,,0.0,,,,,,,,,
P5228,0.2707145810127258,0.2075168192386627,0.2258452773094177,0.1967424154281616,0.2440015971660614,0.2599553167819977,0.1792547404766082,0.1429692059755325,0.54444819688797,0.6695787310600281,0.6635401248931885,0.6907791495323181,0.5982226729393005,0.511001706123352,0.4231647253036499,0.50282222032547,0.4196520745754242,0.4501295089721679,0.3851417005062103,0.3190866112709045,,0.9428002834320068,0.2550748884677887,0.25918909907341,0.6233270168304443,0.6877784132957458,0.7054778933525085,0.643603503704071,0.2160644084215164,0.2756848037242889,0.271476000547409,0.3067484200000763,0.4685002267360687,0.3800600171089172,,,0.8338605761528015,0.7162548303604126,0.5859454870223999,0.5136822462081909,,,0.2823063731193542,0.3747473955154419,0.3075369894504547,0.5251964330673218,0.3189072906970978,0.2542736530303955,0.395954966545105,0.3449007570743561,0.3491951823234558,0.302516222000122,0.4342119991779327,0.8149623870849609,0.1843484342098236,0.2051581144332885,0.2411785721778869,0.1791293025016784,0.3104639053344726,0.3786719143390655,0.307515799999237,0.5665237307548523,0.5890424251556396,0.533893883228302,0.7657275795936584,0.3939212560653686,0.3896881937980652,0.1847725957632064,0.9071277379989624,,0.355748564004898,0.432098925113678,0.6612691283226013,0.7096683382987976,,,,0.985276222229004,0.839113712310791,,0.2110691368579864,0.2146751135587692,0.5270358324050903,0.7441267371177673,0.1563593596220016,0.1894029825925827,0.7190133929252625,0.5192399621009827,0.2399706691503524,0.2183211892843246,0.4877345263957977,0.4075897932052612,0.5262642502784729,0.7258985638618469,,,0.7490308284759521,0.4680280983448028,0.415844589471817,0.4233469069004059,0.7081910967826843,,0.2447072863578796,0.9346699714660645,,,,,,,,,,,,
P5210,0.3851858973503113,0.3175416588783264,0.2432655692100525,0.2159327417612075,0.5206292271614075,0.4419846534729004,0.1562768816947937,0.1566884517669677,0.6148239374160767,0.525386393070221,0.4346049726009369,0.6341971755027771,0.4142354726791382,0.4266409873962402,0.5483273863792419,0.4577319025993347,0.4001664519309997,0.4033601582050323,0.3979882895946502,0.3389389514923095,,,0.2708105742931366,0.3205637037754059,0.6012299656867981,0.7081896066665649,0.8636049032211304,0.6294583678245544,0.4081512093544006,0.2779778838157654,0.3144956231117248,0.283428430557251,0.4539372026920318,0.4621677100658417,,,0.7083167433738708,0.5800969004631042,0.6190640330314636,0.7584398984909058,,,0.4274871051311493,0.4673636257648468,0.6391456723213196,0.4872351586818695,0.5204992890357971,0.3515041768550873,0.4822358787059784,0.3655281364917755,0.5264297723770142,0.2606750130653381,0.6204269528388977,0.7984263300895691,0.3262750506401062,0.231953278183937,0.2985604405403137,0.3448995649814605,0.3109939694404602,0.5400564670562744,0.4804940223693847,0.5962831377983093,0.4836412668228149,0.4868760108947754,0.7718467712402344,0.6382591128349304,0.3980765044689178,0.2011123150587082,0.6025651693344116,,0.3100917637348175,0.4426898956298828,0.4270245730876922,0.7932845950126648,,,,1.0,0.9417110681533812,,0.4370808005332947,0.4593267440795898,0.4675817787647247,0.726392924785614,0.2597644329071045,0.2234424948692321,0.4592939019203186,0.7636467218399048,0.421231210231781,0.4083201289176941,0.5358231067657471,0.436430275440216,0.8548558354377747,0.4553391337394714,,,0.642979085445404,0.440891832113266,0.4931204319000244,0.5179752707481384,0.2384340018033981,,0.5392351150512695,0.6146109700202942,,,,,,,,,,,,
