,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
P5259,0.17981058359146118,0.161137193441391,0.1982831209897995,0.24620120227336884,0.1901620328426361,0.1697012186050415,0.19441716372966766,0.24468448758125305,0.2717191278934479,0.3774803876876831,0.42329269647598267,0.24840980768203735,0.33439838886260986,0.19761325418949127,0.1869983971118927,0.2020934373140335,0.20379981398582458,0.2513419985771179,0.24917364120483398,0.18097203969955444,0.3069145381450653,0.2172878086566925,0.28838711977005005,0.30953896045684814,0.5244971513748169,0.5818832516670227,0.5096683502197266,0.4277936816215515,0.21692100167274475,0.18183633685112,0.31940123438835144,0.30722740292549133,0.21000269055366516,0.2728586196899414,0.5727916955947876,0.6363925933837891,0.22080528736114502,0.30990737676620483,0.25296247005462646,0.23533546924591064,0.3115934431552887,0.4300517141819,0.4417232573032379,0.6112526655197144,0.3900027573108673,0.5195053219795227,0.5404971837997437,0.38283368945121765,0.3464755415916443,0.29382315278053284,0.22490194439888,0.24227389693260193,0.24524755775928497,0.39815592765808105,0.2185784876346588,0.23246493935585022,0.15929792821407318,0.18707315623760223,0.47068482637405396,0.3458019495010376,0.5037401914596558,0.4582870900630951,0.4823915362358093,0.35403814911842346,0.38159748911857605,0.44859105348587036,0.3212842345237732,0.38071826100349426,0.21983258426189423,0.2667613923549652,0.31128230690956116,0.3479255735874176,0.3214770257472992,0.3704710602760315,0.592171311378479,0.44578638672828674,0.33515578508377075,0.2514864504337311,0.34073349833488464,0.3459622859954834,0.18452276289463043,0.19839346408843994,0.23127709329128265,0.22339199483394623,0.183250293135643,0.2509160041809082,0.5628304481506348,0.5039568543434143,0.2699469327926636,0.1763741672039032,0.3618135452270508,0.3201749324798584,0.5033597350120544,0.37458086013793945,0.5073392987251282,0.5035997033119202,0.21035778522491455,0.21404224634170532,0.37309736013412476,0.35855576395988464,0.9613560438156128,0.47087377309799194,0.6684228777885437,0.6166158318519592,0.6488994359970093,0.6797546744346619,,0.8815343379974365,0.6610175967216492,0.5771528482437134,0.21622347831726074,0.3976713716983795,0.5457924008369446,0.4939142167568207,0.5978995561599731,0.6489520072937012
P5232,0.17622558772563934,0.1318550854921341,0.23074351251125336,0.16712962090969086,0.16707481443881989,0.17693351209163666,0.1089741662144661,0.17225857079029083,0.2631967067718506,0.1896970123052597,0.2111104279756546,0.21717290580272675,0.24835866689682007,0.25763487815856934,0.19756388664245605,0.22460690140724182,0.24653008580207825,0.3088732063770294,0.20914201438426971,0.24986614286899567,0.5217663049697876,0.3359994888305664,0.20547856390476227,0.27268537878990173,0.4493723213672638,0.3936347961425781,0.30312690138816833,0.2198054939508438,0.22129586338996887,0.22297857701778412,0.20341870188713074,0.2033255249261856,0.19469588994979858,0.18646371364593506,0.7187349796295166,0.743565559387207,0.20544745028018951,0.3397578299045563,0.25218114256858826,0.35035619139671326,0.4873223304748535,0.5679536461830139,0.4429022967815399,0.427016019821167,0.34655287861824036,0.33656302094459534,0.40760889649391174,0.34195205569267273,0.26606467366218567,0.28348442912101746,0.18696758151054382,0.24928082525730133,0.2638140320777893,0.2955622375011444,0.23300625383853912,0.3032607138156891,0.19682107865810394,0.16739042103290558,0.15391485393047333,0.2466079592704773,0.20800215005874634,0.2855851650238037,0.3888469934463501,0.36511605978012085,0.5604144334793091,0.3369697630405426,0.48182713985443115,0.43346571922302246,0.2586163580417633,0.26802515983581543,0.23514454066753387,0.24276985228061676,0.38727033138275146,0.3447853624820709,0.6015213131904602,0.3984391689300537,0.20301322638988495,0.26552167534828186,0.419981449842453,0.4155665934085846,0.19641347229480743,0.1999138742685318,0.2217949777841568,0.2807917296886444,0.25466957688331604,0.24378997087478638,0.5307133793830872,0.519014835357666,0.18216685950756073,0.18322081863880157,0.4109613597393036,0.4445613622665405,0.5884935855865479,0.6367096900939941,0.4695214629173279,0.3666185140609741,0.240873783826828,0.2339394986629486,0.19658653438091278,0.22911220788955688,0.3688097894191742,0.4647994637489319,0.8009219765663147,0.9167159199714661,0.8520150780677795,0.9191010594367981,1.0,1.0,0.574508547782898,0.5509899854660034,0.21349197626113892,0.22379449009895325,0.3885576128959656,0.6211762428283691,0.9044079780578613,0.7834430932998657
P5235,0.22370372712612152,0.3037126958370209,0.2714478373527527,0.27781450748443604,0.2744675278663635,0.25371813774108887,0.22976817190647125,0.33368462324142456,0.2566532492637634,0.2218736708164215,0.40709853172302246,0.42576977610588074,0.25725334882736206,0.3549674153327942,0.26436546444892883,0.2849557399749756,0.2937264144420624,0.32791662216186523,0.30458682775497437,0.41096940636634827,0.2719220519065857,0.3594972789287567,0.431613564491272,0.31695881485939026,0.5255033373832703,0.43046334385871887,0.5102907419204712,0.4430781900882721,0.2827301323413849,0.29651087522506714,0.3678225874900818,0.3219015300273895,0.33411523699760437,0.3194752037525177,0.7003136277198792,0.6923920512199402,0.3383626937866211,0.30852532386779785,0.28962528705596924,0.32510045170783997,0.4098533093929291,0.3735364079475403,0.25055578351020813,0.3469763398170471,0.3202509880065918,0.5077522397041321,0.29600417613983154,0.25312599539756775,0.4155401885509491,0.3393062353134155,0.23150551319122314,0.377612441778183,0.5155419111251831,0.41841191053390503,0.44029316306114197,0.429638147354126,0.3205717206001282,0.2510530352592468,0.2981509864330292,0.42086321115493774,0.22893600165843964,0.48851457238197327,0.3819393813610077,0.47791796922683716,0.7181388139724731,0.4613402783870697,0.3724980652332306,0.41466420888900757,0.316719651222229,0.4662380516529083,0.34764552116394043,0.36080971360206604,0.5260597467422485,0.5298775434494019,0.6612781286239624,0.5905013680458069,0.28697469830513,0.29178932309150696,0.5185486674308777,0.478704571723938,0.32181817293167114,0.26964685320854187,0.24108397960662842,0.30843839049339294,0.36759236454963684,0.2913829982280731,0.6169355511665344,0.41296786069869995,0.37276771664619446,0.4934656322002411,,,,,0.6148773431777954,0.5536550283432007,0.3406326472759247,0.42363622784614563,0.5759317278862,0.8143531680107117,,,,,,,,,0.947470486164093,0.5368087291717529,0.36790701746940613,0.6746176481246948,,,,
P5203,0.24022509157657623,0.23710058629512787,0.21226027607917786,0.20228204131126404,0.29503798484802246,0.28939270973205566,0.1678297370672226,0.21930937469005585,0.29406803846359253,0.25086554884910583,0.42909085750579834,0.25398603081703186,0.5295971035957336,0.5789921283721924,0.3531011641025543,0.331720769405365,0.2904922068119049,0.4139844477176666,0.19280584156513214,0.2141520380973816,0.36535876989364624,0.4138301610946655,0.31342384219169617,0.2676220238208771,0.49708810448646545,0.4116221070289612,0.30240556597709656,0.35059449076652527,0.23159000277519226,0.2780891954898834,0.24096521735191345,0.2893011271953583,0.2515483498573303,0.23023127019405365,0.502159059047699,0.4843585789203644,0.392181932926178,0.4153323173522949,0.38409850001335144,0.5271201133728027,0.6149306297302246,0.6096092462539673,0.41345685720443726,0.37583687901496887,0.3385353684425354,0.3092062175273895,0.3939235210418701,0.27882570028305054,0.24676592648029327,0.26785585284233093,0.18513789772987366,0.2617516815662384,0.31218674778938293,0.2728734016418457,0.26269543170928955,0.25477662682533264,0.20772384107112885,0.2190178781747818,0.23215019702911377,0.20839561522006989,0.3854338526725769,0.48518168926239014,0.2605063319206238,0.27893954515457153,0.41279712319374084,0.4544788897037506,0.2697966694831848,0.19519387185573578,0.17530764639377594,0.352165549993515,0.30444788932800293,0.3024790287017822,0.37486934661865234,0.3241032063961029,0.6586188673973083,0.2834970951080322,0.2502073347568512,0.22914275527000427,0.44657060503959656,0.4416333734989166,0.3621416389942169,0.2813321650028229,0.3057391345500946,0.43170714378356934,0.27240821719169617,0.25840330123901367,0.7615731954574585,0.7992734313011169,0.18624813854694366,0.1479749083518982,0.3478949964046478,0.3118003308773041,0.7082833647727966,0.5792365670204163,0.3319966495037079,0.447683185338974,0.39260393381118774,0.38414815068244934,0.29846981167793274,0.28715288639068604,0.9999997019767761,0.2863016724586487,0.8816404938697815,0.8949297666549683,0.8253048062324524,0.8634862303733826,0.30780985951423645,0.5116758942604065,0.7513039708137512,0.5610741972923279,0.29026174545288086,0.330757200717926,0.4357522130012512,0.709219217300415,0.8825641870498657,0.8769914507865906
P5258,0.23783718049526215,0.4215024709701538,0.2336822748184204,0.19609633088111877,0.19723941385746002,0.264597088098526,0.1515362560749054,0.21339280903339386,0.18891684710979462,0.2275298833847046,0.35786882042884827,0.41392982006073,0.2563117444515228,0.29886987805366516,0.28404489159584045,0.23475028574466705,0.3775053024291992,0.33813101053237915,0.42264115810394287,0.30855292081832886,0.2766481339931488,0.19642192125320435,0.398761123418808,0.28811416029930115,0.3238832950592041,0.3301336467266083,0.27216529846191406,0.24392881989479065,0.38021790981292725,0.40742790699005127,0.35798144340515137,0.3038029670715332,0.2931581735610962,0.21554261445999146,0.6246525049209595,0.604372501373291,0.28919917345046997,0.33587443828582764,0.22394385933876038,0.1932404637336731,0.33458924293518066,0.3718777596950531,0.5615832209587097,0.5257951617240906,0.5009661316871643,0.40372157096862793,0.4739745557308197,0.5031766891479492,0.357557088136673,0.4162103533744812,0.2751513123512268,0.48662269115448,0.28517940640449524,0.35781922936439514,0.40130823850631714,0.3568677604198456,0.2867768704891205,0.4408002197742462,0.3207623362541199,0.36693236231803894,0.300184041261673,0.40065380930900574,0.3580110967159271,0.3428121507167816,0.46891725063323975,0.3985433876514435,0.3736054301261902,0.323144793510437,0.2794470191001892,0.23169206082820892,0.2862274646759033,0.35423094034194946,0.6270203590393066,0.6341692805290222,0.57023024559021,0.6613888144493103,0.4487416446208954,0.5725923180580139,0.5529059171676636,0.6510316133499146,0.38407614827156067,0.39134645462036133,0.23321379721164703,0.39125558733940125,0.2829743027687073,0.27179962396621704,0.2687731683254242,0.28842222690582275,0.15603019297122955,0.17018190026283264,0.30416709184646606,0.36090198159217834,0.4368444085121155,0.6627109050750732,0.4275427460670471,0.47353941202163696,0.2818794250488281,0.23915481567382812,0.4034891724586487,0.5004544854164124,0.6964796781539917,0.7755193114280701,0.5339269042015076,0.5648010969161987,0.5081376433372498,0.5934358239173889,0.6840752363204956,0.6751212477684021,0.5048331022262573,0.4477561414241791,0.2829906642436981,0.5156372785568237,0.4645795524120331,0.5341721177101135,0.4176970422267914,0.7179422974586487
P52125,0.27337875962257385,0.30765384435653687,0.23938922584056854,0.3319949805736542,0.2623627781867981,0.2888086140155792,0.27103129029273987,0.2893265187740326,0.31034737825393677,0.3174411654472351,0.3717162013053894,0.2862766981124878,0.38554567098617554,0.34681352972984314,0.16035768389701843,0.2155887931585312,0.3354836106300354,0.47364652156829834,0.3185183107852936,0.35498079657554626,0.23546527326107025,0.42455095052719116,0.37432920932769775,0.2991548180580139,0.6681326031684875,0.46823427081108093,0.5403498411178589,0.4984462559223175,0.28845658898353577,0.3092941641807556,0.3778623044490814,0.3911539912223816,0.30495184659957886,0.33762127161026,0.6449289321899414,0.5775548815727234,0.567714512348175,0.2200406938791275,0.28605732321739197,0.25264623761177063,0.461577445268631,0.28244683146476746,0.5147898197174072,0.4559154212474823,0.2817385792732239,0.569145679473877,0.3768913149833679,0.2694386839866638,0.387773722410202,0.3726465106010437,0.43962374329566956,0.3115556538105011,0.42888981103897095,0.4122363328933716,0.32340800762176514,0.2503760755062103,0.32837995886802673,0.32837456464767456,0.43842044472694397,0.46616414189338684,0.45653292536735535,0.3778396248817444,0.4124867916107178,0.39545512199401855,0.6054095029830933,0.42245376110076904,0.458077073097229,0.3711552917957306,0.551841676235199,0.4476483166217804,0.3425654470920563,0.37236806750297546,0.3711020350456238,0.40047401189804077,0.5631545782089233,0.4768735468387604,0.26395559310913086,0.3185255229473114,0.5870493054389954,0.5553296804428101,0.36969950795173645,0.442258358001709,0.21894168853759766,0.3964172303676605,0.2762719988822937,0.21044355630874634,0.5105653405189514,0.4837549030780792,0.21928498148918152,0.24468585848808289,0.4283232092857361,0.34558114409446716,0.7003759741783142,0.40739375352859497,0.39514708518981934,0.549912691116333,0.18715883791446686,0.1892876774072647,0.4853091239929199,0.24819587171077728,0.9805352687835693,0.27143150568008423,0.755230724811554,0.7610350251197815,0.6313539147377014,0.73870450258255,0.7867100238800049,0.9107862710952759,0.5887571573257446,0.5742696523666382,0.345469206571579,0.34083130955696106,0.45677289366722107,0.5698654651641846,0.556333065032959,0.5721673369407654
P5260,0.24626606702804565,0.250061959028244,0.30697280168533325,0.34296029806137085,0.26417970657348633,0.20949968695640564,0.23174187541007996,0.199013352394104,0.26569664478302,0.39572668075561523,0.3799620568752289,0.43734651803970337,0.32159897685050964,0.34164342284202576,0.20055902004241943,0.30124416947364807,0.32684069871902466,0.3091776669025421,0.30585765838623047,0.2054523229598999,0.3503011465072632,0.2780526578426361,0.2518025040626526,0.27487295866012573,0.46179771423339844,0.5296396613121033,0.40478429198265076,0.31566229462623596,0.2579651474952698,0.3327983021736145,0.5631409883499146,0.4353957176208496,0.2704418897628784,0.25798434019088745,0.6079462766647339,0.6132965683937073,0.2649903893470764,0.2896265983581543,0.3488842248916626,0.236239954829216,0.37089911103248596,0.3488312065601349,0.3644673824310303,0.328921914100647,0.4086703956127167,0.4348803162574768,0.23518690466880798,0.21878355741500854,0.36016586422920227,0.3228205442428589,0.2426271289587021,0.38827329874038696,0.32075801491737366,0.4067271053791046,0.2561553120613098,0.23885546624660492,0.22203198075294495,0.2647677958011627,0.35051441192626953,0.3491915464401245,0.2898617088794708,0.3208150565624237,0.26570895314216614,0.39385175704956055,0.3892495334148407,0.3683397173881531,0.4638870060443878,0.43905287981033325,0.2501790225505829,0.19315733015537262,0.24275067448616028,0.2874206304550171,0.37987419962882996,0.382594496011734,0.5762636065483093,0.32328954339027405,0.24475032091140747,0.24466033279895782,0.4613010287284851,0.522024393081665,0.223201721906662,0.3949865698814392,0.3468618094921112,0.6015024185180664,0.2334699034690857,0.2179022878408432,0.3007017970085144,0.22219130396842957,0.27032023668289185,0.1958664506673813,0.34025922417640686,0.2802038788795471,0.540623664855957,0.40120866894721985,0.5738411545753479,0.6376505494117737,0.39114049077033997,0.2863093614578247,0.23879338800907135,0.2369191199541092,0.9438117742538452,0.43161630630493164,0.6079056262969971,0.5899789333343506,0.6137362718582153,0.6486769914627075,0.7473180890083313,0.8790808320045471,0.43135780096054077,0.457059770822525,0.35009312629699707,0.5262485146522522,0.46912139654159546,0.47873684763908386,0.5402727127075195,0.5714671611785889
P5205,0.24363093078136444,0.24830138683319092,0.22909501194953918,0.27676188945770264,0.2724796533584595,0.3073209524154663,0.24877196550369263,0.28061696887016296,0.2682199776172638,0.35674554109573364,0.4015381634235382,0.397531121969223,0.3467978239059448,0.41432034969329834,0.36018458008766174,0.22975637018680573,0.4715639650821686,0.4282993972301483,0.20208123326301575,0.26205387711524963,0.27199140191078186,0.7867586016654968,0.26729699969291687,0.3200663924217224,0.43286195397377014,0.4276292622089386,0.37127307057380676,0.4023459553718567,0.5493342280387878,0.35913795232772827,0.3492594361305237,0.309166818857193,0.41176676750183105,0.3316217064857483,0.7614465355873108,0.7342923283576965,0.45455819368362427,0.4102083444595337,0.34523236751556396,0.3097379505634308,0.8195919990539551,0.8561375737190247,0.3607758581638336,0.28038105368614197,0.6042006611824036,0.5454616546630859,0.1858205795288086,0.4242921769618988,0.25998276472091675,0.2262371927499771,0.3088367283344269,0.3589842915534973,0.3974868357181549,0.25998958945274353,0.32393452525138855,0.3295120596885681,0.20290246605873108,0.2111034095287323,0.2561591863632202,0.2902738153934479,0.34277427196502686,0.46364080905914307,0.32947826385498047,0.43462058901786804,0.4706685245037079,0.5843193531036377,0.4412500858306885,0.45793482661247253,0.31038153171539307,0.2958821952342987,0.2772030830383301,0.32679104804992676,0.34373822808265686,0.3598470091819763,0.5957004427909851,0.3752481937408447,0.35539260506629944,0.2867206931114197,0.7239896059036255,0.4686397314071655,0.37815743684768677,0.3117242753505707,0.3684532046318054,0.4549398720264435,0.2215615063905716,0.23241399228572845,0.823936939239502,0.6419807076454163,0.37737467885017395,0.2416743040084839,0.6231686472892761,0.4021371304988861,0.9114525318145752,0.8634135127067566,0.4419304132461548,0.45932456851005554,0.3511255085468292,0.49274513125419617,0.47921982407569885,0.4919065535068512,0.9538228511810303,0.3690195381641388,0.654839813709259,0.3488633334636688,0.21719615161418915,0.4075016975402832,0.4459103047847748,0.4918651282787323,0.7814470529556274,0.5363379120826721,0.49310433864593506,0.3104596436023712,0.5535827875137329,0.820357620716095,0.1987011581659317,0.7685649991035461
P5234,0.2216588407754898,0.3046748638153076,0.23530183732509613,0.2384830266237259,0.26249438524246216,0.22654221951961517,0.24415554106235504,0.37079834938049316,0.24290208518505096,0.45196184515953064,0.399566113948822,0.40078577399253845,0.320250540971756,0.30593782663345337,0.2526411712169647,0.284721702337265,0.31155362725257874,0.40250036120414734,0.297762393951416,0.32539939880371094,0.276271253824234,0.34717413783073425,0.39664676785469055,0.3488163650035858,0.5036791563034058,0.4281761646270752,0.35260891914367676,0.300586462020874,0.3087354600429535,0.2894012928009033,0.4682423174381256,0.43707531690597534,0.3018608093261719,0.25168558955192566,0.7197689414024353,0.6229479908943176,0.31089967489242554,0.29056599736213684,0.3178514540195465,0.3149890899658203,0.49626606702804565,0.5097286701202393,0.2733422517776489,0.2565392851829529,0.40964967012405396,0.3659385144710541,0.30911022424697876,0.23033827543258667,0.25165724754333496,0.2590227425098419,0.24730779230594635,0.21836848556995392,0.2810502350330353,0.4122142493724823,0.26222968101501465,0.2182711660861969,0.23800338804721832,0.3209649622440338,0.40075957775115967,0.4301743805408478,0.4626798927783966,0.5832734704017639,0.33501192927360535,0.3254186809062958,0.6146386861801147,0.369331419467926,0.29396799206733704,0.3260464072227478,0.34364527463912964,0.3735697567462921,0.44652116298675537,0.446415513753891,0.5318121314048767,0.5590012669563293,0.5739820003509521,0.6399697065353394,0.40148985385894775,0.2978956997394562,0.47318917512893677,0.4245666265487671,0.2853115499019623,0.18987104296684265,0.2282467484474182,0.187155082821846,0.21677066385746002,0.25476861000061035,0.484928697347641,0.37309613823890686,0.2756427228450775,0.3129313886165619,0.4906202554702759,0.6036500930786133,0.8889561891555786,0.44788578152656555,0.4045700132846832,0.2984752655029297,0.2944320738315582,0.2806757688522339,0.44535982608795166,0.37393736839294434,,,0.9991205334663391,0.9999996423721313,0.7776920795440674,0.5496205687522888,,,0.5741943120956421,0.3847663104534149,0.34416431188583374,0.49001219868659973,0.7440619468688965,0.7440656423568726,0.27765798568725586,0.7864908576011658
P5233,0.27158185839653015,0.25276103615760803,0.3239806890487671,0.3808269500732422,0.27093929052352905,0.7038246989250183,0.22902201116085052,0.32902956008911133,0.43866801261901855,0.7413267493247986,0.46823936700820923,0.3071959316730499,0.41898420453071594,0.4039299786090851,0.3118966221809387,0.6425793170928955,0.44862720370292664,0.43157458305358887,0.38024720549583435,0.2636715769767761,0.3170223534107208,0.43044671416282654,0.3204435110092163,0.3184615969657898,0.39185085892677307,0.5347958207130432,0.34603777527809143,0.3638036251068115,0.5298527479171753,0.4358806610107422,0.3372102677822113,0.31063586473464966,0.29661694169044495,0.2946859300136566,0.6812251806259155,0.6284118294715881,0.28407034277915955,0.3992748558521271,0.3022095561027527,0.35860782861709595,0.5178817510604858,0.5461258888244629,0.44134950637817383,0.38278067111968994,0.4384261965751648,0.4196355938911438,0.33498165011405945,0.4693436026573181,0.2959669530391693,0.4079356789588928,0.3763231635093689,0.29841309785842896,0.3592014014720917,0.5292401909828186,0.30560117959976196,0.38127321004867554,0.3246873617172241,0.29109203815460205,0.3743269741535187,0.41098251938819885,0.4343898594379425,0.6328490376472473,0.3175986707210541,0.382841557264328,0.5153753757476807,0.540863037109375,0.3285268545150757,0.33624669909477234,0.4352295696735382,0.4904693365097046,0.4170653522014618,0.35500186681747437,0.541980504989624,0.5918010473251343,0.6786906719207764,0.6268662214279175,0.3291151821613312,0.3945890963077545,0.605055570602417,0.6178162097930908,0.2935984432697296,0.40128374099731445,0.3253193497657776,0.4128234088420868,0.2781582474708557,0.2509901821613312,0.652174711227417,0.6500906944274902,0.32125118374824524,0.30232590436935425,0.3424498736858368,0.34372732043266296,0.33136311173439026,0.5407243371009827,0.7077029347419739,0.6644275784492493,0.45551079511642456,0.5243685245513916,0.4461784362792969,0.31921347975730896,0.9531434774398804,0.390160471200943,0.8470798134803772,0.8529810905456543,0.8381467461585999,0.7728472352027893,0.27220606803894043,0.9997062087059021,0.8035976886749268,0.6398414373397827,0.47952795028686523,0.5324156880378723,0.5228842496871948,0.6724420785903931,0.7295319437980652,0.8395466804504395
