,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
P5203,0.19178175926208496,0.21963253617286682,0.21801118552684784,0.13853667676448822,0.34865841269493103,0.3466948866844177,0.1672516167163849,0.14194317162036896,0.4598754644393921,0.6700800657272339,0.49032846093177795,0.4311339557170868,0.5053727626800537,0.43263906240463257,0.38327717781066895,0.55615234375,0.6033745408058167,0.5480489730834961,0.5558253526687622,0.45056888461112976,,0.8384141325950623,0.3420526385307312,0.36755234003067017,0.740538477897644,0.7683226466178894,0.6868309378623962,0.6257739067077637,0.3120998740196228,0.262973815202713,0.3533971905708313,0.3643485903739929,0.5151170492172241,0.3973449766635895,,,0.6924165487289429,0.625350832939148,0.6269357204437256,0.5335703492164612,,,0.2881377339363098,0.4041943848133087,0.539191722869873,0.5602772831916809,0.31782951951026917,0.22119998931884766,0.40507772564888,0.3321501612663269,0.22498849034309387,0.2909453809261322,0.5662015676498413,0.6137133240699768,0.173210009932518,0.24987269937992096,0.18840669095516205,0.1885301023721695,0.30969440937042236,0.31311488151550293,0.28415361046791077,0.5195927023887634,0.5841469168663025,0.5430551767349243,0.6327650547027588,0.27114421129226685,0.40798282623291016,0.1662825495004654,0.7403255105018616,,0.39859738945961,0.5798477530479431,0.6764529943466187,0.6360331773757935,,,,0.9978849291801453,0.3610393702983856,,0.267513632774353,0.34272831678390503,0.28756392002105713,0.849581778049469,0.1332302987575531,0.15833203494548798,0.8641167283058167,0.9999999403953552,0.23117925226688385,0.381834477186203,0.36684349179267883,0.4763716459274292,,0.23741397261619568,,,0.6728572249412537,0.48490601778030396,0.4728947877883911,0.3886747658252716,0.39277100563049316,,,,,,,,,,,,,,,
P5205,0.41317781805992126,0.27537667751312256,0.22964099049568176,0.22917552292346954,0.29871416091918945,0.442527174949646,0.17995725572109222,0.17146867513656616,0.5359596610069275,0.6424590945243835,0.6970939636230469,0.8015899062156677,0.6153203248977661,0.5540696978569031,0.3726833462715149,0.5022413730621338,0.5205269455909729,0.5280291438102722,0.5227492451667786,0.40255069732666016,,0.9682332277297974,0.3866903483867645,0.38218042254447937,0.588497519493103,0.672357976436615,0.7212753295898438,0.5929789543151855,0.2794554829597473,0.39651140570640564,0.46474769711494446,0.44443121552467346,0.37217748165130615,0.43447595834732056,,,0.7280395030975342,0.6699005961418152,0.4288094937801361,0.44093215465545654,,,0.3144526183605194,0.32212918996810913,0.3557857573032379,0.5594990849494934,0.25883573293685913,0.3612348735332489,0.3942001461982727,0.4080401360988617,0.3491351008415222,0.4720277786254883,0.33781883120536804,0.6494235992431641,0.3059777021408081,0.28706517815589905,0.43418368697166443,0.2620161473751068,0.3885692358016968,0.34121179580688477,0.34341156482696533,0.5074935555458069,0.532055675983429,0.607252836227417,0.5948471426963806,0.42448946833610535,0.42398589849472046,0.30667340755462646,0.7329836487770081,,0.47975409030914307,0.49843257665634155,0.4986003041267395,0.6771971583366394,,,,0.9616346955299377,0.872744083404541,,0.2690569758415222,0.29529717564582825,0.43166443705558777,0.5761762261390686,0.25135278701782227,0.29873138666152954,0.6517757177352905,0.5979088544845581,0.3292454481124878,0.28444141149520874,0.43388697504997253,0.5036208629608154,0.7227235436439514,0.48068371415138245,,,0.4301115870475769,0.6598069667816162,0.5172776579856873,0.38408246636390686,0.5521707534790039,,0.35179826617240906,0.8500059247016907,,,,,,,,,,,,
P5211,0.2427709996700287,0.28882816433906555,0.1417914777994156,0.13086548447608948,0.2787538766860962,0.4605843722820282,0.1568470150232315,0.1394369900226593,0.5262987613677979,0.5196056365966797,0.6751899123191833,0.43937259912490845,0.461299329996109,0.35235655307769775,0.4130111336708069,0.4115004241466522,0.44949015974998474,0.4155709743499756,0.5760439038276672,0.4699695408344269,,,0.43308955430984497,0.45498672127723694,0.687100350856781,0.7369332313537598,0.6893540024757385,0.6277146935462952,0.3534475862979889,0.44362062215805054,0.4972720742225647,0.47986823320388794,0.5802855491638184,0.36622539162635803,,,0.6903488636016846,0.6546254754066467,0.6874129772186279,0.39861947298049927,,,0.3364194333553314,0.316871702671051,0.42221128940582275,0.4138675034046173,0.23624037206172943,0.17357859015464783,0.47025448083877563,0.4916285574436188,0.2415991574525833,0.44256308674812317,0.4626646637916565,0.7982950806617737,0.23592065274715424,0.3172050714492798,0.2899710536003113,0.2528644800186157,0.36411014199256897,0.3343041241168976,0.24025434255599976,0.37300917506217957,0.4479198455810547,0.7363913655281067,0.6405298113822937,0.38410255312919617,0.35071802139282227,0.234164759516716,0.5973181128501892,,0.5580401420593262,0.5755762457847595,0.5362275838851929,0.6752398014068604,,,,,0.7092658281326294,,0.2912599444389343,0.38889190554618835,0.4578334093093872,0.7768281102180481,0.20095743238925934,0.33575713634490967,0.6182323694229126,0.6820918321609497,0.24137908220291138,0.34803307056427,0.31405845284461975,0.3104786276817322,0.4092251658439636,0.47003766894340515,,,0.5331275463104248,0.4860913157463074,0.3484688401222229,0.445343017578125,0.5704517960548401,0.9998994469642639,0.39066553115844727,0.8630505204200745,,,,,,,,,,,,
P5229,0.2824214696884155,0.3070622682571411,0.2993088960647583,0.3221254348754883,0.31976956129074097,0.3506741523742676,0.25895917415618896,0.2622349262237549,0.4279576539993286,0.4958875775337219,0.3654913604259491,0.5925908088684082,0.4098244607448578,0.4033188223838806,0.358857661485672,0.3707011044025421,0.3842839002609253,0.35778725147247314,0.4460233151912689,0.3051448464393616,,0.8242263197898865,0.39309439063072205,0.4370572566986084,0.5622754096984863,0.6370427012443542,0.6288811564445496,0.5077113509178162,0.25812676548957825,0.31784719228744507,0.43402889370918274,0.4662000834941864,0.4668576121330261,0.3475349247455597,,,0.5665126442909241,0.5210331082344055,0.5192904472351074,0.38347339630126953,,,0.3461586534976959,0.3011847734451294,0.3941694498062134,0.38751882314682007,0.2793615162372589,0.31782811880111694,0.3955642879009247,0.5457081198692322,0.2951166331768036,0.2898029088973999,0.5216053128242493,0.7061417698860168,0.21568790078163147,0.22092311084270477,0.2634073495864868,0.296207994222641,0.3018615245819092,0.3178459107875824,0.29575052857398987,0.4252939522266388,0.44855716824531555,0.3265147805213928,0.5295054316520691,0.32980212569236755,0.5532712340354919,0.3885834813117981,0.7228912711143494,,0.454555869102478,0.4102865159511566,0.5340349078178406,0.6689563393592834,,,,0.8931883573532104,0.8438162207603455,,0.24968037009239197,0.26587897539138794,0.36282095313072205,0.482462614774704,0.24194198846817017,0.3481101393699646,0.7519516944885254,0.2407844215631485,0.29810526967048645,0.28580987453460693,0.49012866616249084,0.5309590697288513,,0.9076285362243652,,,0.6210953593254089,0.35003939270973206,0.4460376799106598,0.3427736759185791,,,,0.9822792410850525,,,,,,,,,,,,
P5216,0.43124765157699585,0.2500690221786499,0.26962459087371826,0.2292310744524002,0.2944214344024658,0.3750826418399811,0.16556568443775177,0.16165760159492493,0.4652175009250641,0.3094826340675354,0.4912029802799225,0.7440364956855774,0.35007673501968384,0.3252825438976288,0.42751091718673706,0.26739203929901123,0.3288933038711548,0.34351661801338196,0.5304907560348511,0.3565630614757538,,,0.29820016026496887,0.3193656802177429,0.5919397473335266,0.6042434573173523,0.5346223711967468,0.47724512219429016,0.23617902398109436,0.26015183329582214,0.32957056164741516,0.3590247929096222,0.451485812664032,0.3619084358215332,,,0.5103153586387634,0.5479779243469238,0.5254560708999634,0.3934195935726166,,,0.4011789858341217,0.38392874598503113,0.2783702313899994,0.5033249855041504,0.22223782539367676,0.2538524866104126,0.45613154768943787,0.47462645173072815,0.3175971508026123,0.3498559892177582,0.39328864216804504,0.6200289726257324,0.22975857555866241,0.18240801990032196,0.4454253017902374,0.262344092130661,0.35908201336860657,0.4690611958503723,0.39340507984161377,0.3731074929237366,0.5124087333679199,0.49276202917099,0.590054988861084,0.4608113467693329,0.5144126415252686,0.20262235403060913,0.5316472053527832,,0.3995797336101532,0.4835415482521057,0.38083547353744507,0.5246353149414062,,,,,0.8962591886520386,,0.35126614570617676,0.27494484186172485,0.46388450264930725,0.5074017643928528,0.21080255508422852,0.20594803988933563,0.6146619319915771,0.583931565284729,0.29945480823516846,0.22373755276203156,0.47772717475891113,0.4548795819282532,0.4499335289001465,0.5747532844543457,,,0.5092952251434326,0.28365981578826904,0.32516562938690186,0.4129556119441986,0.5082063674926758,0.9413809180259705,0.402871310710907,0.6569685339927673,,,,,,,,,,,,
P5220,0.3449998199939728,0.27540528774261475,0.25364649295806885,0.27893567085266113,0.49955296516418457,0.5545832514762878,0.2064114660024643,0.18517668545246124,0.6502509117126465,0.6959440112113953,0.566038191318512,0.7462431192398071,0.5545151233673096,0.6133736968040466,0.5709013938903809,0.5882285833358765,0.584550678730011,0.6024457812309265,0.5688408017158508,0.49088233709335327,,0.9008499383926392,0.35058537125587463,0.39229732751846313,0.6685512065887451,0.6550260186195374,0.5327764749526978,0.5966314673423767,0.3819679915904999,0.38045573234558105,0.3885360062122345,0.4190561771392822,0.5032780170440674,0.3969515264034271,,,0.752512514591217,0.8039896488189697,0.6564351320266724,0.6142041683197021,,,0.49304068088531494,0.539309561252594,0.6193992495536804,0.5245234370231628,0.49375787377357483,0.4723827540874481,0.4741489887237549,0.3172895908355713,0.35973960161209106,0.38898104429244995,0.6580268740653992,0.8145076036453247,0.40622764825820923,0.43769410252571106,0.34608784317970276,0.2640550434589386,0.4729447066783905,0.4642026722431183,0.5872599482536316,0.6735835075378418,0.6433156728744507,0.754313051700592,0.6506962180137634,0.5346933603286743,0.49209484457969666,0.20923127233982086,0.7830889821052551,,0.4953175485134125,0.5593687891960144,0.6175707578659058,0.4958920180797577,,,,0.9244411587715149,0.858949601650238,,0.4479246437549591,0.4166867136955261,0.7000787258148193,0.6992748379707336,0.21185588836669922,0.2481941431760788,0.711791455745697,,0.5111586451530457,0.4732964336872101,0.589974582195282,0.6755408644676208,,0.7557910084724426,,,0.5531185269355774,0.5993366837501526,0.7062625885009766,0.5605588555335999,,,,0.9677306413650513,,,,,,,,,,,,
P5218,0.3811693787574768,0.2783083915710449,0.38852575421333313,0.22950823605060577,,,0.2590750753879547,0.23872976005077362,,,,,,,,,,,,,,,0.9806898236274719,,,,,,,0.8941906690597534,,,,,,,,,,,,,0.7841618061065674,,,,,0.24999718368053436,,,0.2810990810394287,0.6369659900665283,,,0.5825954079627991,0.4064570665359497,0.32703518867492676,0.2329363077878952,0.8031633496284485,0.3867356777191162,,,,,,0.9498995542526245,0.7283967137336731,0.37580054998397827,,,,,,,,,,,,,0.27703386545181274,0.8473109006881714,,,0.3547866642475128,0.36175477504730225,,,0.5951695442199707,0.6330495476722717,1.000000238418579,,,,,,,,,0.683435320854187,,,,,,,,,,,,,,,,
P5227,0.3623775541782379,0.4089867174625397,0.31636911630630493,0.33504021167755127,0.3692435920238495,0.34895363450050354,0.31227049231529236,0.31094905734062195,0.4677852690219879,0.47959697246551514,0.5135829448699951,0.6518914103507996,0.362052321434021,0.5178255438804626,0.428753137588501,0.4001970589160919,0.5064250826835632,0.4002186954021454,0.4002479314804077,0.3104686737060547,,0.8182681798934937,0.3546628952026367,0.2774423062801361,0.548636257648468,0.5521709322929382,0.5722224712371826,0.6510082483291626,0.3312024474143982,0.36827921867370605,0.42144128680229187,0.3669856786727905,0.34031084179878235,0.33206239342689514,,,0.5421659350395203,0.556551456451416,0.5792544484138489,0.4654182493686676,,,0.43349066376686096,0.29065343737602234,0.44098100066185,0.3446926474571228,0.27909037470817566,0.3341130018234253,0.4531867802143097,0.4490814208984375,0.39048558473587036,0.3935109078884125,0.5163689255714417,0.6773935556411743,0.3009079694747925,0.27190741896629333,0.40395209193229675,0.3578248620033264,0.3723863661289215,0.3781384825706482,0.3395548164844513,0.470438688993454,0.46550434827804565,0.6189810633659363,0.5429905652999878,0.41237419843673706,0.4852325916290283,0.38253501057624817,0.6284653544425964,,0.39651358127593994,0.33772948384284973,0.4920634627342224,0.5430412888526917,,,,0.7435161471366882,0.9098564982414246,,0.32757434248924255,0.2904182970523834,0.5247488617897034,0.7863684892654419,0.3092424273490906,0.31605264544487,0.3187369704246521,,0.3300338387489319,0.2849694788455963,0.45498019456863403,0.4814152121543884,,,,,0.789410412311554,0.46192359924316406,0.5012300610542297,0.3777930438518524,,0.0,,,,,0.0,,,,,,,,,
P5228,0.27071458101272583,0.20751681923866272,0.22584527730941772,0.19674241542816162,0.2440015971660614,0.2599553167819977,0.17925474047660828,0.14296920597553253,0.54444819688797,0.6695787310600281,0.6635401248931885,0.6907791495323181,0.5982226729393005,0.511001706123352,0.4231647253036499,0.50282222032547,0.4196520745754242,0.45012950897216797,0.3851417005062103,0.31908661127090454,,0.9428002834320068,0.2550748884677887,0.25918909907341003,0.6233270168304443,0.6877784132957458,0.7054778933525085,0.643603503704071,0.21606440842151642,0.27568480372428894,0.27147600054740906,0.3067484200000763,0.4685002267360687,0.38006001710891724,,,0.8338605761528015,0.7162548303604126,0.5859454870223999,0.5136822462081909,,,0.28230637311935425,0.3747473955154419,0.3075369894504547,0.5251964330673218,0.3189072906970978,0.2542736530303955,0.395954966545105,0.3449007570743561,0.3491951823234558,0.30251622200012207,0.43421199917793274,0.8149623870849609,0.1843484342098236,0.20515811443328857,0.24117857217788696,0.17912930250167847,0.31046390533447266,0.37867191433906555,0.30751579999923706,0.5665237307548523,0.5890424251556396,0.533893883228302,0.7657275795936584,0.39392125606536865,0.3896881937980652,0.18477259576320648,0.9071277379989624,,0.35574856400489807,0.432098925113678,0.6612691283226013,0.7096683382987976,,,,0.9852762222290039,0.839113712310791,,0.21106913685798645,0.21467511355876923,0.5270358324050903,0.7441267371177673,0.15635935962200165,0.1894029825925827,0.7190133929252625,0.5192399621009827,0.23997066915035248,0.21832118928432465,0.48773452639579773,0.40758979320526123,0.5262642502784729,0.7258985638618469,,,0.7490308284759521,0.46802809834480286,0.415844589471817,0.4233469069004059,0.7081910967826843,,0.24470728635787964,0.9346699714660645,,,,,,,,,,,,
P5210,0.3851858973503113,0.3175416588783264,0.2432655692100525,0.21593274176120758,0.5206292271614075,0.4419846534729004,0.1562768816947937,0.15668845176696777,0.6148239374160767,0.525386393070221,0.4346049726009369,0.6341971755027771,0.4142354726791382,0.42664098739624023,0.5483273863792419,0.4577319025993347,0.40016645193099976,0.40336015820503235,0.39798828959465027,0.33893895149230957,,,0.2708105742931366,0.3205637037754059,0.6012299656867981,0.7081896066665649,0.8636049032211304,0.6294583678245544,0.40815120935440063,0.2779778838157654,0.31449562311172485,0.283428430557251,0.45393720269203186,0.4621677100658417,,,0.7083167433738708,0.5800969004631042,0.6190640330314636,0.7584398984909058,,,0.4274871051311493,0.4673636257648468,0.6391456723213196,0.4872351586818695,0.5204992890357971,0.3515041768550873,0.4822358787059784,0.3655281364917755,0.5264297723770142,0.26067501306533813,0.6204269528388977,0.7984263300895691,0.3262750506401062,0.23195327818393707,0.2985604405403137,0.34489956498146057,0.3109939694404602,0.5400564670562744,0.48049402236938477,0.5962831377983093,0.48364126682281494,0.4868760108947754,0.7718467712402344,0.6382591128349304,0.39807650446891785,0.2011123150587082,0.6025651693344116,,0.3100917637348175,0.4426898956298828,0.42702457308769226,0.7932845950126648,,,,1.0,0.9417110681533813,,0.4370808005332947,0.45932674407958984,0.46758177876472473,0.726392924785614,0.2597644329071045,0.22344249486923218,0.4592939019203186,0.7636467218399048,0.421231210231781,0.4083201289176941,0.5358231067657471,0.43643027544021606,0.8548558354377747,0.45533913373947144,,,0.642979085445404,0.440891832113266,0.4931204319000244,0.5179752707481384,0.23843400180339813,,0.5392351150512695,0.6146109700202942,,,,,,,,,,,,
