,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
P5259,0.27211079001426697,0.2616293430328369,0.1652648001909256,0.15744277834892273,0.27617889642715454,0.3094291388988495,0.15533547103405,0.1505228728055954,0.7719654440879822,0.7645161747932434,0.7117025852203369,0.47967252135276794,0.6572263240814209,0.3903311789035797,0.6711021065711975,0.7401425838470459,0.5633121728897095,0.736936628818512,0.49984756112098694,0.43136414885520935,,,0.3223843574523926,0.3757766783237457,0.8383625149726868,0.7245833277702332,0.6620810627937317,0.6812527179718018,0.3548908531665802,0.230032816529274,0.3002316653728485,0.2929188311100006,0.5803335905075073,0.5692982077598572,,,0.8080436587333679,0.7163333296775818,0.5837863087654114,0.6014159321784973,,,0.3065756857395172,0.5347549915313721,0.47816598415374756,0.7289931178092957,0.4536886215209961,0.3358985483646393,0.4565502107143402,0.3765784204006195,0.4004943072795868,0.5002449750900269,0.41809096932411194,0.7396029233932495,0.21610625088214874,0.21789008378982544,0.2974304258823395,0.26910051703453064,0.4803351163864136,0.5714144706726074,0.5682466626167297,0.661126434803009,0.6626114845275879,0.7069160342216492,0.6675808429718018,0.5603490471839905,0.2931568920612335,0.3614731729030609,0.8377853631973267,,0.33393394947052,0.560109555721283,0.8205104470252991,0.6538271307945251,,,,,0.8315895199775696,,0.37344223260879517,0.44103705883026123,0.684893012046814,0.6488792896270752,0.17060308158397675,0.21165454387664795,0.8111096024513245,0.5927452445030212,0.36425715684890747,0.24342812597751617,0.6562947630882263,0.700766921043396,0.6329658627510071,0.7530733942985535,,,0.656819760799408,0.660461962223053,0.7033231854438782,0.6488963961601257,0.47902780771255493,0.9866620898246765,0.5873139500617981,0.8478296399116516,,,,,,,,,,,,
P5232,0.37930580973625183,0.5502322912216187,0.4072457551956177,0.3212391436100006,0.7612136006355286,0.8019992709159851,0.31165385246276855,0.2539805471897125,,,0.6535954475402832,0.40743088722229004,,,,,,,0.9971226453781128,0.31152209639549255,,,0.5304142236709595,0.6742033362388611,,,,,0.6840373873710632,0.5070556998252869,0.6156814098358154,0.6458397507667542,,,,,,,,,,,0.47198301553726196,0.5444186329841614,0.5247296094894409,0.9073135256767273,0.4991512894630432,0.8202877044677734,0.5892678499221802,0.6678256392478943,0.301446795463562,0.587277889251709,,,0.7124078273773193,0.8262273073196411,0.33120569586753845,0.4425123333930969,0.7348585724830627,0.6397543549537659,0.9999998807907104,,0.4138328433036804,,,0.9999999403953552,0.4145236909389496,0.22203880548477173,,,0.8519948720932007,0.7423787713050842,,,,,,,,,0.6861981749534607,0.9037840962409973,0.9999998807907104,,0.3182718753814697,0.43058377504348755,,,,0.9999791979789734,,,,,,,,0.5456743836402893,,,,,,,,,,,,,,,,,,
P5235,0.29204681515693665,0.24479325115680695,0.2118416130542755,0.2184787392616272,0.40020328760147095,0.44563981890678406,0.2522016167640686,0.31072595715522766,0.5790830850601196,0.5392825603485107,0.6018257737159729,0.44273391366004944,0.4903573989868164,0.6259597539901733,0.516101062297821,0.3794853687286377,0.44170400500297546,0.3695899248123169,0.36675623059272766,0.3407015800476074,,,0.28780853748321533,0.3014669716358185,0.6460163593292236,0.5835169553756714,0.7225808501243591,0.5276764035224915,0.3410153388977051,0.31849777698516846,0.40342026948928833,0.3468995690345764,0.37020549178123474,0.30464282631874084,,,0.6176560521125793,0.5940698981285095,0.3847913444042206,0.48943454027175903,,,0.32616621255874634,0.35371753573417664,0.4532407522201538,0.4397493898868561,0.4541233479976654,0.5097716450691223,0.3192248046398163,0.3440084755420685,0.3288678228855133,0.39510849118232727,0.5888288021087646,0.6652359962463379,0.35496386885643005,0.3433343768119812,0.24769988656044006,0.2671644389629364,0.33686596155166626,0.3963335156440735,0.4328530430793762,0.5415998101234436,0.4393294155597687,0.5874249339103699,0.6855717301368713,0.589177131652832,0.3428494930267334,0.29215574264526367,0.5924037098884583,,0.3495177924633026,0.332038015127182,0.38584861159324646,0.4729161560535431,,,,,0.8958682417869568,,0.42006716132164,0.3481057286262512,0.4331821799278259,0.5851077437400818,0.3494132459163666,0.23914620280265808,0.5590206980705261,0.6326918005943298,0.3441636562347412,0.28836771845817566,0.5093004703521729,0.3783913850784302,0.5271821618080139,0.3503119945526123,,,0.5417019128799438,0.6341838240623474,0.47615087032318115,0.4205363690853119,0.6465120911598206,0.9239314794540405,0.726543128490448,0.6716988682746887,,,,,,,,,,,,
P5258,0.28361836075782776,0.23703645169734955,0.20718467235565186,0.2472476214170456,0.31119304895401,0.38882845640182495,0.23367802798748016,0.23009251058101654,0.6200485229492188,0.6922919750213623,0.40850338339805603,0.627165675163269,0.3515661060810089,0.41722890734672546,0.5249425172805786,0.4882699251174927,0.4804683029651642,0.4637366533279419,0.47207483649253845,0.38761380314826965,,,0.3144816756248474,0.3148425221443176,0.5942433476448059,0.6021475791931152,0.4277046024799347,0.4130316972732544,0.2682294547557831,0.3449256122112274,0.3649643659591675,0.36366990208625793,0.49123337864875793,0.4100213646888733,,,0.7785207033157349,0.6972740888595581,0.4746321439743042,0.4225345253944397,,,0.2551998794078827,0.3482773005962372,0.31562843918800354,0.42356687784194946,0.2852713465690613,0.3209013342857361,0.30279359221458435,0.36213698983192444,0.24326331913471222,0.25631362199783325,0.5486570000648499,0.6334214806556702,0.18304947018623352,0.22118259966373444,0.30290716886520386,0.257898211479187,0.31758221983909607,0.3686286509037018,0.439985066652298,0.6004701256752014,0.4330635666847229,0.40192005038261414,0.6647668480873108,0.36172428727149963,0.406264066696167,0.31117960810661316,0.6518650054931641,,0.43824154138565063,0.45634716749191284,0.5622658133506775,0.6417021751403809,,,,1.0000007152557373,0.711025059223175,,0.2355732023715973,0.2399360090494156,0.3615284264087677,0.8036137223243713,0.15862688422203064,0.245914489030838,0.5875473618507385,0.5722174048423767,0.2228544056415558,0.24791331589221954,0.44820576906204224,0.40953248739242554,0.6049852967262268,0.6984922289848328,,,0.6553036570549011,0.3453255295753479,0.5325043201446533,0.37945762276649475,0.6694900393486023,,0.7345032095909119,0.8962921500205994,,,,,,,,,,,,
P52125,0.3913167715072632,0.30933091044425964,0.20715577900409698,0.1796087622642517,0.5982591509819031,0.5010619163513184,0.21322980523109436,0.24070487916469574,0.5406889915466309,0.5429714322090149,0.5775604248046875,0.5559159517288208,0.7441607117652893,0.8465138673782349,0.390328973531723,0.46962302923202515,0.5260634422302246,0.5699173808097839,0.5761898159980774,0.45758193731307983,,,0.3574693202972412,0.3389374315738678,0.6844172477722168,0.6839659214019775,0.6356348395347595,0.5630927681922913,0.35591796040534973,0.3351607024669647,0.45854660868644714,0.4087265133857727,0.4766290783882141,0.44629666209220886,,,0.7083151340484619,0.6558395028114319,0.39005568623542786,0.3916231393814087,,,0.5282334089279175,0.42053189873695374,0.6790221333503723,0.7481189966201782,0.2841103971004486,0.20911471545696259,0.5626586675643921,0.4315069317817688,0.4041970670223236,0.5650680661201477,0.5790801048278809,0.7401995062828064,0.40381112694740295,0.3682405352592468,0.3635815680027008,0.25231707096099854,0.5276913046836853,0.4024321138858795,0.26111793518066406,0.6095675230026245,0.6484958529472351,0.8724361658096313,0.737347424030304,0.7209657430648804,0.45117756724357605,0.3255211412906647,0.5353444814682007,,0.4294494092464447,0.5039137005805969,0.4522676467895508,0.7051972150802612,,,,,0.9104904532432556,,0.5502400398254395,0.5323021411895752,0.7482419013977051,0.701559841632843,0.3530192971229553,0.3221108913421631,0.7368192672729492,0.7166876196861267,0.5626376867294312,0.47646573185920715,0.3702968955039978,0.4303695559501648,0.5861074328422546,0.37228190898895264,,,0.6621465086936951,0.8578798174858093,0.37259137630462646,0.6224828958511353,0.4793350100517273,0.9426453709602356,0.620198130607605,0.750178873538971,,,,,,,,,,,,
P5260,0.4394378364086151,0.36253097653388977,0.26839736104011536,0.24653489887714386,0.3502345681190491,0.297061026096344,0.3019028306007385,0.3157264292240143,0.4420677423477173,0.28926295042037964,0.6505138874053955,0.6962314248085022,0.4875296354293823,0.6963129043579102,0.4689319431781769,0.34076955914497375,0.3525157570838928,0.5465660691261292,0.3795774281024933,0.26728537678718567,,,0.2869468927383423,0.3543982207775116,0.5262041091918945,0.5114822387695312,0.4967772662639618,0.4507559835910797,0.28446856141090393,0.31429943442344666,0.3612891137599945,0.36392077803611755,0.4022981822490692,0.3231416344642639,,,0.4635842442512512,0.46762049198150635,0.40342095494270325,0.2627669870853424,,,0.3915906548500061,0.2413817048072815,0.4108017385005951,0.49019521474838257,0.19069671630859375,0.26185423135757446,0.5266798734664917,0.6366565823554993,0.36922985315322876,0.4446118474006653,0.4192146956920624,0.6789036393165588,0.42537108063697815,0.42035964131355286,0.4258353114128113,0.4119860529899597,0.4044596254825592,0.4318070411682129,0.19233785569667816,0.4408923387527466,0.5526883006095886,0.7225384712219238,0.7202866673469543,0.5547266602516174,0.3087235391139984,0.3663485646247864,0.5681328177452087,,0.33947670459747314,0.39107373356819153,0.27740904688835144,0.5975032448768616,,,,,0.9331719875335693,,0.3429909348487854,0.4004606604576111,0.461269348859787,0.6328226327896118,0.3679426312446594,0.3614267408847809,0.6145318150520325,0.6185740232467651,0.3033956289291382,0.3667266368865967,0.4066140353679657,0.49855202436447144,0.46984612941741943,0.5652616024017334,,,0.5386228561401367,0.6312623023986816,0.333572655916214,0.5340037941932678,0.5653945803642273,0.9417358040809631,0.48992815613746643,0.6116476058959961,,,,,,,,,,,,
P5234,0.3296322226524353,0.39101535081863403,0.2826671004295349,0.31234198808670044,0.5888650417327881,0.5702518224716187,0.18580427765846252,0.2563885748386383,1.0000005960464478,0.9658240079879761,0.6773486733436584,0.648529052734375,0.7286203503608704,0.6488796472549438,0.23236940801143646,0.7877758145332336,,0.3760010898113251,0.5491503477096558,0.6906636953353882,,,0.48127466440200806,0.4217865467071533,,,,,0.3667260408401489,0.41513997316360474,0.5188564658164978,0.5464077591896057,0.8974260687828064,0.26160958409309387,,,,,0.9913135170936584,1.0000004768371582,,,0.6400336027145386,0.49250975251197815,0.7380233407020569,0.44754186272621155,0.7722852826118469,0.4823731482028961,0.4908323287963867,0.5014746785163879,0.3858521580696106,0.4725602865219116,,,0.5245675444602966,0.6161417365074158,0.3336142301559448,0.336899071931839,0.548811674118042,0.6661731600761414,0.7272212505340576,,0.8059545159339905,0.829511821269989,1.0000003576278687,0.5384712815284729,0.44584113359451294,0.27641376852989197,0.9714294075965881,,0.6468684673309326,0.7192386984825134,0.6082051992416382,,,,,,,,0.5268336534500122,0.48637285828590393,0.7144668102264404,,0.28133338689804077,0.2737646996974945,,,0.727605938911438,0.7203842401504517,,,,,,,,0.8198158144950867,1.0000003576278687,0.4571130573749542,,,,,,,,,,,,,,,,
P5233,0.3981557786464691,0.38029298186302185,0.19609978795051575,0.2458450347185135,0.3751453459262848,0.4128199815750122,0.2574707865715027,0.2594107687473297,0.49851006269454956,0.4909477233886719,0.4483979642391205,0.637392520904541,0.40132763981819153,0.4463624656200409,0.3585633933544159,0.34737858176231384,0.524569034576416,0.37990275025367737,0.690623939037323,0.49959254264831543,,,0.40834176540374756,0.38138067722320557,0.6470944285392761,0.6013647317886353,0.5848981738090515,0.6535043120384216,0.31812116503715515,0.359142929315567,0.4514734447002411,0.4514586925506592,0.5048379898071289,0.4259178638458252,,,0.7284678220748901,0.6911543607711792,0.40504810214042664,0.3634392321109772,,,0.30324891209602356,0.3481517732143402,0.4443417191505432,0.4167745113372803,0.2488616406917572,0.2210489809513092,0.4498855471611023,0.3392368257045746,0.39064598083496094,0.38936394453048706,0.4557664096355438,0.876458466053009,0.26825639605522156,0.24567753076553345,0.3946230113506317,0.3586803078651428,0.3345898389816284,0.31085455417633057,0.268844336271286,0.5327301621437073,0.33438757061958313,0.7103217840194702,0.6935259103775024,0.4314584732055664,0.3515300154685974,0.35012274980545044,0.5039893388748169,,0.48386481404304504,0.6587586998939514,0.5178475379943848,0.7100604176521301,,,,,0.9593079686164856,,0.27837201952934265,0.3386373817920685,0.6092459559440613,0.7505599856376648,0.26643380522727966,0.25507232546806335,0.5419370532035828,0.7833706140518188,0.298910528421402,0.2854113280773163,0.3301420211791992,0.421030193567276,0.5079232454299927,0.4545482397079468,,,0.7526029944419861,0.4548527002334595,0.35850775241851807,0.42644643783569336,0.39412909746170044,0.9704695343971252,0.4126338064670563,0.5354247093200684,,,,,,,,,,,,
P5245,0.3425755202770233,0.30119943618774414,0.2504776418209076,0.22717298567295074,0.592766523361206,0.5965604186058044,0.17795614898204803,0.21326811611652374,0.7413243055343628,0.8329090476036072,0.524174153804779,0.6604252457618713,0.5627341866493225,0.6690465807914734,0.5874881148338318,0.621505081653595,0.61097651720047,0.5314067602157593,0.4438144266605377,0.4629371762275696,,0.9613332152366638,0.2720245122909546,0.3665770888328552,0.7181318998336792,0.6026315093040466,0.7941707968711853,0.8419451117515564,0.40936532616615295,0.3166820704936981,0.3855593800544739,0.3675619065761566,0.7201321721076965,0.6081128120422363,,,0.9283173680305481,0.775434672832489,0.7048258185386658,0.7583386301994324,,,0.4450652599334717,0.5193806290626526,0.5812504887580872,0.5334561467170715,0.5442177057266235,0.3965049386024475,0.36318594217300415,0.4396568834781647,0.32677504420280457,0.33861374855041504,0.7329952716827393,0.6393648386001587,0.3329741954803467,0.28397807478904724,0.31962212920188904,0.2646920084953308,0.41193172335624695,0.5101515054702759,0.5717493891716003,0.8075917363166809,0.5706333518028259,0.6983641982078552,0.8878317475318909,0.47187119722366333,0.5792579650878906,0.2464195042848587,0.8277242183685303,,0.45103198289871216,0.504620373249054,0.7609221935272217,0.6501098871231079,,,,0.998521089553833,,,0.3927552402019501,0.35563743114471436,0.4953517019748688,0.8978626132011414,0.2655755877494812,0.20327208936214447,0.8494672179222107,,0.381034255027771,0.3915140628814697,0.7070885896682739,0.6782912015914917,,0.9077115654945374,,,0.9561205506324768,0.49519506096839905,0.6902213096618652,0.5265691876411438,,,,1.0000001192092896,,,,,,,,,,,,
P5244,0.20430304110050201,0.2922656536102295,0.2708089053630829,0.1956661492586136,0.29459309577941895,0.31737226247787476,0.22842229902744293,0.16508041322231293,0.5118049383163452,0.5786792039871216,0.4632332921028137,0.568557620048523,0.3614199757575989,0.5090588927268982,0.37118712067604065,0.39974936842918396,0.5640850067138672,0.3544926941394806,0.42431873083114624,0.3023029863834381,,0.8303102850914001,0.32066163420677185,0.3232317864894867,0.48970651626586914,0.5386114120483398,0.6848174333572388,0.3436225950717926,0.216951385140419,0.21947142481803894,0.3281857371330261,0.3665545582771301,0.38360536098480225,0.25478395819664,,,0.6015470623970032,0.49829578399658203,0.5513125061988831,0.4144430160522461,,,0.2783815860748291,0.2773142457008362,0.3791121244430542,0.40927979350090027,0.22552059590816498,0.25144827365875244,0.45273277163505554,0.4586850702762604,0.24542954564094543,0.3225753605365753,0.48846471309661865,0.5820554494857788,0.2324465662240982,0.2666233479976654,0.2651253938674927,0.3045848608016968,0.32930856943130493,0.2590020000934601,0.328227698802948,0.4215913712978363,0.5217686891555786,0.5803639888763428,0.6619582176208496,0.37069225311279297,0.3949115574359894,0.2697538435459137,0.538340151309967,,0.3638888895511627,0.44474098086357117,0.5408193469047546,0.796197235584259,,,,0.8230277299880981,0.7793707847595215,,0.25506407022476196,0.19483141601085663,0.6434909701347351,0.73423832654953,0.16006018221378326,0.18497174978256226,0.9945533275604248,,0.525783896446228,0.40011873841285706,0.6095912456512451,0.9147911071777344,,,,,0.8064543008804321,0.45970574021339417,0.7261368632316589,0.5669025778770447,,0.0,,,,,0.0,0.0,,,,,,,,
