,Primary_visual_cortex,Medial_superior_temporal_area,Sixth_Visual_Area,Second_Visual_Area,Third_Visual_Area,Forth_Visual_Area,Eighth_Visual_Area,Primary_Motor_Cortex,Primary_Sensory_Cortex,Frontal_Eye_Field,Premotor_Eye_Field,Area_55b,Area_V3A,RetroSplenial_Complex,Parieto-Occipital_Sulcus_Area_2,Seventh_Visual_Area,IntraParietal_Sulcus_Area_1,Fusiform_Face_Complex,Area_V3B,Lateral_Occipital_Area_1,Lateral_Occipital_Area_2,Posterior_InferoTemporal_Complex,Middle_Temporal_Area,Primary_Auditory_Cortex,PeriSylvian_Language_Area,Superior_Frontal_Language_Area,PreCuneus_Visual_Area,Superior_Temporal_Visual_Area,Medial_Area_7P,Area_7m,Parieto-Occipital_Sulcus_Area_1,Area_23d,Area_Ventral_23_a+b,Area_Dorsal_23_a+b,Area_31p_Ventral,Area_5m,Area_5m_ventral,Area_23c,Area_5L,Dorsal_Area_24d,Lateral_Area_7A,Supplementary_and_Cingulate_Eye_Field,Area_6m_Anterior,Medial_6m_anterior,Medial_Area_7A,Lateral_Area_7P,Area_7PC,Area_Lateral_IntraParietal_ventral,Ventral_IntraParietal_Complex,Medial_IntraParietal_Area,Area_1,Area_2,Area_3a,Dorsal_area_6,Area_6mp,Ventral_Area_6,Area_Posterior_24,Area_33_prime,Anterior_24_prime,Area_p32_prime,Area_a24,Area_dorsal_32,Area_8BM,Area_p32,Area_10r,Area_47m,Area_8Av,Area_8Ad,Area_9_Middle,Area_8B_Lateral,Area_9_Posterior,Area_10d,Area_8C,Area_44,Area_45,Area_47L,Area_anterior_47R,Rostral_Area_6,Area_IFJa,Area_IFJp,Area_IFSp,Area_IFSa,Area_posterior_9-46v,Area_46,Area_anterior_9-46v,Area_9-46d,Area_9_anterior,Area_10v,Area_anterior_10p,Polar_10p,Area_11,Area_13,Orbital_Frontal_Complex,Area_47s,Area_Lateral_IntraParietal_dorsal,Area_6_anterior,Inferior_6-8_Transitional_Area,Superior_6-8_Transitional_Area,Area_43,Area_OP4/PV,Area_OP1/SII,Area_OP2-3/VS,Area_52,RetroInsular_Cortex,Area_PFcm,Posterior_Insular_Area_2,Area_TA2,Frontal_OPercular_Area_4,Middle_Insular_Area,Pirform_Cortex,Anterior_Ventral_Insular_Area,Anterior_Agranular_Insula_Complex,Frontal_OPercular_Area_1,Frontal_OPercular_Area_3,Frontal_OPercular_Area_2,Area_PFt,Anterior_IntraParietal_Area,Entorhinal_Cortex,PreSubiculum,Hippocampus,ProStraite_Area,Perirhinal_Ectorhinal_Cortex,Area_STGa,ParaBelt_Complex,Auditory_5_Complex,ParaHippocampal_Area_1,ParaHippocampal_Area_3,Area_STSd_Anterior,Area_STSd_Posterior,Area_STSv_Posterior,Area_TG_Dorsal,Area_TE1_Anterior,Area_TE1_Posterior,Area_TE2_Anterior,Area_TF,Area_TE2_Posterior,Area_PHT,Area_PH,Area_TemporoParietoOccipital_Junction_1,Area_TemporoParietoOccipital_Junction_2,Area_TemporoParietoOccipital_Junction_3,Dorsal_Transitional_Visual_Area,Area_PGp,Area_IntraParietal_2,Area_IntraParietal_1,Area_IntraParietal_0,Area_PF_Opercular,Area_PF_Complex,Area_PFm_Complex,Area_PGi,Area_PGs,Area_V6A,VentroMedial_Visual_Area_1,VentroMedial_Visual_Area_3,ParaHippocampal_Area_2,Area_V4t,Area_FST,Area_V3CD,Area_Lateral_Occipital_3,VentroMedial_Visual_Area_2,Area_31pd,Area_31a,Ventral_Visual_Complex,Area_25,Area_s32,Posterior_OFC_Complex,Area_Posterior_Insular_1,Insular_Granular_Complex,Area_Frontal_Opercular_5,Area_Posterior_10p,Area_Posterior_47r,Area_TG_ventral,Medial_Belt_Complex,Lateral_Belt_Complex,Auditory_4_Complex,Area_STSv_Anterior,Area_TE1_Middle,Para-Insular_Area,Area_Anterior_32_Prime,Area_Posterior_24
P5203,0.2367522120475769,,,0.16021163761615753,0.3141423463821411,0.2967555820941925,,0.3454621136188507,0.270619660615921,,,,0.9880030155181885,0.49245405197143555,0.9672073721885681,,0.9492059350013733,0.6463280320167542,,,,,,,,0.570798933506012,,,,,0.7781213521957397,,,,,,1.0,0.9144378900527954,0.8419831395149231,0.8253136277198792,,0.9750704169273376,,0.7463721036911011,,1.0,0.8028163313865662,,0.6861985921859741,,0.3452451527118683,0.4533753991127014,0.375380277633667,0.9082114100456238,0.8532546758651733,,,,,,,,,,,,0.5525985956192017,0.5336384177207947,,0.5711234211921692,0.888262152671814,0.610029399394989,0.9342616200447083,,,,0.8667433857917786,,,,,,0.8675758242607117,0.6753325462341309,0.7410889267921448,0.6490795016288757,0.5665399432182312,0.46027302742004395,0.6046104431152344,0.7066060900688171,0.6638414859771729,0.7920514941215515,0.9187418222427368,,,0.8982045650482178,0.8803914785385132,1.0,,,,,,,,0.7773738503456116,,0.7169743180274963,0.7050485610961914,,,0.6755759716033936,,,,,,0.9538437724113464,0.6870465874671936,0.34435662627220154,,0.3778117001056671,,,0.8389163613319397,0.8676726818084717,0.6109565496444702,,,,0.7466058731079102,,,0.8847530484199524,0.9714054465293884,0.9956268668174744,,0.670663595199585,,,,0.5660223364830017,1.0,,0.6756356358528137,0.8870108127593994,,,0.5750337243080139,0.9912928342819214,0.7354002594947815,,1.0,,,,,,,,,,0.9287723898887634,,,0.9234524369239807,0.6185298562049866,0.5897952318191528,0.5002303123474121,0.9154365062713623,,,,,,,,,,0.17633308470249176
P5205,0.3228110373020172,,,0.30663490295410156,0.2972198724746704,0.3340388536453247,,0.3988688290119171,0.41388794779777527,1.0,,0.9574360847473145,0.8092727661132812,0.586353600025177,0.7980586886405945,0.9351006746292114,0.8752942681312561,0.4004656672477722,,,1.0,1.0,,,,0.7455105781555176,,,,,0.8522012233734131,,,,,,0.9979459643363953,0.6358491778373718,0.9322437047958374,0.7444363236427307,,0.7073935270309448,1.0,0.6206015944480896,,,0.5052360892295837,,0.701306939125061,,0.5198303461074829,0.706202507019043,0.4708656966686249,0.8410674333572388,0.8024726510047913,,,,,,,,,,,,0.48084405064582825,0.3682898283004761,,0.6953636407852173,0.6599230170249939,0.7722753286361694,0.36945584416389465,,,,0.380984902381897,,,,,1.0,0.7575949430465698,0.4845377504825592,0.726999819278717,0.445597767829895,0.5848841667175293,0.4628651440143585,0.852567195892334,0.5305546522140503,0.4931642711162567,0.4952101409435272,0.6818656921386719,0.8502336740493774,,0.6044057607650757,0.6113108396530151,0.7313278913497925,,,0.9102095365524292,0.6937011480331421,,0.7983748316764832,,0.5902706980705261,0.9084922075271606,0.7483630776405334,0.5667325258255005,,,0.8424888849258423,,,,,0.9618642926216125,0.6451801061630249,0.7078166604042053,0.6379766464233398,0.8399206399917603,0.42276355624198914,,0.6684653162956238,0.8794448971748352,0.5769686698913574,0.7366246581077576,,0.9999995827674866,,0.43782320618629456,,,0.6122421622276306,0.5465567111968994,0.7598838806152344,,0.7406551837921143,,,1.0,0.6037779450416565,0.9204193949699402,0.8436397314071655,0.7153462767601013,0.786358654499054,,,0.6102017760276794,0.636236846446991,0.5310907959938049,1.0,0.7799097895622253,0.9109305739402771,,,1.0,,,1.0,,,0.47286608815193176,,,1.0,0.7221712470054626,0.7205293774604797,0.716457188129425,0.6013234853744507,,0.5689275860786438,0.885413646697998,,,,,0.87016761302948,,0.2256409227848053
P5211,0.279522567987442,,,0.25428467988967896,0.32826119661331177,0.45994192361831665,,0.2753359377384186,0.27096429467201233,,,,1.0,0.4076942205429077,1.0,,1.0,0.6441592574119568,,,,,,,,0.9563106298446655,,,,,,,,,,,,0.4735831916332245,0.8705697059631348,1.0,,0.8118427395820618,,0.5578392148017883,,,0.7524896860122681,,0.7668309211730957,,0.5375775694847107,0.34585726261138916,0.34242573380470276,0.912686824798584,0.866387665271759,,,,,,,,,,,,0.6630665063858032,0.4306407570838928,,0.5264456868171692,0.7988204956054688,,0.689360499382019,,,,0.5185249447822571,,,,,,0.7740657925605774,0.6587807536125183,0.9526612758636475,0.9007708430290222,0.658098578453064,0.6849552989006042,,0.6083458065986633,0.5173794627189636,0.6336609125137329,0.7921001315116882,,,0.8065969944000244,0.892284095287323,1.0,,,,,,,,0.6826781630516052,,0.7796416878700256,0.9020674228668213,,,0.9974636435508728,,,,,,0.7905827164649963,0.7982106804847717,0.5392584204673767,1.0,0.2678215503692627,,,,0.9641134142875671,0.8711954355239868,,,,0.4362001419067383,,,0.8390264511108398,0.6995787024497986,0.9999867677688599,,0.9908671975135803,,,,0.6401729583740234,,1.0,0.9994214177131653,0.9300829768180847,,,0.42947953939437866,0.7960144281387329,0.5749795436859131,,1.0,,,,,,,,,,0.7920087575912476,,,1.0,,0.7597641348838806,0.977702260017395,0.7430227994918823,,1.0,,,,,,1.0,,0.2152339667081833
P5229,0.2111920863389969,,,0.30026695132255554,0.2521311342716217,0.266104131937027,,0.23069721460342407,0.32877427339553833,,,1.0,0.8379983305931091,0.7181530594825745,0.8410484194755554,0.8226547241210938,0.9089755415916443,0.534251868724823,,,,1.0,,,,0.6430566310882568,,,,,0.5767723321914673,,,,,,0.999824583530426,0.7581891417503357,0.7248454093933105,0.7669275999069214,,0.740959107875824,,0.5730215907096863,,1.0,0.43424904346466064,,0.7190569639205933,1.0,0.3381131887435913,0.40204617381095886,0.38346943259239197,0.7244661450386047,0.6246955990791321,,,,,,,,,,,,0.414745956659317,0.7366282939910889,,0.501307487487793,0.5076501965522766,0.4034630060195923,0.6416794061660767,,,,0.769537091255188,,,,,0.890457034111023,0.5594605803489685,0.27743059396743774,0.799084484577179,0.6995586156845093,0.594006359577179,0.4544723927974701,0.788327693939209,0.5416909456253052,0.6307392120361328,0.6153084635734558,0.8032398223876953,0.984067440032959,,0.7214638590812683,0.7464035153388977,0.9829158186912537,,,,0.9127644300460815,,0.6919082999229431,,0.5632150173187256,,0.950967013835907,0.6814413070678711,,,0.6607551574707031,,,,,1.0,0.559531569480896,0.7405326962471008,0.8430899977684021,0.9977450370788574,0.589780330657959,,,0.9980738162994385,0.721051812171936,0.6832062602043152,,,,0.5915393829345703,,,0.7606081366539001,0.5727822184562683,0.8236941695213318,,0.7799574136734009,,,,0.3987478017807007,0.8862414956092834,0.9992169141769409,0.7511537075042725,0.7634707093238831,,,0.4764934480190277,0.7805202603340149,0.4783479571342468,0.999998152256012,0.8752794861793518,0.8162787556648254,,,0.9536448121070862,,,,1.0,,0.930962085723877,,,0.9475597739219666,0.5434662699699402,0.8898847699165344,0.5491300225257874,0.7971220016479492,1.0,,1.0,,,,,0.806218147277832,,0.15960268676280975
P5216,0.3884381651878357,,,0.28774595260620117,0.3065786361694336,0.4647228419780731,,0.49319568276405334,0.3016071319580078,1.0,,1.0,0.963862955570221,0.6428295373916626,1.0,1.0,1.0,0.5152096748352051,,,,,,,,0.6393339037895203,,,,,,,,,,,1.0,0.4461594820022583,0.8747557997703552,1.0,,0.6779428124427795,,0.5651915669441223,,,0.5955334305763245,,0.7947019338607788,,0.4174984395503998,0.4119650423526764,0.3986975848674774,0.796235203742981,0.7852494716644287,,,,,,,,,,,,0.43222537636756897,0.5374037027359009,,0.521233320236206,0.5595518946647644,,0.4044699966907501,,,,0.39552590250968933,,,,,,0.5969557762145996,0.4775799810886383,0.6070471405982971,0.5490290522575378,0.667140543460846,0.4809127151966095,,0.590295672416687,0.5517135262489319,0.6353441476821899,0.5909581780433655,1.0,,0.8498305678367615,0.7948597073554993,0.9808730483055115,,,,,,,,0.5056189298629761,0.8615936636924744,0.6735920310020447,0.6779181957244873,,,0.8117094039916992,,,,,0.9992905259132385,0.5945091247558594,0.6156346797943115,0.7035189867019653,0.8322131633758545,0.4327179789543152,,,,0.6248136162757874,0.6491599082946777,,,,0.34037214517593384,,,0.5270169377326965,0.5050172805786133,0.9330219030380249,,0.8057036995887756,,,,0.5876282453536987,,1.0,0.9363938570022583,0.9012610912322998,,,0.5321921110153198,0.8136243224143982,0.3854539096355438,,1.0,0.8716326951980591,,,,,,,,,0.549087405204773,,,1.0,0.8852275609970093,0.6974523663520813,0.7984688878059387,0.6828904747962952,,0.6915382146835327,1.0,,,,,0.7717010974884033,,0.18994107842445374
P5220,0.39896827936172485,,,0.3529055714607239,0.2722058892250061,0.46887704730033875,,0.2895653545856476,0.42717739939689636,,,,0.95297771692276,0.514653205871582,0.9899532198905945,,0.920818030834198,0.6616970896720886,,,,,,,,0.8149751424789429,,,,,0.8688042759895325,,,,,,1.0,0.9721731543540955,0.8376702070236206,0.8226856589317322,,0.8679247498512268,,0.5610672235488892,,1.0,0.83791184425354,,0.6850414872169495,1.0,0.37489479780197144,0.5444183349609375,0.3874984085559845,0.9891458749771118,0.7407627105712891,,,,,,,,,,,,0.6656649708747864,0.7296275496482849,,0.6795270442962646,0.7660782337188721,0.8421672582626343,0.9157307744026184,,,,0.6931710243225098,,,,,0.9116128087043762,0.935734748840332,0.6149217486381531,0.7567506432533264,0.6469489336013794,0.6578279137611389,0.6129721999168396,0.9331459999084473,0.5456587672233582,0.7526092529296875,0.8888614773750305,0.8197352290153503,0.999740719795227,,0.7513992786407471,0.8729386925697327,0.9761948585510254,,,,0.699701726436615,,,,0.6759111285209656,,0.9124587774276733,0.851351797580719,,,0.8190861344337463,,,,,,0.8117135167121887,0.7473564743995667,0.8575233817100525,0.9918919801712036,0.7167477011680603,,,0.9982717633247375,0.8094159364700317,0.9028293490409851,,,,0.6792912483215332,,,0.9460246562957764,0.7950484752655029,0.9446361660957336,,0.8893750905990601,,,,0.7280577421188354,0.7783355116844177,,0.8289442658424377,0.9268349409103394,,,0.6903321743011475,0.9306545257568359,0.6989776492118835,1.0,0.7588037252426147,,,,0.9433055520057678,,,,1.0,,0.8264997005462646,,,0.8667002320289612,0.7227250933647156,0.8048800826072693,0.7844879031181335,0.6603104472160339,1.0,,1.0,,,,,,,0.13288070261478424
P5218,0.5076966285705566,,,0.3127998113632202,0.4147283136844635,,,0.46624237298965454,0.3939749300479889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3900662660598755,1.0,0.6116157174110413,,,,,,,,,,,,,,,,,,,,,,,,0.945364773273468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5125507712364197,,,,,,,,,0.7762152552604675,,,,1.0,,,,,,,,,,,,,,0.9174099564552307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1250174641609192
P5227,0.3836769461631775,,,0.31019213795661926,0.39865291118621826,0.5050070881843567,,0.45254194736480713,0.5139384269714355,,,,0.7978042960166931,0.5118410587310791,0.9828399419784546,,0.9720185399055481,0.9992103576660156,,,,,,,,0.793607234954834,,,,,0.8793082237243652,,,,,,1.0,0.9810521602630615,0.8810694217681885,0.9333223104476929,,0.9969421029090881,1.0,0.751301109790802,1.0,1.0,0.7074118256568909,1.0,0.7912633419036865,0.9999864101409912,0.45730969309806824,0.4444255828857422,0.5335519313812256,0.9914878010749817,0.7709354758262634,,,,,,,,,,,,0.7914818525314331,0.6706560254096985,,0.5631654262542725,0.694236695766449,0.6921230554580688,0.9127683639526367,,,,0.5989019870758057,,,,,0.9974300861358643,0.9150237441062927,0.552798867225647,0.740418016910553,0.8115302920341492,0.49926406145095825,0.3536718487739563,0.9999157190322876,0.6228861212730408,0.9644462466239929,0.7792278528213501,0.8161543011665344,0.9951438307762146,,0.5779470801353455,0.943010687828064,0.9539207816123962,,,,,,,,0.7128943204879761,,0.9998713135719299,0.4828205108642578,0.9999127388000488,1.0,0.894562840461731,,,,,,0.5248774290084839,0.7086904644966125,0.9999998807907104,0.8421474695205688,0.914686381816864,,,0.9997022747993469,0.7270249128341675,0.7423513531684875,,,,,,,0.7484440803527832,,0.6444312334060669,,0.6344339847564697,,,,0.6459490060806274,0.576705276966095,,0.4390248954296112,0.7371696829795837,,,0.5487843155860901,0.6443177461624146,0.7548448443412781,0.9999864101409912,0.9329341053962708,,,,,,,,1.0,,0.8689855933189392,,,0.8278641104698181,0.7772025465965271,0.9999284148216248,0.8421729803085327,0.6733574271202087,1.0,,0.9982106685638428,,,,,,,0.14362876117229462
P5228,0.32651379704475403,,,0.23030397295951843,0.3715023994445801,0.4013444483280182,,0.28233230113983154,0.2873225808143616,1.0,,0.9815251231193542,0.8209455609321594,0.5297868251800537,0.9520891308784485,0.9751368165016174,0.999929666519165,0.402016282081604,,,,1.0,,,,0.8193931579589844,,,,,0.8762644529342651,,,,,,0.9882755279541016,0.7689059972763062,0.7798164486885071,0.8550518155097961,,0.869364857673645,1.0,0.57493656873703,,,0.7295247912406921,,0.7087942361831665,,0.2686462700366974,0.4747132956981659,0.33507728576660156,0.8526681065559387,0.8042389750480652,,,,,,,,,,,,0.39051151275634766,0.6133333444595337,,0.6598535776138306,0.727450430393219,0.7630477547645569,0.6228306293487549,,,,0.5246580839157104,,,,,1.0,0.5769038200378418,0.3903587758541107,0.4416349530220032,0.5060068964958191,0.5122641324996948,0.4294085204601288,0.9819414615631104,0.7879429459571838,0.6391871571540833,0.5956534743309021,0.6447826623916626,0.9415051937103271,,0.7819283604621887,0.857757568359375,0.8343945145606995,,,1.0,0.7689995765686035,,0.8716021776199341,,0.4393974840641022,0.8738722801208496,0.7595170736312866,0.7908031940460205,,,0.6827771067619324,,,,,0.9952613711357117,0.742569088935852,0.7324692010879517,0.6447075605392456,0.909953236579895,0.446163147687912,,0.9999932050704956,0.9473468065261841,0.8246130347251892,0.6713805198669434,,1.0,,0.33046650886535645,,,0.6730520725250244,0.40357837080955505,0.8397563099861145,,0.7488322854042053,,,1.0,0.6559662222862244,0.7704702019691467,0.9150938391685486,0.9528599381446838,0.8886342644691467,,,0.44450056552886963,0.7721393704414368,0.4093555510044098,1.0,0.7853479981422424,0.942428708076477,,,1.0,,,1.0,,,0.7093089818954468,,,1.0,0.6319512128829956,0.8918424248695374,0.881600022315979,0.6659477353096008,,,0.9836497902870178,,,,,0.9579173922538757,,0.17985299229621887
P5210,0.5151922702789307,,,0.3156757056713104,0.37097522616386414,0.35434287786483765,,0.5461862683296204,0.36595413088798523,1.0,,0.9887189269065857,0.9852246642112732,0.6205737590789795,0.8832594156265259,1.0,1.0,0.5181494355201721,,,,,,,,0.8918969631195068,,,,,0.9988342523574829,,,,,,1.0,0.9708470106124878,0.7305282950401306,0.9181424379348755,,0.801617443561554,,0.5013803839683533,,,0.6196917295455933,,0.6508648991584778,,0.593223512172699,0.323765367269516,0.5836543440818787,0.8860965371131897,0.7327325940132141,,,,,,,,,,,,0.5447531342506409,0.6287660598754883,,0.5166596174240112,0.677611231803894,0.6357988119125366,0.35508471727371216,,,,0.4761407971382141,,,,,1.0,0.6945054531097412,0.5378581285476685,0.7037518620491028,0.5086187124252319,0.5177639722824097,0.4889528155326843,,0.6547241806983948,0.5100612640380859,0.7139119505882263,0.8303743600845337,0.9241182804107666,,0.5364819169044495,0.8298894762992859,0.7190455198287964,,,1.0,0.7900331616401672,,1.0,,0.6629365086555481,0.7627302408218384,0.8246409893035889,0.7170870304107666,,,0.8846128582954407,,,,,0.9955466389656067,0.7806954979896545,0.5847697257995605,0.6785911917686462,0.7899816036224365,0.32754215598106384,,1.0,,0.729564368724823,0.6442660689353943,,,,0.40792611241340637,,,0.6900197267532349,0.5863377451896667,0.9324982762336731,,0.8064100742340088,,,,0.6586557626724243,1.0,0.9560300707817078,0.7987489104270935,0.7221423983573914,,,0.46547794342041016,0.7755832672119141,0.5383585691452026,,0.7961433529853821,0.8835688829421997,,,,,,1.0,,,0.39890390634536743,,,1.0,0.7396942377090454,0.797286331653595,0.7888393402099609,0.6285584568977356,,0.5029112696647644,0.9967412948608398,,,,,0.5381226539611816,,0.1530182957649231
