,Primary_visual_cortex,Medial_superior_temporal_area,Sixth_Visual_Area,Second_Visual_Area,Third_Visual_Area,Forth_Visual_Area,Eighth_Visual_Area,Primary_Motor_Cortex,Primary_Sensory_Cortex,Frontal_Eye_Field,Premotor_Eye_Field,Area_55b,Area_V3A,RetroSplenial_Complex,Parieto-Occipital_Sulcus_Area_2,Seventh_Visual_Area,IntraParietal_Sulcus_Area_1,Fusiform_Face_Complex,Area_V3B,Lateral_Occipital_Area_1,Lateral_Occipital_Area_2,Posterior_InferoTemporal_Complex,Middle_Temporal_Area,Primary_Auditory_Cortex,PeriSylvian_Language_Area,Superior_Frontal_Language_Area,PreCuneus_Visual_Area,Superior_Temporal_Visual_Area,Medial_Area_7P,Area_7m,Parieto-Occipital_Sulcus_Area_1,Area_23d,Area_Ventral_23_a+b,Area_Dorsal_23_a+b,Area_31p_Ventral,Area_5m,Area_5m_ventral,Area_23c,Area_5L,Dorsal_Area_24d,Lateral_Area_7A,Supplementary_and_Cingulate_Eye_Field,Area_6m_Anterior,Medial_6m_anterior,Medial_Area_7A,Lateral_Area_7P,Area_7PC,Area_Lateral_IntraParietal_ventral,Ventral_IntraParietal_Complex,Medial_IntraParietal_Area,Area_1,Area_2,Area_3a,Dorsal_area_6,Area_6mp,Ventral_Area_6,Area_Posterior_24,Area_33_prime,Anterior_24_prime,Area_p32_prime,Area_a24,Area_dorsal_32,Area_8BM,Area_p32,Area_10r,Area_47m,Area_8Av,Area_8Ad,Area_9_Middle,Area_8B_Lateral,Area_9_Posterior,Area_10d,Area_8C,Area_44,Area_45,Area_47L,Area_anterior_47R,Rostral_Area_6,Area_IFJa,Area_IFJp,Area_IFSp,Area_IFSa,Area_posterior_9-46v,Area_46,Area_anterior_9-46v,Area_9-46d,Area_9_anterior,Area_10v,Area_anterior_10p,Polar_10p,Area_11,Area_13,Orbital_Frontal_Complex,Area_47s,Area_Lateral_IntraParietal_dorsal,Area_6_anterior,Inferior_6-8_Transitional_Area,Superior_6-8_Transitional_Area,Area_43,Area_OP4/PV,Area_OP1/SII,Area_OP2-3/VS,Area_52,RetroInsular_Cortex,Area_PFcm,Posterior_Insular_Area_2,Area_TA2,Frontal_OPercular_Area_4,Middle_Insular_Area,Pirform_Cortex,Anterior_Ventral_Insular_Area,Anterior_Agranular_Insula_Complex,Frontal_OPercular_Area_1,Frontal_OPercular_Area_3,Frontal_OPercular_Area_2,Area_PFt,Anterior_IntraParietal_Area,Entorhinal_Cortex,PreSubiculum,Hippocampus,ProStraite_Area,Perirhinal_Ectorhinal_Cortex,Area_STGa,ParaBelt_Complex,Auditory_5_Complex,ParaHippocampal_Area_1,ParaHippocampal_Area_3,Area_STSd_Anterior,Area_STSd_Posterior,Area_STSv_Posterior,Area_TG_Dorsal,Area_TE1_Anterior,Area_TE1_Posterior,Area_TE2_Anterior,Area_TF,Area_TE2_Posterior,Area_PHT,Area_PH,Area_TemporoParietoOccipital_Junction_1,Area_TemporoParietoOccipital_Junction_2,Area_TemporoParietoOccipital_Junction_3,Dorsal_Transitional_Visual_Area,Area_PGp,Area_IntraParietal_2,Area_IntraParietal_1,Area_IntraParietal_0,Area_PF_Opercular,Area_PF_Complex,Area_PFm_Complex,Area_PGi,Area_PGs,Area_V6A,VentroMedial_Visual_Area_1,VentroMedial_Visual_Area_3,ParaHippocampal_Area_2,Area_V4t,Area_FST,Area_V3CD,Area_Lateral_Occipital_3,VentroMedial_Visual_Area_2,Area_31pd,Area_31a,Ventral_Visual_Complex,Area_25,Area_s32,Posterior_OFC_Complex,Area_Posterior_Insular_1,Insular_Granular_Complex,Area_Frontal_Opercular_5,Area_Posterior_10p,Area_Posterior_47r,Area_TG_ventral,Medial_Belt_Complex,Lateral_Belt_Complex,Auditory_4_Complex,Area_STSv_Anterior,Area_TE1_Middle,Para-Insular_Area,Area_Anterior_32_Prime,Area_Posterior_24
P5259,0.4227982759475708,,,0.2996468245983124,0.30612751841545105,0.6349692344665527,,0.42246535420417786,0.38551223278045654,1.0,,,0.9974937438964844,0.7327468991279602,1.0,1.0,1.0,0.7633765339851379,,,,,,,,0.6563084125518799,,,,,,,,,,,1.0,0.6248961091041565,0.9483811855316162,1.0,,0.9448502659797668,,0.7477440237998962,,,0.7984730005264282,,0.8709774613380432,,0.5468399524688721,0.37822216749191284,0.29238763451576233,0.9489037394523621,0.8947486877441406,,,,,,,,,,,,0.746184229850769,0.7688161134719849,,0.7959425449371338,0.833810567855835,,0.7421964406967163,,,,0.5017414093017578,,,,,,0.7569220066070557,0.7627400159835815,0.8617281913757324,0.6815157532691956,0.8044605851173401,0.4766212999820709,,0.762183666229248,0.5734532475471497,0.820622444152832,0.6884530186653137,1.0,,0.89424067735672,0.7171793580055237,0.9967576265335083,,,,,,,,0.7331814169883728,0.705806314945221,0.8100878000259399,0.7893867492675781,,,0.9053788185119629,,,,,1.0,0.8551490902900696,0.856345534324646,0.8224751353263855,0.8168378472328186,0.5903488993644714,,,,0.8536335229873657,0.48836567997932434,,,,0.5533864498138428,,,0.7117153406143188,0.8057276010513306,0.9989031553268433,,0.9610191583633423,,,,0.7212626934051514,,1.0,0.9698487520217896,0.7875537276268005,,,0.7356326580047607,0.9176186323165894,0.7354303002357483,,1.0,0.9322230815887451,,,,,,,,,0.5976320505142212,,,1.0,0.7907772064208984,0.7994278073310852,0.8899405002593994,0.8054633140563965,,0.7309625744819641,1.0,,,,,0.9402379393577576,,0.14181838929653168
P5232,0.6365971565246582,,,0.3903099596500397,0.6164511442184448,0.8595935702323914,,0.6447104215621948,0.42096805572509766,,,,,0.9659745097160339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5179138779640198,0.9710681438446045,0.49662840366363525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.5602895617485046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.9244460463523865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20730486512184143
P5235,0.34916624426841736,,,0.2931811511516571,0.32256200909614563,0.3198445737361908,,0.5370409488677979,0.32071107625961304,1.0,,1.0,0.7473543882369995,0.5019212961196899,1.0,1.0,1.0,0.5470343232154846,,,,,,,,0.6232618689537048,,,,,,,,,,,1.0,0.5868114233016968,0.6405915021896362,1.0,,0.6062178611755371,,0.45144665241241455,,,0.5492863655090332,,0.5153895020484924,,0.5277189612388611,0.6260514855384827,0.4810532033443451,0.5990787744522095,0.6714689135551453,,,,,,,,,,,,0.46216028928756714,0.5151541233062744,,0.5105583667755127,0.5110888481140137,,0.5893341302871704,,,,0.61114501953125,,,,,,0.4586014151573181,0.40656429529190063,0.43939414620399475,0.4067069888114929,0.43836137652397156,0.4840211570262909,,0.5755200386047363,0.4837689995765686,0.5596594214439392,0.6438695192337036,1.0,,0.45011457800865173,0.5292394757270813,0.8125845193862915,,,,,,,,0.3827924132347107,0.7133674025535583,0.7309620380401611,0.48260223865509033,,,0.7923170924186707,,,,,0.7996881604194641,0.5037469267845154,0.46014276146888733,0.639208972454071,0.7534022927284241,0.3579137921333313,,,,0.5426599979400635,0.5191451907157898,,,,0.31964603066444397,,,0.5211952328681946,0.5735441446304321,0.543312132358551,,0.5793417692184448,,,,0.6056069731712341,,1.0,0.7207934260368347,0.8578329682350159,,,0.6029408574104309,0.7128310799598694,0.4158170223236084,,1.0,0.9337525367736816,,,,,,,,,0.4978578984737396,,,1.0,0.8372194170951843,0.5787573456764221,0.5931517481803894,0.46316543221473694,,0.6572306156158447,1.0,,,,,0.6744453310966492,,0.23868876695632935
P5258,0.27569881081581116,,,0.21973377466201782,0.3413408696651459,0.34987154603004456,,0.4181310534477234,0.32436734437942505,1.0,,0.9987675547599792,0.999695360660553,0.4696858525276184,0.9975128173828125,1.0,1.0,0.6480994820594788,,,,,,,,0.8178092241287231,,,,,1.0,,,,,,1.0,0.9589285850524902,0.8960399627685547,0.9023776650428772,,0.8122220039367676,,0.5356419682502747,,,0.560114324092865,,0.8519423604011536,,0.5315101742744446,0.4175672233104706,0.4564308524131775,0.910357654094696,0.8205450773239136,,,,,,,,,,,,0.5360339879989624,0.6838231682777405,,0.6270869374275208,0.7786406874656677,0.6377201676368713,0.6934571862220764,,,,0.6803079843521118,,,,,1.0,0.5708584189414978,0.49929800629615784,0.7898363471031189,0.49923402070999146,0.605734646320343,0.5424920916557312,,0.6398659348487854,0.6007458567619324,0.7315728664398193,0.767991304397583,0.8940891027450562,,0.7666469216346741,0.8921666741371155,0.7391170859336853,,,1.0,0.9621199369430542,,1.0,,0.566092312335968,0.8513104319572449,0.6898284554481506,0.7640191316604614,,,0.9381334185600281,,,,,0.9999970197677612,0.7555997967720032,0.8002939224243164,0.9833173155784607,0.8764277100563049,0.5235645174980164,,1.0,1.0,0.8659626245498657,0.7373701333999634,,,,0.35766780376434326,,,0.7495594620704651,0.5833789706230164,0.8896396160125732,,0.8023978471755981,,,,0.5903024673461914,1.0,0.9193216562271118,0.8744065761566162,0.9259082674980164,,,0.5828037858009338,0.7555846571922302,0.47079405188560486,,0.8103253245353699,1.0,,,,,,1.0,,,0.7518305778503418,,,1.0,0.7561903595924377,0.8365644812583923,0.8956356644630432,0.8081717491149902,,1.0,0.9922837018966675,,,,,0.7075847387313843,,0.1396760493516922
P52125,0.5576971173286438,,,0.3018762469291687,0.4166324734687805,0.6428888440132141,,0.38636890053749084,0.3664664328098297,1.0,,,0.9907518625259399,0.720007061958313,1.0,1.0,1.0,0.5301254391670227,,,,,,,,0.6697631478309631,,,,,,,,,,,1.0,0.7287566065788269,0.7569182515144348,1.0,,0.7692269086837769,,0.43994030356407166,,,0.5632765293121338,,0.7649005055427551,,0.23914523422718048,0.6517318487167358,0.485285222530365,0.8904683589935303,0.6138347387313843,,,,,,,,,,,,0.5057279467582703,0.4695976972579956,,0.7355838418006897,0.6293763518333435,,0.5539095997810364,,,,0.5333358645439148,,,,,,0.7446417212486267,0.6935670375823975,0.65439772605896,0.28868919610977173,0.4110772907733917,0.5447961091995239,,0.7572272419929504,0.39914393424987793,0.667231023311615,0.7042987942695618,1.0,,0.6633347272872925,0.6590338349342346,0.9844279289245605,,,,,,,,0.7407139539718628,0.999576210975647,0.6986584663391113,0.5312381982803345,,,0.8194525837898254,,,,,1.0,0.5906276106834412,0.5724348425865173,0.5652337670326233,0.79880291223526,0.3357008397579193,,,,0.7391935586929321,0.4054587483406067,,,,0.5429855585098267,,,0.6737266778945923,0.5741898417472839,0.9955220818519592,,0.9362486600875854,,,,0.847364604473114,,1.0,0.8733426928520203,0.7719612121582031,,,0.6793866157531738,0.8226073980331421,0.7862295508384705,,1.0,0.9499030709266663,,,,,,,,,0.4692606031894684,,,1.0,0.74529629945755,0.6681466698646545,0.8403067588806152,0.6884803175926208,,0.9252437949180603,1.0,,,,,0.8409267067909241,,0.16658411920070648
P5260,0.3518759310245514,,,0.24680215120315552,0.3923606872558594,0.24165697395801544,,0.29571953415870667,0.30657610297203064,1.0,,,0.9987475872039795,0.5639013648033142,1.0,1.0,1.0,0.5654052495956421,,,,,,,,0.653928816318512,,,,,,,,,,,1.0,0.4172452986240387,0.9387453198432922,1.0,,0.7424647808074951,,0.480875700712204,,,0.5610069632530212,,0.71910160779953,,0.5065503120422363,0.51358962059021,0.3453873097896576,0.9235416054725647,0.8955108523368835,,,,,,,,,,,,0.5891656279563904,0.5109674334526062,,0.6441530585289001,0.6077088117599487,,0.5365972518920898,,,,0.5116329193115234,,,,,,0.646325409412384,0.6132998466491699,0.7646393775939941,0.49722960591316223,0.7715305685997009,0.35643449425697327,,0.5809122323989868,0.3889583945274353,0.6701849699020386,0.6099607348442078,1.0,,0.9123570919036865,0.6844385266304016,0.9981024265289307,,,,,,,,0.6558570265769958,0.8801656365394592,0.6861162781715393,0.7203229665756226,,,0.8277162909507751,,,,,1.0,0.5989856123924255,0.5928911566734314,0.49126937985420227,0.6772037744522095,0.29812273383140564,,,,0.6719513535499573,0.6046486496925354,,,,0.44804051518440247,,,0.37155914306640625,0.5995233654975891,0.9755195379257202,,0.7337405681610107,,,,0.5812091827392578,,1.0,0.9210637211799622,0.7872214913368225,,,0.8145270347595215,0.8728258013725281,0.6449258327484131,,1.0,0.8249292373657227,,,,,,,,,0.4878588616847992,,,1.0,0.6803144812583923,0.7109928131103516,0.9134069085121155,0.5638501644134521,,0.784749448299408,1.0,,,,,0.8205727934837341,,0.19242770969867706
P5234,0.44954630732536316,,,0.3936680853366852,0.4870882034301758,0.6476829051971436,,0.39342203736305237,0.4236396551132202,,,,,0.9380065202713013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.4544161856174469,0.6092630624771118,0.4021264612674713,,,,,,,,,,,,,,0.8761579990386963,,,,,1.0,,,,,0.7162713408470154,,,,,,0.7934553027153015,0.9789870381355286,,0.9798675179481506,,0.6577037572860718,,,,,,,,,,,,,,,,,,0.5306757688522339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.938058078289032,,,,,,,0.6885955929756165,,0.864185631275177,,,,,,,,,,,,,,,,0.9398733973503113,,,,,,,,,,,,,0.17264246940612793
P5233,0.367112398147583,,,0.2573036551475525,0.4465985596179962,0.24324901401996613,,0.3795234262943268,0.37845122814178467,1.0,,1.0,0.8778621554374695,0.4695225954055786,1.0,1.0,1.0,0.4406856298446655,,,,,,,,0.6876043677330017,,,,,,,,,,,1.0,0.5693933367729187,0.8480086922645569,1.0,,0.823966383934021,,0.5499526262283325,,,0.44080325961112976,,0.8475594520568848,,0.5183353424072266,0.37565886974334717,0.41897523403167725,0.7178951501846313,0.7426506876945496,,,,,,,,,,,,0.35684844851493835,0.5709288120269775,,0.5810759663581848,0.7346457839012146,,0.5453655123710632,,,,0.42243796586990356,,,,,,0.5320776104927063,0.4020274579524994,0.568405032157898,0.49582886695861816,0.5611270070075989,0.47168242931365967,,0.6036273837089539,0.48943209648132324,0.5855546593666077,0.771396815776825,1.0,,0.4882547855377197,0.7087996602058411,0.8451564311981201,,,,,,,,0.5147712230682373,0.843548595905304,0.6927149295806885,0.4618722200393677,,,0.7707076668739319,,,,,0.7755530476570129,0.6887245774269104,0.45735424757003784,0.40936824679374695,0.7198759317398071,0.26437464356422424,,,,0.7145674824714661,0.41381803154945374,,,,0.3698637783527374,,,0.5984548926353455,0.41876325011253357,0.71616530418396,,0.81879061460495,,,,0.5227776169776917,,1.0,0.7302447557449341,0.7719179391860962,,,0.4179624319076538,0.7981709837913513,0.39245495200157166,,1.0,0.8447901010513306,,,,,,,,,0.3840385973453522,,,1.0,0.7993537187576294,0.6603518128395081,0.6458614468574524,0.5512109994888306,,0.6351820826530457,1.0,,,,,0.7245606184005737,,0.17882943153381348
P5245,0.405911386013031,,,0.28654441237449646,0.40340569615364075,0.5305883288383484,,0.40683186054229736,0.4284786581993103,,,,1.0,0.5784118175506592,1.0,,,0.9142207503318787,,,,,,,,0.7264493703842163,,,,,0.9982106685638428,,,,,,,1.0,0.9701647758483887,1.0,,1.0,,0.868579626083374,,,0.7322714924812317,,,,0.6108083128929138,0.6770638227462769,0.42922040820121765,,0.9533916115760803,,,,,,,,,,,,0.6918710470199585,0.5891228318214417,,0.8400443196296692,0.9356980323791504,0.8617496490478516,0.8117634654045105,,,,0.961585521697998,,,,,1.0,0.9161519408226013,0.5622652769088745,0.8845207691192627,0.8858815431594849,0.7544534802436829,0.6652363538742065,,0.8016301393508911,0.7198783755302429,0.40457266569137573,1.0,,,0.9997168779373169,0.9613268375396729,,,,,,,,,0.817817211151123,,0.9734258055686951,0.7319771647453308,,,0.941081702709198,,,,,,0.824552059173584,0.8077492117881775,,,0.4437559247016907,,,,1.0,0.9942697882652283,,,,0.8846287131309509,,,0.924949049949646,0.7388372421264648,0.9643867015838623,,0.9636110067367554,,,,0.6807923913002014,1.0,,1.0,0.7103185653686523,,,0.595364511013031,0.9641720652580261,0.7755526304244995,,,,,,,,,,,,0.9815488457679749,,,1.0,0.8783552646636963,1.0,,0.9235863089561462,,,1.0,,,,,,,0.21708332002162933
P5244,0.2580285668373108,,,0.21872565150260925,0.3370458781719208,0.25425899028778076,,0.37097981572151184,0.3350101411342621,1.0,,0.9970806241035461,0.9123002290725708,0.6031777858734131,0.9728341102600098,1.0,0.9064618945121765,0.594533383846283,,,,1.0,,,,0.8721954822540283,,,,,0.8370365500450134,,,,,,1.0,0.7698506712913513,0.7936673164367676,0.4400073289871216,,0.7924101948738098,1.0,0.5215662121772766,1.0,1.0,0.4356737434864044,1.0,0.6943916082382202,0.9457346796989441,0.27507469058036804,0.43121373653411865,0.3716338872909546,0.7488811612129211,0.4873637855052948,,,,,,,,,,,1.0,0.3860105574131012,0.7028646469116211,,0.7107800841331482,0.5365141034126282,0.7317878603935242,0.6453109383583069,1.0,,0.7146453261375427,0.4938037693500519,,,,1.0,0.7518089413642883,0.680245041847229,0.2967865467071533,0.832497775554657,0.6860255002975464,0.6397619843482971,0.4823354184627533,0.804561972618103,0.42487287521362305,0.7990665435791016,0.7031066417694092,0.9964954257011414,0.9731314778327942,,0.8487026691436768,0.6545683741569519,0.9568353891372681,,,0.7921445965766907,0.8320611715316772,1.0,0.5592108368873596,1.0,0.4517262578010559,0.3227507472038269,0.8401079773902893,0.4386653006076813,0.930911123752594,0.8331835865974426,0.737504780292511,,,,1.0,1.0,0.411350280046463,0.6546058654785156,0.563636302947998,0.952019214630127,0.8005033135414124,0.9991052746772766,,0.9110102653503418,0.5984766483306885,0.7432103157043457,,,,0.32968735694885254,,,,0.4304569363594055,0.6290816068649292,,0.7281526923179626,,,0.7439708709716797,0.5782623887062073,0.7471359968185425,0.7707033753395081,0.7852615714073181,0.6111190915107727,,,0.597259521484375,0.6808621883392334,0.44240376353263855,0.9994210600852966,0.7322590947151184,,,,0.8759948015213013,1.0,,,1.0,,0.734799861907959,,,0.9444223642349243,0.534083366394043,0.7693119049072266,0.6027503609657288,0.8386631011962891,0.8982171416282654,0.0,0.9070384502410889,,,,,0.7303649187088013,,0.1720106601715088
