,TCpol,TCs,Amyg,OFCi,INSa,OFCm,TCc,OFCl,TCi,PHC,INS-G,PMCvl,VACv,INSp,PFCpol,HIP,sACC,PFCvl,V2,PFCm,TCv,VACd,V1-right,PFCcl,A2,CCr,CCp,ACC,S2,S1,A1,M1,PCi,PCm,PFCdm,PCip,PCs,FEF,PFCdl,PMCm,PMCdl,Thal-Front,Thal-Temp,Thal-OccPar,BG-caud,BG-put,BG-pall,BG-nac,TCpol.1,TCs.1,Amyg.1,OFCi.1,INSa.1,OFCm.1,TCc.1,OFCl.1,TCi.1,PHC.1,INS-G.1,PMCvl.1,VACv.1,INSp.1,PFCpol.1,HIP.1,sACC.1,PFCvl.1,V2.1,PFCm.1,TCv.1,VACd.1,V1-left,PFCcl.1,A2.1,CCr.1,CCp.1,ACC.1,S2.1,S1.1,A1.1,M1.1,PCi.1,PCm.1,PFCdm.1,PCip.1,PCs.1,FEF.1,PFCdl.1,PMCm.1,PMCdl.1,Thal-Front.1,Thal-Temp.1,Thal-OccPar.1,BG-caud.1,BG-put.1,BG-pall.1,BG-nac.1
P5259,0.2715365290641784,0.2206913232803344,0.3558792173862457,0.2177487462759018,0.323301613330841,0.328705370426178,0.2962632179260254,0.2163053005933761,0.5814602375030518,0.3480037748813629,0.2661018073558807,0.3456711769104004,0.4854476749897003,0.3710534274578094,0.4465447664260864,0.3709354996681213,0.4046836495399475,0.2461565285921096,0.4483808279037475,0.4642494022846222,0.3614466786384582,0.3882740437984466,0.4731189608573913,0.3369911611080169,0.4392730295658111,0.359443187713623,0.4326438903808594,0.3118243217468261,0.4254585206508636,0.3882297575473785,0.4858933985233307,0.3302205204963684,0.3379507958889007,0.4452764987945556,0.4029239118099212,0.3582175374031067,0.3929484784603119,0.4235053360462188,0.3195973336696625,0.4641215205192566,0.3163144290447235,0.6901828050613403,0.5041087865829468,0.5438032746315002,0.4627017676830292,0.5321062207221985,0.3840413987636566,0.629041314125061,0.2301594167947769,0.2057129591703415,0.3564139604568481,0.2604460716247558,0.3652574121952057,0.3064509630203247,0.2611039876937866,0.3243371546268463,0.564197838306427,0.3626541495323181,0.4283863306045532,0.2767178416252136,0.3469107747077942,0.3767210841178894,0.4513051807880401,0.4359380602836609,0.3564029932022095,0.2645148634910583,0.3900097012519836,0.4706030189990997,0.5284062623977661,0.4152957499027252,0.5803811550140381,0.4328297972679138,0.4556306302547455,0.5181798338890076,0.3941231667995453,0.327332466840744,0.4088248610496521,0.441716730594635,0.5705751180648804,0.4733020365238189,0.288314551115036,0.498701274394989,0.4188537895679474,0.40229332447052,0.4271275699138641,0.3288705348968506,0.3051639199256897,0.3697454035282135,0.3055658638477325,0.6400739550590515,0.4834398925304413,0.5488415360450745,0.4041329622268677,0.5098925828933716,0.5233963131904602,0.5048441290855408
P5232,0.6313412189483643,0.1752409636974334,0.765992283821106,0.5037559866905212,0.3278444111347198,0.5531198978424072,0.5171430706977844,0.2942169308662414,0.531219482421875,0.3528189361095428,0.4449686706066131,0.2708586752414703,0.317937821149826,0.3081889748573303,0.2943085730075836,0.4871396422386169,0.3813630640506744,0.3540117144584656,0.336336076259613,0.425413966178894,0.4811743795871734,0.2890958189964294,0.3521690666675567,0.2361060082912445,0.355983167886734,0.6307709813117981,0.4080733954906463,0.2384819537401199,0.4064119756221771,0.2634814083576202,0.6195236444473267,0.2987174689769745,0.3236506879329681,0.3814609050750732,0.3656056523323059,0.2958891987800598,0.2731227874755859,0.379520446062088,0.2814087867736816,0.4061111509799957,0.2157267034053802,0.3220699429512024,0.4820238351821899,0.3483930826187134,0.2814224660396576,0.34895920753479,0.7282591462135315,0.4700999557971954,0.3420762717723846,0.2540833652019501,0.4382385909557342,0.3585478365421295,0.3224565684795379,0.3329317271709442,0.4349067211151123,0.2999910712242126,0.7128666639328003,0.3811400830745697,0.2450567632913589,0.2934253811836242,0.3541316986083984,0.2229802161455154,0.2982596158981323,0.4674009680747986,0.3277686536312103,0.3664710223674774,0.2842456996440887,0.4174095690250397,0.3719791769981384,0.3278718888759613,0.2438346594572067,0.2398501336574554,0.3392945230007171,0.5591244101524353,0.3105733096599579,0.2780024111270904,0.3619170784950256,0.3458248078823089,0.4384508728981018,0.3555409014225006,0.2124524414539337,0.3095263540744781,0.271519660949707,0.2975854575634002,0.2892162799835205,0.2799864411354065,0.2804816365242004,0.238808661699295,0.2064932435750961,0.3607802391052246,0.2620380818843841,0.3643828630447387,0.3706186413764953,0.3411480784416199,0.6257718801498413,0.3443387150764465
P5235,0.3599230945110321,0.2527991533279419,0.4750571548938751,0.3497057259082794,0.2920233905315399,0.1807284355163574,0.3160978555679321,0.220726266503334,0.5882524847984314,0.4881352186203003,0.3765186071395874,0.2064257860183715,0.6138898134231567,0.2544987499713897,0.4765926897525787,0.2995254695415497,0.4435678124427795,0.3167321383953094,0.4264654815196991,0.4448725283145904,0.6123157143592834,0.3825964033603668,0.6473609805107117,0.2731994986534118,0.3066152036190033,0.4848290383815765,0.3375592529773712,0.2169156372547149,0.4042042195796966,0.3188494145870209,0.4610974490642547,0.2262011617422104,0.2996842861175537,0.5507689714431763,0.3634896874427795,0.3927826881408691,0.4359879791736603,0.2611743509769439,0.2574515640735626,0.2463200688362121,0.3149712383747101,0.3602373600006103,0.3397461175918579,0.488807201385498,0.4143192768096924,0.4879155158996582,0.4339314103126526,0.5955684781074524,0.2739956080913543,0.2569455206394195,0.463010311126709,0.3053104281425476,0.4616505801677704,0.2402035742998123,0.519804835319519,0.1637437641620636,0.5095228552818298,0.340299516916275,0.3816338181495666,0.2525959014892578,0.3510131239891052,0.3134077787399292,0.5014131665229797,0.3735784292221069,0.5101816654205322,0.2467453926801681,0.3490004539489746,0.4087443351745605,0.565710723400116,0.4060860872268677,0.621086835861206,0.1909810900688171,0.383379727602005,0.4572271704673767,0.3747872412204742,0.2900992929935455,0.3547264039516449,0.2343436330556869,0.4771492481231689,0.1707242131233215,0.2476633787155151,0.5213022828102112,0.3007107973098755,0.4586102664470672,0.3730316460132599,0.3208892345428467,0.2595970630645752,0.198607787489891,0.2359895706176757,0.4253857433795929,0.4635432064533233,0.339208722114563,0.403736263513565,0.4431753158569336,0.4117037355899811,0.5729698538780212
P5203,0.4108490347862243,0.1831039041280746,0.5257253646850586,0.3113406300544739,0.33194500207901,0.4557088017463684,0.5153346061706543,0.2797201871871948,0.5046865344047546,0.432477593421936,0.3253353834152221,0.3273581862449646,0.626727819442749,0.3880523443222046,0.3316299021244049,0.3693744838237762,0.4476034939289093,0.2230581194162368,0.542944610118866,0.3496289253234863,0.449490487575531,0.3270384073257446,0.4788055717945099,0.3957714438438415,0.2539444267749786,0.5066443085670471,0.3278326094150543,0.412504106760025,0.450532466173172,0.2767800092697143,0.4046949744224548,0.2662079334259033,0.3010521233081817,0.5324015021324158,0.3320937752723694,0.3402553796768188,0.4375657737255096,0.3424060642719269,0.3178837299346924,0.3619025945663452,0.2837984263896942,0.5527601838111877,0.5760072469711304,0.4742407500743866,0.4640574157238006,0.4757209420204162,0.3832161426544189,0.4823770523071289,0.5165722370147705,0.2049550116062164,0.4730625748634338,0.2522439658641815,0.3587673306465149,0.3808757364749908,0.4278096258640289,0.2089634537696838,0.5969801545143127,0.3636670410633087,0.4211574196815491,0.2828223407268524,0.5094615817070007,0.4077399671077728,0.3838611841201782,0.4077552556991577,0.406186431646347,0.2801881730556488,0.367728054523468,0.4614544212818146,0.4963919520378113,0.3229633271694183,0.4483455121517181,0.4888665974140167,0.4260822832584381,0.5620672702789307,0.4351574182510376,0.4193254113197326,0.4988552629947662,0.2569760680198669,0.5310437083244324,0.2726626098155975,0.3049766421318054,0.5858256220817566,0.4735073447227478,0.4764218926429748,0.5148776769638062,0.5265471339225769,0.5341734290122986,0.3045100271701813,0.2974757552146911,0.5058563351631165,0.4599308967590332,0.5259271264076233,0.4837211370468139,0.4138279557228088,0.4500952363014221,0.4541134834289551
P5258,0.2888876795768738,0.1961813420057296,,0.3253260254859924,0.6090868711471558,0.5583011507987976,0.5200151801109314,0.3392938375473022,0.9176584482192992,,,0.3330793082714081,0.6327803134918213,0.3244819939136505,,0.6835728883743286,,0.3059976398944855,0.3568559288978576,,0.9087311625480652,0.423605740070343,0.3771944642066955,0.3290216624736786,0.5966565608978271,,0.5000657439231873,0.3421957790851593,0.4319899678230285,0.436516135931015,,0.326195478439331,0.2954452931880951,0.7055562734603882,0.6553052663803101,0.3948320746421814,0.4094786345958709,0.7119424343109131,0.2687928676605224,0.6377336978912354,0.392580509185791,,0.6286070346832275,,0.580440878868103,0.6401128172874451,,,0.3361221253871918,0.2680158615112304,,0.5062305331230164,0.5858399271965027,0.7593010663986206,0.3343659937381744,0.2968616783618927,0.8024582862854004,0.6780199408531189,,0.3514740467071533,0.7406684756278992,0.2567559480667114,,0.5133131146430969,,0.2868852019309997,0.3982090353965759,,0.8094145655632019,0.3386576473712921,0.327257364988327,0.2725407183170318,0.6517603397369385,,0.4542731344699859,0.3041052222251892,0.4423312842845917,0.4793056845664978,,0.4207974374294281,0.2485611736774444,0.8311414122581482,,0.4897153973579407,0.3972630798816681,,0.3036361634731293,,1.000000238418579,,,,0.3614085614681244,0.5536690354347229,,
P52125,0.2939298152923584,0.1850008219480514,0.3307603597640991,0.2112688571214676,0.2990480065345764,0.2633453607559204,0.4584099054336548,0.2086465507745742,0.6262661814689636,0.386048287153244,0.3351271748542785,0.2330099046230316,0.5018067955970764,0.3200117647647857,0.5137547254562378,0.3334798514842987,0.5184822678565979,0.2954982817173004,0.3280065655708313,0.3598369359970093,0.5611939430236816,0.4598033428192138,0.327348381280899,0.2809127271175384,0.3085667490959167,0.4720207154750824,0.3006759881973266,0.2555847764015198,0.3727873563766479,0.3589416742324829,0.380662739276886,0.3761739134788513,0.2492454499006271,0.3731904327869415,0.3003034889698028,0.4477113485336303,0.3909801244735718,0.2786925435066223,0.2131163477897644,0.3009916245937347,0.3059664368629455,0.4576164484024048,0.3235150575637817,0.2979563474655151,0.5529120564460754,0.6351487636566162,0.5096801519393921,0.560431182384491,0.2465183436870575,0.192254900932312,0.3824071586132049,0.2097197026014328,0.3689129054546356,0.1823719143867492,0.2184878140687942,0.359749436378479,0.4195389151573181,0.3225795328617096,0.4414239823818207,0.2412356883287429,0.484745055437088,0.3226511776447296,0.3962836563587188,0.2217117846012115,0.5191487669944763,0.2544173896312713,0.3698197305202484,0.3226612210273742,0.5339754223823547,0.4034942388534546,0.3553167283535003,0.4138396382331848,0.3701291978359222,0.4932722449302673,0.2750027775764465,0.2933339178562164,0.3582561612129211,0.3317531645298004,0.4700915813446045,0.3616663515567779,0.2773448228836059,0.3408859670162201,0.483976274728775,0.451125830411911,0.3124202489852905,0.3857231140136719,0.4015962779521942,0.2627182602882385,0.3799542784690857,0.3821576535701751,0.3317117989063263,0.3161040544509887,0.5058578252792358,0.616545557975769,0.4518721401691437,0.5240499973297119
P5260,0.4924511611461639,0.2017952650785446,0.3643787205219269,0.2727825343608856,0.4223583340644836,0.1939586699008941,0.2078352719545364,0.1801455914974212,0.5355168581008911,0.357248991727829,0.3864811956882477,0.2438401132822036,0.3524940311908722,0.3661518692970276,0.3178114295005798,0.219973936676979,0.285253643989563,0.300159215927124,0.4171796143054962,0.4153762459754944,0.4409982562065124,0.441938042640686,0.5069727897644043,0.2868742644786834,0.576092004776001,0.5357180237770081,0.4012543857097626,0.2593910694122314,0.523864209651947,0.3314998149871826,0.6433636546134949,0.3440343737602234,0.3636162877082824,0.4333035945892334,0.4576767385005951,0.3933829367160797,0.4242007732391357,0.2886925637722015,0.3791117370128631,0.3348236382007599,0.2839736640453338,0.3695725500583648,0.3519005477428436,0.2928048074245453,0.4642181098461151,0.3581233918666839,0.3094429969787597,0.4684869050979614,0.1828202307224273,0.2480953335762024,0.3309802711009979,0.2028503566980362,0.2742637693881988,0.2051574736833572,0.2484144568443298,0.2109867483377456,0.4243000447750091,0.3962355852127075,0.3693414032459259,0.2164800614118576,0.4280593693256378,0.3534300625324249,0.302746444940567,0.2652267217636108,0.2934733033180237,0.2881579399108886,0.4938666224479675,0.4401139318943023,0.415499210357666,0.3196087479591369,0.5444508194923401,0.265250951051712,0.557187020778656,0.6101862788200378,0.4908644258975982,0.278204470872879,0.4186836779117584,0.3808092474937439,0.6208739876747131,0.3067191541194916,0.2712720334529876,0.5588443279266357,0.3531173169612884,0.4134745299816131,0.375357836484909,0.2686045467853546,0.3579952716827392,0.2763568460941314,0.4062843322753906,0.3978865146636963,0.4110066294670105,0.2531342208385467,0.3645568192005157,0.3472520112991333,0.312138944864273,0.3727779984474182
P5205,0.3191154897212982,0.1992987692356109,,0.3303968608379364,0.7349686622619629,0.544900119304657,0.3779550790786743,0.467856228351593,0.7081734538078308,,,0.4248689413070678,0.6425358653068542,0.5160757303237915,,0.7403250336647034,,0.3748168349266052,0.3626298606395721,0.999999701976776,0.8581745624542236,0.4094725549221039,0.4731737077236175,0.2392430305480957,0.6503844857215881,,0.493891030550003,0.3605451285839081,0.3854725956916809,0.3704159557819366,,0.3140735626220703,0.3286196291446686,0.4550756514072418,0.9447148442268372,0.3974573314189911,0.4793684482574463,0.9087828397750854,0.2977379560470581,0.5729524493217468,0.4075081050395965,,0.6995804905891418,,0.5201439261436462,0.8781347274780273,,,0.453485369682312,0.2221164107322693,,0.2449924200773239,0.8581613898277283,0.6776405572891235,0.4580763578414917,0.4743107557296753,0.9097962975502014,0.935771346092224,,0.453454315662384,0.8083063960075378,0.3575869500637054,,0.5511853098869324,,0.3703079521656036,0.3616501986980438,,0.7204587459564209,0.3795185387134552,0.3193464279174804,0.2397454679012298,0.6333179473876953,1.0,0.4462797045707702,0.3425469696521759,0.4359395802021026,0.4697990417480469,,0.2959694564342499,0.366343230009079,0.5948241353034973,,0.4240223467350006,0.5404305458068848,,0.3158965706825256,0.6345425248146057,,,,,0.4844661056995392,0.6065760850906372,,
P5234,0.3788854479789734,0.3797255158424377,0.5392441153526306,0.3017772734165191,0.2855218648910522,0.2643366158008575,0.4474454522132873,0.3022946417331695,0.6669608950614929,0.4665194451808929,0.368885338306427,0.2734201848506927,0.6339903473854065,0.3139682412147522,0.2250259220600128,0.3346586227416992,0.2577446699142456,0.2487466186285019,0.6138960123062134,0.3659631609916687,0.4387477338314056,0.4026391208171844,0.5820092558860779,0.3029774725437164,0.6743365526199341,0.604477047920227,0.5091907978057861,0.4343356192111969,0.4525871872901916,0.332402616739273,0.5682461261749268,0.3776723742485046,0.2898062765598297,0.3996115624904632,0.3288590610027313,0.4035453200340271,0.3582344055175781,0.4871119558811188,0.4730740189552307,0.3743284940719604,0.3990713953971863,0.5634183287620544,0.4989554584026336,0.3768414855003357,0.7627545595169067,0.5700235962867737,0.5684062838554382,0.4520286023616791,0.3589234054088592,0.256820797920227,0.3437991440296173,0.3394264578819275,0.3011673986911773,0.2550884485244751,0.4235561490058899,0.3730650842189789,0.6383146047592163,0.3141460716724396,0.3722021579742431,0.269956111907959,0.5573921799659729,0.3096950352191925,0.2541581094264984,0.3071255087852478,0.3340635299682617,0.2214463502168655,0.4446592926979065,0.3314239978790283,0.5379354357719421,0.3340571224689483,0.5363571047782898,0.2826950848102569,0.6089098453521729,0.6693791747093201,0.4964620172977447,0.4325950443744659,0.3597919344902038,0.3390747010707855,0.4660759568214416,0.4239814877510071,0.2533543109893799,0.3307678997516632,0.3726966381072998,0.2754468619823456,0.4291956424713135,0.497891217470169,0.5695297718048096,0.3821373283863067,0.4674392938613891,0.5116279125213623,0.4826016426086426,0.3364616930484772,0.7463173270225525,0.4788968861103058,0.3594294190406799,0.3695800304412842
P5233,0.3049071133136749,0.1886081099510193,0.561407744884491,0.6201576590538025,0.430326908826828,0.2661630511283874,0.281306505203247,0.2341084331274032,0.4812405407428741,0.3081756830215454,0.4835595488548279,0.271903932094574,0.3885474801063537,0.3564638197422027,0.4990004301071167,0.3111928105354309,0.4801447987556457,0.3904087245464325,0.2997152805328369,0.357438862323761,0.3939628005027771,0.3271822333335876,0.4556120038032532,0.3192612826824188,0.3786390721797943,0.5815399885177612,0.3897664248943329,0.3997926115989685,0.526366651058197,0.4231607615947723,0.5616534948348999,0.3999244272708893,0.3343215584754944,0.4740949273109436,0.3675868511199951,0.408117800951004,0.3033590018749237,0.3945814371109009,0.2721529603004455,0.5119534730911255,0.4111811220645904,0.4033187925815582,0.3325510621070862,0.3707401752471924,0.3951992690563202,0.5729105472564697,0.5128762722015381,0.5120474696159363,0.3014119267463684,0.3081246018409729,0.457378089427948,0.4047234058380127,0.4499556422233581,0.334989458322525,0.2389102429151535,0.1901266574859619,0.4268308877944946,0.2762826383113861,0.4971526265144348,0.2468172013759613,0.3349502384662628,0.3349877297878265,0.5339706540107727,0.4613329172134399,0.5325326323509216,0.2691545486450195,0.4577387869358063,0.3389531075954437,0.4884738028049469,0.2312165051698684,0.3270339071750641,0.3687213063240051,0.4238210320472717,0.6382259130477905,0.5306527614593506,0.3759038150310516,0.4517809748649597,0.3412527740001678,0.5226249098777771,0.4079072475433349,0.2918412089347839,0.6256899237632751,0.3355366885662079,0.3973957896232605,0.2881492972373962,0.3241157531738281,0.2995677590370178,0.3885044753551483,0.4056661128997803,0.3882687091827392,0.3616766035556793,0.3025395572185516,0.4385862052440643,0.5358374714851379,0.5001863241195679,0.4704558551311493
