,TCpol,TCs,Amyg,OFCi,INSa,OFCm,TCc,OFCl,TCi,PHC,INS-G,PMCvl,VACv,INSp,PFCpol,HIP,sACC,PFCvl,V2,PFCm,TCv,VACd,V1-right,PFCcl,A2,CCr,CCp,ACC,S2,S1,A1,M1,PCi,PCm,PFCdm,PCip,PCs,FEF,PFCdl,PMCm,PMCdl,Thal-Front,Thal-Temp,Thal-OccPar,BG-caud,BG-put,BG-pall,BG-nac,TCpol,TCs,Amyg,OFCi,INSa,OFCm,TCc,OFCl,TCi,PHC,INS-G,PMCvl,VACv,INSp,PFCpol,HIP,sACC,PFCvl,V2,PFCm,TCv,VACd,V1-left,PFCcl,A2,CCr,CCp,ACC,S2,S1,A1,M1,PCi,PCm,PFCdm,PCip,PCs,FEF,PFCdl,PMCm,PMCdl,Thal-Front,Thal-Temp,Thal-OccPar,BG-caud,BG-put,BG-pall,BG-nac
P5201,0.19672453,0.022179991,0.032241285,0.010557294,0.38413522,-0.122858495,-0.043226153,0.16454783,0.13304412,0.029421538,0.16169909,0.057914108,0.25949076,0.010429561,0.17193598,0.075037956,0.05621144,-0.004976243,0.089812875,0.20380527,0.10229376,0.10531506,0.025817662,0.0604631,0.16706827,-0.010842681,-0.08644557,0.14127518,-0.00011393428,-0.008048356,-0.014278293,-0.009330511,0.07001087,-0.006090194,0.09112564,0.19063783,0.16430217,0.03913328,0.008540183,-0.122653246,0.05900696,-0.029858679,-0.17152366,-0.006676376,0.1741308,0.118011326,-0.20469654,0.13899085,0.11233473,-0.087735176,-0.091733664,0.04681799,-0.012274355,-0.024890423,-0.09680998,0.033498526,-0.09688109,0.05511257,0.2533956,0.0350264,0.078457355,0.05415772,0.22663671,-0.093636334,0.05000609,0.020174623,0.0833641,0.28023598,0.16806579,-0.004933119,0.18602572,0.04765007,0.0203605,-0.014842212,-0.02759415,0.110746056,-0.028416663,0.059478402,0.0022663772,-0.05468324,0.11165729,0.035897464,0.14373931,0.11732665,0.1293146,0.11091265,-0.040074855,0.07507795,0.11185785,-0.113663614,-0.0058407485,0.052879393,0.14034146,0.10910773,-0.004545152,0.11046556
P5203,-0.056536764,0.016997978,0.117390096,0.033525616,0.07942569,0.033959568,0.023104787,-0.06084031,0.03080991,0.12313652,0.008853883,0.11399989,0.0027176142,-0.06637716,0.024607092,0.11378658,-0.09963235,-0.032123387,0.11809534,-0.10398275,-0.18123016,-0.053934664,0.020172745,-0.048695803,-0.13850276,-0.055879086,-0.0340693,-0.0908207,-0.10535106,-0.073838115,-0.13513541,-0.017254472,-0.0048761666,-0.091608256,-0.22304082,-0.11928612,-0.036451414,-0.13146275,-0.0038486868,-0.0632399,-0.055978775,-0.5058949,-0.3973443,0.024273455,-0.034171164,-0.17742318,-0.13309228,-0.0204705,0.07584718,0.03969322,-0.0056341887,0.019152582,-0.25459376,0.0013036728,0.08100206,-0.01984787,0.14219406,0.05199781,-0.13545918,0.08254227,0.088445544,-0.026845515,0.07585633,0.050012916,-0.22418079,0.033027023,0.032342434,-0.14408836,-0.066732824,-0.13086283,-0.10273522,-0.07439308,-0.2131984,-0.058368117,-0.038284928,-0.019089133,-0.32345945,0.0059983283,-0.046273142,0.008281708,0.036068663,-0.09645268,-0.1872268,-0.14171644,-0.06927857,-0.0198583,-0.024142653,-0.08614507,-0.08490825,-0.45821515,-0.32741967,-0.01772654,0.040904254,-0.19945168,0.10505223,0.0296126
P5205,0.062176257,0.12585552,0.040169954,0.021598786,0.071706355,-0.0031041503,-0.04450327,-0.13912818,0.15272778,0.14058031,0.019370675,0.086475775,-0.008618087,0.06238258,0.043091953,0.07585463,-0.107352376,0.002146989,0.12807038,-0.02182722,0.21954662,0.12015247,0.27590197,0.00051024556,0.21832782,0.10285625,0.09286404,-0.060550034,0.023153752,0.05667171,-0.11488646,0.030592293,0.0012961328,0.00081577897,-0.20610103,0.0407048,0.102913946,0.008443177,-0.02502954,-0.07365647,-0.07130727,-0.25305963,-0.015073895,-0.074071765,0.008426607,0.027296275,-0.16753843,-0.095350504,-0.0060606003,0.08517413,0.15240711,0.07123336,0.24840388,0.095103756,-0.022725284,0.012254983,0.2767556,0.08307618,-0.02331096,0.012861133,0.104910016,-0.045771748,0.14768931,-0.009431809,-0.028349549,0.024155736,0.15963182,0.09183845,0.16490918,0.2020334,0.30053714,-0.07491058,0.22185534,0.08279866,0.16395792,-0.065897465,0.016038686,0.07124813,-0.104480416,0.034521982,0.0879367,0.11294451,-0.100453794,-0.00764966,0.19206378,-0.013692677,-0.055765927,-0.078128636,-0.029201865,-0.14030129,-0.055559635,-0.07889426,0.037276566,-0.019430518,-0.0934405,0.020628482
P5206,-0.04611717,0.014738664,0.069336206,0.00089755654,0.024969041,-0.045042306,0.09126322,-0.15859862,0.23923498,-0.113647446,-0.0028099716,0.20216468,0.12684506,0.07790297,-0.10518822,-0.09444928,0.028374076,-0.0061850697,-0.07052213,0.08658528,0.08887401,0.033447564,0.25384146,-0.13111289,0.09889102,-0.13221908,0.0045753717,-0.07338525,-0.012640208,0.17671311,-0.022806108,0.04925467,0.035971805,0.110562414,-0.12766203,0.015693933,0.12694612,0.083574116,0.08522688,0.06281221,-0.056886554,0.20075122,-0.0747782,0.1376116,-0.009443492,0.14513588,0.06837854,0.11761451,-0.06081213,0.004610434,-0.022613317,-0.033949614,-0.19726335,-0.042814925,-0.010466605,-0.015055582,0.07101095,-0.038795114,0.0018705726,0.011397198,0.03079629,0.054418027,0.04344845,-0.097418875,0.03652653,-0.018153608,-0.008456826,0.1422098,0.13834697,0.13875069,0.18006894,-0.0736278,-0.16455314,0.009410858,0.030272841,-0.04495716,-0.09593943,0.07682082,0.09157911,-0.028972745,-0.021465242,0.1354315,-0.048644274,0.15164539,0.12660897,-0.021444619,0.023141146,0.036263883,0.041874155,0.1452252,-0.04083225,0.08555746,-0.07955477,0.11885041,-0.04341486,0.11969271
P5207,-0.097352624,-0.014154717,0.12351054,0.1434074,-0.014065564,-0.09742409,0.14257297,0.2021212,-0.037859857,-0.0909245,0.27780223,-0.09134826,-0.19988331,-0.14512673,-0.12062755,-0.005957961,0.019127041,0.15459347,0.009982377,-0.03146541,-0.07101387,0.016566038,-0.16973001,0.020337999,0.066515386,0.16640475,-0.0009255707,-0.06554499,-0.06429458,-0.06997663,0.0485487,-0.16185507,0.0066572726,0.0588322,0.015331298,0.004771769,0.044548392,0.022818476,-0.04445386,-0.36948454,-0.11906731,-0.06311473,-0.10034433,0.096062094,-0.26858217,-0.023922205,-0.068205416,0.10132441,-0.093326926,-0.06263989,0.17431098,0.07443014,0.09848815,-0.019688308,0.04869935,3.1262636e-05,-0.05910477,-0.36760205,0.03068772,0.08774912,-0.22536683,0.105900824,-0.09247312,-0.16376139,0.13804185,-0.049564853,-0.0295946,-0.1781443,-0.088377744,0.049259007,-0.07688537,-0.036175817,0.012647539,0.14103264,-0.06363359,-0.029309899,0.027700603,-0.11256972,0.030304968,-0.18473108,0.029131144,0.03754586,-0.016472757,-0.06476568,-0.023667812,0.06855115,0.14089927,-0.0970296,-0.027516365,-0.022837162,-0.10199937,-0.066750735,-0.067952454,0.030934691,0.02264002,0.05452192
P5208,-0.016303793,-0.031114697,0.094426304,0.06260033,0.06217459,-0.01687397,-0.1230489,-0.06230028,-0.21461104,-0.041882962,-0.044441804,-0.012893051,-0.16019598,-0.12242827,-0.09159529,0.005174145,0.07715818,-0.13222736,0.082947314,-0.10618901,-0.13275915,0.06460437,0.12174809,-0.010021687,-0.023706287,-0.050776362,-0.02251646,-0.106601626,-0.033109874,0.08533284,0.015083581,-0.012696624,0.024471134,0.08833,0.023238003,0.010210156,0.090831965,-0.0383029,-0.112051666,0.067788064,-0.014974743,-0.13495085,-0.045259655,0.0003605783,-0.053325415,-0.05172503,-0.079339445,-0.0954293,-0.04870017,0.01632443,-0.2905715,-0.07848707,-0.16949712,-0.015949741,-0.01824765,-0.08105904,-0.11648348,-0.071878344,-0.124080986,0.029000849,-0.0048573017,-0.15935509,-0.05319959,-0.074974,-0.04473719,-0.15550984,0.11998984,-0.06435117,-0.031511426,-0.07267904,0.12242061,-0.021899536,-0.007891178,0.12356618,-0.09977004,-0.056404844,-0.05905351,-0.010373384,0.16104317,-0.07657869,0.05934404,0.035706222,-0.030878842,0.039336205,0.14660409,-0.009279788,-0.10759622,-0.03179598,0.037096456,-0.20587665,-0.091531634,-0.15192747,-0.04709211,-0.031030029,0.009646922,-0.1265153
P5209,-0.04240048,-0.12516113,0.090694726,0.027602404,-0.09719196,-0.14678131,-0.13806325,-0.31993854,-0.17842841,-0.052133113,-0.12933323,-0.31120303,-0.17085725,-0.24227281,-0.34138215,-0.09084013,-0.22017542,-0.2636721,-0.084647745,-0.40985072,-0.14950046,-0.15180013,-0.15488127,-0.41596836,-0.14620617,-0.07780552,0.0014734864,-0.272006,-0.22956982,-0.17119296,-0.2840211,-0.14238232,-0.036308825,0.026361763,-0.45651948,-0.19357245,-0.047466755,-0.12432714,-0.29473144,-0.15569715,-0.18376046,-0.13164076,-0.16865659,-0.21319298,-0.3273685,-0.16404459,-0.20581311,-0.1336788,-0.024129584,0.022409782,0.045782596,-0.001904577,-0.12861311,0.021027714,-0.18505476,-0.14487982,-0.1255483,-0.07414797,-0.2555132,-0.21480624,0.0015827119,-0.20799842,-0.23191541,-0.17178014,-0.10734752,-0.26326454,-0.11733699,-0.39478257,-0.2007142,-0.12139712,-0.12977096,-0.36592472,-0.024128914,-0.05359736,0.04743567,-0.24139129,-0.08336097,-0.065611914,-0.18820223,-0.12377134,-0.19550326,0.1293807,-0.41542965,-0.16922256,0.070032716,-0.17620492,-0.3288674,-0.1907997,-0.23859306,-0.1495524,-0.11228928,-0.23724194,-0.39828908,-0.09600142,-0.10429308,-0.05090463
P5210,0.13860539,-0.028321832,0.031933486,0.0803715,0.19922969,0.09568226,0.0322797,-0.112434655,-0.0030486286,0.035366833,-0.022313446,0.08937964,0.2581602,0.012236297,-0.056540877,-0.02435124,-0.17790973,-0.009683013,0.21930903,-0.050828516,0.09967041,0.08549446,0.12637609,0.018995866,-0.022232175,-0.00052046776,0.07683003,-0.07660885,0.067662865,-0.08406673,0.03712192,0.06957297,0.04224512,0.118970364,0.039976656,0.063628465,0.13055494,0.058241636,-0.014698088,-0.043154806,0.011868417,0.028551877,-0.041800797,-0.015290529,-0.021323651,0.004249662,0.08712876,0.064246446,0.021420166,-0.028597325,0.13790295,0.0071038306,-0.070349276,0.105321586,0.09980005,-0.003625363,0.05586809,0.02117765,-0.07398009,0.060116097,0.16056567,-0.0058405995,-0.07440421,0.0058424175,-0.25057358,-0.021308243,0.12711146,-0.0119199455,0.08344656,0.05816336,0.107574016,-0.0048446953,0.05769351,-0.017529994,0.025336087,-0.0056915134,0.02528885,0.07054001,0.039524525,0.042210788,0.008364588,0.08193815,-0.065715104,0.019296974,0.078814656,0.055233493,-0.04310906,0.010927826,-0.0019491613,-0.0065329373,0.061027065,-0.11136399,-0.058638334,0.07498759,-0.065894544,-0.0154697
P5211,0.020908102,-0.06967734,-0.003292501,-0.018671602,0.37814212,-0.016918793,-0.099439785,-0.112714514,-0.07849094,0.062749326,0.0025923252,-0.07344049,-0.087281406,0.14641592,-0.0055197477,0.085285425,0.08571139,-0.002725169,-0.10813022,-0.086022824,-0.15063775,-0.18240741,-0.15093544,-0.07774325,-0.18567163,0.17455918,0.10036567,0.13399708,-0.0642474,0.008282796,-0.049145192,-0.052397028,-0.030262008,0.048286557,0.00052806735,-0.105237454,0.059680432,-0.13110693,-0.06140712,-0.095211506,-0.10738528,-0.09894946,-0.13852866,-0.051397353,-0.0022325516,-0.17647183,-0.14550294,-0.19103736,0.14715308,-0.04829766,-0.015042305,-0.041269094,0.06397137,0.030402452,0.010858789,-0.03545548,-0.06430611,0.01477018,0.017507076,-0.087747335,-0.13796312,-0.008696109,0.034558803,0.08279522,0.122261316,-0.0093593,0.040936887,-0.032288373,-0.10759181,-0.118523985,-0.122180074,-0.026468158,-0.19028416,0.11460239,0.039471865,0.12861934,-0.06278622,-0.0482094,-0.076361686,-0.06616795,-0.035882518,0.0767867,-0.021022111,-0.08349171,0.01568833,-0.013218284,0.03210345,-0.004922718,-0.012648433,-0.113443375,-0.14959544,-0.06473023,-0.018930554,-0.1865173,-0.10064396,-0.06385943
P5212,-0.101059735,-0.051965356,-0.17846036,-0.058594733,-0.05811873,0.057801932,-0.08802071,-0.048276454,-0.23406175,-0.20866615,-0.0883362,0.070299804,-0.40330267,-0.040616006,-0.08673307,-0.12701593,-0.13012654,-0.13755777,-0.18669602,-0.09658176,-0.35619283,-0.20408231,-0.31611353,-0.082592115,0.01307857,-0.09554082,0.0109473765,0.019862622,-0.057729274,-0.12778874,0.06493601,-0.09205687,-0.047945827,-0.19387561,-0.039762348,-0.16233343,-0.16041037,0.18547368,-0.011719048,0.14958653,-0.03869739,0.038473904,-0.060246855,-0.19300345,-0.14328456,-0.08273479,-0.09706655,-0.20246682,-0.032790467,-0.0898643,-0.11975962,-0.059188753,-0.17024711,-0.027600288,-0.31093666,-0.004827574,-0.15778354,-0.10237993,-0.028003544,-0.072312504,-0.1479302,-0.048805177,-0.10983595,-0.14463016,-0.17043692,0.017947868,-0.051861644,-0.098700285,-0.21377808,-0.17185982,-0.18063775,0.019095331,-0.119841605,-0.023257136,0.030262798,-0.08456437,-0.053461134,-0.059487,-0.07818681,0.022131994,0.020262718,-0.072612345,0.010547817,-0.26888442,0.0071495175,0.01839894,0.036827594,-0.0078107268,-0.029109985,-0.05442846,-0.0845367,-0.068368524,-0.14240032,-0.005194515,-0.10135332,-0.19292125
