,N1_VIS1,N2_VIS2,N3_MOT1,N4_MOT2,N5_DORATT2,N6_DORATT1,N7_VAN1,N8_FP1,N9_LIM1,N10_LIM2,N11_FP2,N12_FP3,N13_FP4,N14_MOT3,N15_DMN1,N16_DMN3,N17_DMN2
P5259,0.1506428569555282,0.2518650591373443,0.4823065400123596,0.3098022639751434,0.2745664417743683,0.1906644254922866,0.2121995836496353,0.182265892624855,0.1810294240713119,0.2392897754907608,0.2482582628726959,0.4186855554580688,0.2093000560998916,0.1704500019550323,0.2139845788478851,0.2571331262588501,0.2042781412601471
P5232,0.2907076478004455,0.453161746263504,0.5180591940879822,0.2864896059036255,0.2567815780639648,0.2341457307338714,0.2147001773118972,0.1970690339803695,0.1778477281332016,0.6573964357376099,0.1952180862426757,0.3273058235645294,0.1253651082515716,0.1584700047969818,0.3124115169048309,0.4565245509147644,0.2681678235530853
P5235,0.3516618013381958,0.3667813241481781,0.5954147577285767,0.4289156496524811,0.2938594222068786,0.1716431379318237,0.3489426970481872,0.2450051009654998,0.2760794162750244,0.2251953333616256,0.2136271744966507,0.5696168541908264,0.2461412250995636,0.224055603146553,0.2601614892482757,0.3446557223796844,0.2555967271327972
P5258,0.1238167434930801,0.2954660952091217,0.4831953942775726,0.3929542303085327,0.4359211325645447,0.2357157766819,0.2424650639295578,0.3296108543872833,0.164244145154953,0.2300193309783935,0.1665053814649582,0.38912034034729,0.2744613885879516,0.2883841097354889,0.2068445980548858,0.2531848549842834,0.3338181376457214
P52125,0.2102752774953842,0.2457720190286636,0.5395095944404602,0.1968185305595398,0.2109766006469726,0.2542992532253265,0.2380536198616027,0.1984048038721084,0.1489211618900299,0.3313332498073578,0.1728039383888244,0.4937719702720642,0.1936882138252258,0.2149207592010498,0.1706610769033432,0.2164769023656845,0.3687684237957001
P5260,0.1876062452793121,0.3192781805992126,0.4336299002170563,0.4021594226360321,0.2878479361534118,0.2768300175666809,0.2934945523738861,0.2345580160617828,0.2312043756246566,0.2582910060882568,0.1920674741268158,0.3822979927062988,0.2508058249950409,0.200969785451889,0.1669744253158569,0.2170881778001785,0.2492345571517944
P5234,0.2502275705337524,0.331137478351593,0.336096316576004,0.3347653746604919,0.3950701951980591,0.222049593925476,0.3251321017742157,0.4047398269176483,0.2649969458580017,0.3983551561832428,0.1699604392051696,0.4622478783130646,0.2126016765832901,0.2378694862127304,0.1872603744268417,0.2927940785884857,0.249490737915039
P5233,0.0946669280529022,0.4033167660236358,0.5094345808029175,0.2809171676635742,0.2770649492740631,0.2515248358249664,0.1887280791997909,0.3476139307022095,0.2101998031139373,0.2297415435314178,0.1684941351413726,0.3976685106754303,0.2095699906349182,0.2160283923149109,0.1726535558700561,0.3576648831367492,0.3566125929355621
P5245,0.1924933493137359,0.2978950142860412,0.3899611234664917,0.3867240846157074,0.3406264781951904,0.3010172545909881,0.2679331302642822,0.3004771173000335,0.2047750055789947,0.194293588399887,0.2872257530689239,0.3201753199100494,0.1768948286771774,0.1948684155941009,0.2201322764158249,0.2338622063398361,0.2729077339172363
P5244,0.1536877751350402,0.1530710309743881,0.3472207188606262,0.3661928474903106,0.4351220428943634,0.2033158540725708,0.1938510984182357,0.2923402190208435,0.1566601693630218,0.5054343938827515,0.3382196724414825,0.3606791794300079,0.1631753295660019,0.1614259183406829,0.2077297419309616,0.282040536403656,0.1993972659111023
P5243,0.1983207315206527,0.2451211512088775,0.3911267817020416,0.4025914371013641,0.3806734085083008,0.2365561574697494,0.2988471984863281,0.2633031010627746,0.19456847012043,0.5515034794807434,0.1685965657234192,0.3241277635097503,0.1908793300390243,0.2429530620574951,0.214680790901184,0.3071449100971222,0.2932673394680023
P5236,0.1700328886508941,0.3445397317409515,0.3242846429347992,0.3241261541843414,0.2490529417991638,0.211353525519371,0.2798234522342682,0.3361218273639679,0.2503716051578522,0.3270899951457977,0.2087810933589935,0.4995893239974975,0.233670175075531,0.2190021574497223,0.2113267928361892,0.4250194132328033,0.3091535270214081
P5231,0.1888878941535949,0.2935819923877716,0.4742617905139923,0.2093496173620224,0.2998811304569244,0.2045910060405731,0.2317987382411956,0.197474718093872,0.1564426124095916,0.1841818839311599,0.3680525720119476,0.4416745603084564,0.217073380947113,0.2002486437559127,0.3003320097923279,0.2484731376171112,0.1900312155485153
P5238,0.2368373274803161,0.3042368590831756,0.3540675938129425,0.3597052693367004,0.315701425075531,0.21992889046669,0.2513544261455536,0.1916476488113403,0.2363999336957931,0.3260148763656616,0.1971083730459213,0.5459169149398804,0.1826657056808471,0.2054709941148758,0.2583416104316711,0.3177202045917511,0.2298699915409088
P5254,0.2397612780332565,0.3352199196815491,0.4925225377082824,0.3097361326217651,0.4328785240650177,0.1764975637197494,0.1902280896902084,0.2849247753620147,0.2464490979909896,0.3188841342926025,0.2766425907611847,0.4467735886573791,0.1444487124681472,0.2488219738006591,0.4472459852695465,0.3875260353088379,0.2072111368179321
P5253,0.17641668021678925,0.2852693796157837,0.3483998775482178,0.23505988717079163,0.2888508141040802,0.2334797978401184,0.20595762133598328,0.19078245759010315,0.2513406574726105,0.4100196957588196,0.31977811455726624,0.4151129424571991,0.20319701731204987,0.18943166732788086,0.20008449256420135,0.3420614004135132,0.24249829351902008
P5237,0.19673950970172882,0.32844871282577515,0.5989716053009033,0.5473560094833374,0.5117228627204895,0.1987488865852356,0.29321497678756714,0.33673596382141113,0.17063768208026886,0.1978786140680313,0.16743847727775574,0.5215438604354858,0.19460073113441467,0.2731684148311615,0.30388689041137695,0.3113713264465332,0.38806048035621643
P5252,0.3449043929576874,0.3861827552318573,0.4087142050266266,0.35447782278060913,0.4023267924785614,0.2716084122657776,0.3567102253437042,0.2656646966934204,0.23734413087368011,0.20411771535873413,0.23973692953586578,0.3747941553592682,0.22612163424491882,0.2804519832134247,0.39549368619918823,0.3121095299720764,0.23885732889175415
P5247,0.27974674105644226,0.38220110535621643,0.5406937599182129,0.5187003016471863,0.352016806602478,0.23869790136814117,0.2859652042388916,0.2632078230381012,0.2403910607099533,0.2937261760234833,0.24499711394309998,0.3255482316017151,0.2128625512123108,0.1987244337797165,0.39596912264823914,0.3641722500324249,0.2518850862979889
P5249,0.14974981546401978,0.29986095428466797,0.43844860792160034,0.262776255607605,0.27729910612106323,0.26578396558761597,0.21616438031196594,0.24444732069969177,0.1706141084432602,0.36087411642074585,0.1518825888633728,0.38559120893478394,0.32722926139831543,0.3220805823802948,0.1998257339000702,0.28642457723617554,0.3362608253955841
