,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
P5259,0.3193818926811218,0.24270103871822357,0.22742457687854767,0.2272709608078003,0.24492515623569489,0.23989662528038025,0.2459222972393036,0.2614743113517761,0.4569171071052551,0.5631459951400757,0.5630304217338562,0.6328868865966797,0.5323931574821472,0.46222883462905884,0.28268271684646606,0.47038835287094116,0.47862178087234497,0.48932796716690063,0.4473682641983032,0.33282309770584106,,,0.25414034724235535,0.2864881157875061,0.6787412762641907,0.6157737374305725,0.7012863755226135,0.6494780778884888,0.25470659136772156,0.22432252764701843,0.22481508553028107,0.26721492409706116,0.4425041973590851,0.48408424854278564,,,0.6130489706993103,0.4612802267074585,0.4771621525287628,0.4095636010169983,,,0.29013288021087646,0.30401065945625305,0.3762962222099304,0.586771547794342,0.2917023301124573,0.3711738884449005,0.40216678380966187,0.32049858570098877,0.2626640796661377,0.36414024233818054,0.5121439695358276,0.7265809178352356,0.2953135073184967,0.26915788650512695,0.31561723351478577,0.17034895718097687,0.3218790292739868,0.24358142912387848,0.3225823640823364,0.43093764781951904,0.4937799870967865,0.42365312576293945,0.514900803565979,0.3513561189174652,0.24204030632972717,0.27755627036094666,0.7155510187149048,,0.25426381826400757,0.4703297019004822,0.6834409832954407,0.618208110332489,,,,,0.8739959001541138,,0.3087913691997528,0.3186303377151489,0.31799301505088806,0.5039311647415161,0.2953798174858093,0.21636490523815155,0.5433095097541809,0.6563987135887146,0.2920576333999634,0.25306224822998047,0.357962042093277,0.4015059769153595,0.5303787589073181,0.5006252527236938,,,0.5771322846412659,0.6386035680770874,0.3879650831222534,0.2947056293487549,0.48325037956237793,0.9731980562210083,0.7557404637336731,0.7066693902015686,,,,,,,,,,,,
P5232,0.47365033626556396,0.5710371136665344,0.3908669948577881,0.3088335692882538,0.8622016906738281,0.7905957698822021,0.3858361542224884,0.3065292239189148,,,0.39639222621917725,0.5839864611625671,,,,,,,0.7927032709121704,0.23580043017864227,,,0.5751758217811584,0.6282920241355896,,,,,0.6149117946624756,0.6310620307922363,0.6115751266479492,0.7128438353538513,,,,,,,,,,,0.5185545682907104,0.40513545274734497,0.4741230905056,0.876171350479126,0.3685539662837982,0.7935402393341064,0.509698212146759,0.7324365973472595,0.4317988455295563,0.6342098712921143,,,0.6868426203727722,0.7299763560295105,0.3736708164215088,0.448346883058548,0.7747636437416077,0.6329261064529419,0.9999997019767761,,0.3563076853752136,,,0.9998210668563843,0.5690310597419739,0.3745439648628235,,,0.8687006235122681,0.7619565725326538,,,,,,,,,0.7893230319023132,0.8596625924110413,0.9934407472610474,,0.27463123202323914,0.5274754762649536,,,,0.999680757522583,,,,,,,,0.6157699823379517,,,,,,,,,,,,,,,,,,
P5235,0.208673894405365,0.2325800210237503,0.18544548749923706,0.1584380567073822,0.4157107472419739,0.286342978477478,0.21714231371879578,0.21958425641059875,0.5394229888916016,0.4028794467449188,0.5173162221908569,0.7465874552726746,0.2793084979057312,0.6638497114181519,0.39889711141586304,0.4378090798854828,0.4456620216369629,0.40013954043388367,0.3901982307434082,0.28475233912467957,,,0.31037041544914246,0.3158235251903534,0.5412769317626953,0.5335204601287842,0.633938193321228,0.5207231044769287,0.23697330057621002,0.27287420630455017,0.33778876066207886,0.3454322814941406,0.29926934838294983,0.3163023293018341,,,0.569744884967804,0.5534992814064026,0.3894404470920563,0.3401521146297455,,,0.31601089239120483,0.28115615248680115,0.3111251890659332,0.3267936408519745,0.23834054172039032,0.2131756842136383,0.3750379979610443,0.43602126836776733,0.29170575737953186,0.24205374717712402,0.38396716117858887,0.6734998822212219,0.2599026560783386,0.242618128657341,0.22283223271369934,0.32499274611473083,0.25517234206199646,0.27212512493133545,0.24130308628082275,0.4757472276687622,0.3496917188167572,0.6495118141174316,0.6491280198097229,0.39794987440109253,0.25196895003318787,0.2898227572441101,0.6206902861595154,,0.36159613728523254,0.4072636365890503,0.4626239538192749,0.6710079908370972,,,,,0.8986740708351135,,0.24224098026752472,0.2107488363981247,0.6944087147712708,0.5485351085662842,0.2140844762325287,0.28795164823532104,0.6344900131225586,0.596026599407196,0.38766443729400635,0.22708342969417572,0.3127896785736084,0.3501092195510864,0.4735948443412781,0.4320582449436188,,,0.46805083751678467,0.4580075740814209,0.3863908052444458,0.39138057827949524,0.29228514432907104,0.948923647403717,0.41394248604774475,0.5689681172370911,,,,,,,,,,,,
P5258,0.232492133975029,0.20965120196342468,0.1873200684785843,0.18514208495616913,0.3004293143749237,0.2695091664791107,0.21503563225269318,0.22274532914161682,0.45589953660964966,0.5794144868850708,0.4869207441806793,0.7029696106910706,0.38498204946517944,0.5350837111473083,0.3589526116847992,0.407148152589798,0.39812755584716797,0.39121320843696594,0.47453543543815613,0.328539103269577,,,0.23731717467308044,0.29202279448509216,0.5398761630058289,0.5839648842811584,0.4666176438331604,0.3766392171382904,0.20334181189537048,0.28341740369796753,0.25878849625587463,0.31482750177383423,0.34868234395980835,0.27062278985977173,,,0.7289835214614868,0.5338294506072998,0.46716806292533875,0.35512685775756836,,,0.2874896228313446,0.3070530295372009,0.3008159101009369,0.49796420335769653,0.1929389089345932,0.23104390501976013,0.36224624514579773,0.3253602087497711,0.27886879444122314,0.28417444229125977,0.3202782869338989,0.5871111750602722,0.2378719449043274,0.2504618465900421,0.24374030530452728,0.22222426533699036,0.2932218909263611,0.2976836562156677,0.3321104645729065,0.4559108018875122,0.49680742621421814,0.5504967570304871,0.6594347953796387,0.45402440428733826,0.33030012249946594,0.26347944140434265,0.6146174073219299,,0.40023383498191833,0.44611385464668274,0.5491610765457153,0.6109870076179504,,,,0.9999995827674866,0.7246337532997131,,0.29037684202194214,0.2693333327770233,0.44804659485816956,0.6977210640907288,0.19279426336288452,0.23569272458553314,0.639816164970398,0.4308862090110779,0.29508522152900696,0.2285849153995514,0.3541482090950012,0.3423854410648346,0.5235859155654907,0.6059914827346802,,,0.5752178430557251,0.4026937186717987,0.37640222907066345,0.38170596957206726,0.5708760023117065,,0.7239905595779419,0.8751645684242249,,,,,,,,,,,,
P52125,0.40223228931427,0.2599470019340515,0.20905731618404388,0.2174788862466812,0.5781933069229126,0.4648311734199524,0.2654513418674469,0.2763245701789856,0.6173897981643677,0.60137939453125,0.5290563702583313,0.630275547504425,0.6564092040061951,0.7676092386245728,0.5203777551651001,0.6105892658233643,0.54653000831604,0.6140080094337463,0.611900806427002,0.46579310297966003,,,0.33836233615875244,0.38700953125953674,0.7290710806846619,0.7572238445281982,0.744772732257843,0.6738263368606567,0.36361628770828247,0.3703489303588867,0.3987882435321808,0.39870911836624146,0.5504461526870728,0.5101984143257141,,,0.7538062334060669,0.6577332615852356,0.4919840097427368,0.4250878691673279,,,0.5007971525192261,0.45225557684898376,0.5478499531745911,0.6413066983222961,0.3567342758178711,0.3110542595386505,0.4680995047092438,0.5662792921066284,0.3527219891548157,0.4126395881175995,0.6301351189613342,0.8279722929000854,0.39220130443573,0.3967032730579376,0.43198928236961365,0.26405519247055054,0.42294707894325256,0.4665623903274536,0.3368781507015228,0.6692153215408325,0.4733341634273529,0.7794654369354248,0.8114182353019714,0.6857755184173584,0.4123736023902893,0.3800642788410187,0.5919908285140991,,0.48053544759750366,0.5712116956710815,0.6137418150901794,0.8208300471305847,,,,,0.9437060356140137,,0.44005104899406433,0.427165150642395,0.6543686389923096,0.7824057340621948,0.3468533456325531,0.38332822918891907,0.7837456464767456,0.7750334739685059,0.45021745562553406,0.43630677461624146,0.47674816846847534,0.5215509533882141,0.6786406636238098,0.5478395223617554,,,0.7519062161445618,0.8301315307617188,0.4722513258457184,0.6388639211654663,0.5261399745941162,0.9476609230041504,0.6287598013877869,0.8123831748962402,,,,,,,,,,,,
P5260,0.4564477801322937,0.3640792667865753,0.19599317014217377,0.16305498778820038,0.48145997524261475,0.3982228934764862,0.21774017810821533,0.25474703311920166,0.532025933265686,0.4001101851463318,0.7813220620155334,0.7165531516075134,0.5488442182540894,0.7749565839767456,0.5229954719543457,0.39907193183898926,0.3074623942375183,0.6028621792793274,0.509687602519989,0.3783089518547058,,,0.28356999158859253,0.29004380106925964,0.6371135711669922,0.47295746207237244,0.4684586226940155,0.4387757182121277,0.27715736627578735,0.3175765573978424,0.3690071403980255,0.3366238474845886,0.5016574263572693,0.3943851888179779,,,0.6061623692512512,0.518835723400116,0.4948830306529999,0.38402101397514343,,,0.4991164207458496,0.40425804257392883,0.48879584670066833,0.5817521214485168,0.30959683656692505,0.3968938887119293,0.5870887637138367,0.530561625957489,0.5087408423423767,0.5025500655174255,0.45329365134239197,0.7030266523361206,0.4720763564109802,0.42241737246513367,0.43041911721229553,0.3697979152202606,0.45098868012428284,0.5216929316520691,0.3033379018306732,0.517854630947113,0.43468397855758667,0.7536930441856384,0.6803988814353943,0.6949829459190369,0.32299473881721497,0.3421562612056732,0.6823301315307617,,0.3230724632740021,0.37349775433540344,0.4432727098464966,0.5455271601676941,,,,,0.937873363494873,,0.4785088002681732,0.4198232591152191,0.6996915936470032,0.6697657108306885,0.413055419921875,0.294983446598053,0.6048358678817749,0.696496844291687,0.5653019547462463,0.44224169850349426,0.37018412351608276,0.34076401591300964,0.6254884004592896,0.3978941738605499,,,0.5980626940727234,0.7032526731491089,0.40422096848487854,0.6574063897132874,0.45115652680397034,0.9490600824356079,0.4896164834499359,0.6595944166183472,,,,,,,,,,,,
P5234,0.33606281876564026,0.3422480523586273,0.24876469373703003,0.2633190155029297,0.5926893949508667,0.5760186910629272,0.21234187483787537,0.2699616849422455,1.0,0.9990091323852539,0.6083293557167053,0.6196737885475159,0.7279871702194214,0.5979819893836975,0.30083149671554565,0.8077638149261475,,0.32267633080482483,0.7160985469818115,0.7706354260444641,,,0.5943418741226196,0.4818560779094696,,,,,0.510010302066803,0.5518023371696472,0.6722628474235535,0.7001063227653503,0.4910274147987366,0.2093733251094818,,,,,0.9963820576667786,0.9999997615814209,,,0.6511891484260559,0.6036267876625061,0.7949159145355225,0.5986201167106628,0.6459023356437683,0.4503570795059204,0.5369086265563965,0.4606277346611023,0.36183875799179077,0.4395217001438141,,,0.6179845333099365,0.6612597703933716,0.3466893434524536,0.3021746873855591,0.5885459780693054,0.7127307057380676,0.7444598078727722,,0.7806044220924377,0.7506586313247681,0.9999999403953552,0.3899124562740326,0.48571717739105225,0.25664740800857544,0.926173746585846,,0.6724929809570312,0.8229561448097229,0.5948635339736938,,,,,,,,0.44090795516967773,0.516976535320282,0.6050836443901062,,0.31729358434677124,0.35996490716934204,,,0.7018226385116577,0.6853379607200623,,,,,,,,0.8108502626419067,0.9815872311592102,0.39050865173339844,,,,,,,,,,,,,,,,
P5233,0.32022178173065186,0.3353036642074585,0.16320905089378357,0.17804358899593353,0.3084371089935303,0.30789610743522644,0.20066145062446594,0.22542591392993927,0.5251902937889099,0.4565948247909546,0.47829633951187134,0.642342209815979,0.44959911704063416,0.4198850691318512,0.40141165256500244,0.4445291757583618,0.5752314925193787,0.4466562569141388,0.4261491596698761,0.2894732356071472,,,0.23130621016025543,0.2198299765586853,0.5736817121505737,0.5612320303916931,0.5435304045677185,0.6513547301292419,0.19974775612354279,0.22102342545986176,0.328075110912323,0.27113866806030273,0.32989415526390076,0.24322311580181122,,,0.6501520872116089,0.693936288356781,0.43076789379119873,0.33950075507164,,,0.2760252356529236,0.30066806077957153,0.2856961488723755,0.4009893834590912,0.24759095907211304,0.2793164551258087,0.46640753746032715,0.42312073707580566,0.3355613350868225,0.3681846559047699,0.46061667799949646,0.8564361929893494,0.24185235798358917,0.2340167611837387,0.32824549078941345,0.30084359645843506,0.31408438086509705,0.33116716146469116,0.2982034683227539,0.482158362865448,0.4010845124721527,0.6564461588859558,0.7214022874832153,0.4549179971218109,0.23931792378425598,0.2890566885471344,0.6167623400688171,,0.2903081774711609,0.4108429551124573,0.5263475179672241,0.7393506765365601,,,,,0.9479886889457703,,0.28010109066963196,0.23906247317790985,0.5995094776153564,0.7652892470359802,0.25405704975128174,0.233479842543602,0.6167981028556824,0.8028849959373474,0.3150687515735626,0.20722898840904236,0.38113024830818176,0.4143589437007904,0.5607810020446777,0.5089343786239624,,,0.6884058713912964,0.4233287572860718,0.40677765011787415,0.4502604901790619,0.3534744083881378,0.9728788733482361,0.380484014749527,0.49867862462997437,,,,,,,,,,,,
P5245,0.2331327199935913,0.2170143872499466,0.25460028648376465,0.22978901863098145,0.6066315770149231,0.6257967352867126,0.1535571813583374,0.1590213030576706,0.44959715008735657,0.7809304594993591,0.602604866027832,0.5934179425239563,0.42808428406715393,0.32355114817619324,0.4446389973163605,0.5108036994934082,0.8223146200180054,0.5395759344100952,0.6102069020271301,0.5626310110092163,,0.8938403129577637,0.3266439735889435,0.42658478021621704,0.7332233786582947,0.6673746109008789,0.7773441672325134,0.6506406664848328,0.4289880096912384,0.33318614959716797,0.3800077438354492,0.4089030921459198,0.7640736103057861,0.7320215106010437,,,0.877375066280365,0.7665694355964661,0.6857987642288208,0.6887475252151489,,,0.3561091423034668,0.4591943323612213,0.6674065589904785,0.4203203022480011,0.583400547504425,0.3168651759624481,0.42474642395973206,0.4607282280921936,0.29899558424949646,0.3780408501625061,0.5846590995788574,0.5315757989883423,0.23013916611671448,0.28004416823387146,0.25867193937301636,0.20225931704044342,0.31812044978141785,0.3776453137397766,0.43640246987342834,0.8302401900291443,0.5296878814697266,0.4826970100402832,0.8353838920593262,0.6072251200675964,0.472109317779541,0.186322882771492,0.7727189064025879,,0.46247005462646484,0.6247049570083618,0.7562811374664307,0.8624593019485474,,,,1.0000004768371582,,,0.3333403170108795,0.34673216938972473,0.5070600509643555,0.8216187953948975,0.1905929148197174,0.23842458426952362,0.9089483022689819,,0.33724331855773926,0.41518697142601013,0.881033718585968,0.7356890439987183,,0.854318380355835,,,0.9703802466392517,0.43498748540878296,0.4171452522277832,0.5622257590293884,,,,1.0000001192092896,,,,,,,,,,,,
P5244,0.2756964862346649,0.2907676696777344,0.2896585166454315,0.23233747482299805,0.23700062930583954,0.306182324886322,0.25940990447998047,0.254626989364624,0.4705437123775482,0.5738212466239929,0.4235634505748749,0.5031589865684509,0.29955315589904785,0.4247278869152069,0.3420133590698242,0.39509516954421997,0.4917272627353668,0.33831390738487244,0.38655534386634827,0.2778680622577667,,0.6786600947380066,0.25072619318962097,0.2213793694972992,0.47049757838249207,0.5418914556503296,0.7730950713157654,0.4116826355457306,0.20349183678627014,0.1840377151966095,0.29142504930496216,0.2501402497291565,0.4085981845855713,0.2929324805736542,,,0.5923152565956116,0.5300825238227844,0.6394141912460327,0.4457129240036011,,,0.24934661388397217,0.2995772361755371,0.3788895905017853,0.3383411467075348,0.2282819300889969,0.33112576603889465,0.322213351726532,0.32039546966552734,0.235719695687294,0.29324549436569214,0.40668970346450806,0.6427668929100037,0.23642447590827942,0.27558213472366333,0.2822897136211395,0.3353159427642822,0.28003737330436707,0.2809029817581177,0.3285180330276489,0.44134771823883057,0.432265043258667,0.5463694334030151,0.55770343542099,0.328469842672348,0.5093339085578918,0.31264710426330566,0.46702829003334045,,0.2570052146911621,0.371078759431839,0.5582709908485413,0.7261009216308594,,,,0.7377286553382874,0.8839713335037231,,0.270833820104599,0.20727720856666565,0.669119119644165,0.8150049448013306,0.2632107436656952,0.24538107216358185,1.0000004768371582,,0.5200607180595398,0.3459736704826355,0.5992221832275391,0.8983796834945679,,,,,0.8040375113487244,0.4054449200630188,0.6514357328414917,0.5578655004501343,,0.0,,,,,0.0,0.0,,,,,,,,
