,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R,Cerebelum_Crus1_L,Cerebelum_Crus1_R,Cerebelum_Crus2_L,Cerebelum_Crus2_R,Cerebelum_3_L,Cerebelum_3_R,Cerebelum_4_5_L,Cerebelum_4_5_R,Cerebelum_6_L,Cerebelum_6_R,Cerebelum_7b_L,Cerebelum_7b_R,Cerebelum_8_L,Cerebelum_8_R,Cerebelum_9_L,Cerebelum_9_R,Cerebelum_10_L,Cerebelum_10_R,Vermis_1_2,Vermis_3,Vermis_4_5,Vermis_6,Vermis_7,Vermis_8,Vermis_9,Vermis_10
P5203,0.2910720407962799,0.2592766284942627,0.23413725197315216,0.19241707026958466,0.43486687541007996,0.41389966011047363,0.1898261457681656,0.21073974668979645,0.5490913987159729,0.6311590671539307,0.5681012272834778,0.5656374096870422,0.32238227128982544,0.43447601795196533,0.5127111673355103,0.5397409200668335,0.6225324869155884,0.5951329469680786,0.4422457814216614,0.39424267411231995,,0.7817749381065369,0.3158446252346039,0.3306310772895813,0.7773150205612183,0.9000718593597412,0.8887643814086914,0.4980078339576721,0.3574041724205017,0.3286057412624359,0.3534379303455353,0.29144740104675293,0.7011138796806335,0.46543753147125244,,,0.7410129308700562,0.7602820992469788,0.7713049650192261,0.6945703625679016,,,0.3075661361217499,0.4789278507232666,0.6248833537101746,0.36142048239707947,0.47138887643814087,0.36334383487701416,0.4189070761203766,0.4369266629219055,0.2937586009502411,0.3217894434928894,0.5283010601997375,0.7627774477005005,0.2249351292848587,0.22614417970180511,0.2756747007369995,0.2200869917869568,0.34482645988464355,0.4717685580253601,0.47598105669021606,0.623866081237793,0.485243022441864,0.5242065787315369,0.6435089111328125,0.28171300888061523,0.3696058988571167,0.2828613221645355,0.8134768605232239,,0.3704325556755066,0.530116617679596,0.591985285282135,0.6648173332214355,,,,0.9927746653556824,0.9999599456787109,,0.34510454535484314,0.40374013781547546,0.3505108058452606,0.6808099746704102,0.19149574637413025,0.24313274025917053,0.8346000909805298,0.9999998807907104,0.345773309469223,0.3974877595901489,0.6237051486968994,0.4888177216053009,,0.2467227429151535,,,0.8835704326629639,0.33658403158187866,0.43971124291419983,0.4485430419445038,0.4804205596446991,,,,,,,,,,,,,,,
P5205,0.44997429847717285,0.384232759475708,0.19168075919151306,0.2137698084115982,0.39993852376937866,0.43608543276786804,0.18590065836906433,0.19879697263240814,0.5852137207984924,0.6292656064033508,0.7209272384643555,0.5905261635780334,0.6888512372970581,0.6013897061347961,0.5191411972045898,0.6123457551002502,0.5980228781700134,0.5973084568977356,0.5671922564506531,0.47907593846321106,,0.9638526439666748,0.4322873055934906,0.4438069462776184,0.6671729683876038,0.7300778031349182,0.7821716666221619,0.4657970070838928,0.4179948568344116,0.4053569734096527,0.463993102312088,0.4900626540184021,0.4868002235889435,0.4969160556793213,,,0.6014447212219238,0.6720927357673645,0.5002942085266113,0.5483846068382263,,,0.5086296200752258,0.49966102838516235,0.5713678598403931,0.690617561340332,0.43340474367141724,0.45313605666160583,0.664237916469574,0.5559750199317932,0.4891400635242462,0.5875753164291382,0.34417274594306946,0.6498284339904785,0.40624094009399414,0.38343545794487,0.402677983045578,0.2613871991634369,0.5439101457595825,0.4963708817958832,0.5102983713150024,0.5534253120422363,0.6350760459899902,0.6176357269287109,0.4974955916404724,0.5862147212028503,0.33026349544525146,0.49518898129463196,0.8596655130386353,,0.5000260472297668,0.5351442098617554,0.653635561466217,0.776800811290741,,,,0.9377580285072327,0.8141171932220459,,0.49579593539237976,0.5158070921897888,0.5667492151260376,0.5233465433120728,0.3232654333114624,0.325619637966156,0.5951724052429199,0.4629485011100769,0.4622598886489868,0.5110144019126892,0.6122995018959045,0.6051206588745117,0.4737897217273712,0.6219064593315125,,,0.4408498704433441,0.7427069544792175,0.5569711923599243,0.5412797331809998,0.3523067831993103,,0.35994160175323486,0.8501116633415222,,,,,,,,,,,,
P5211,0.34261515736579895,0.3770955502986908,0.2083648443222046,0.19764241576194763,0.3829282224178314,0.408423513174057,0.21321719884872437,0.24439963698387146,0.5618767738342285,0.5424055457115173,0.6475047469139099,0.6406314969062805,0.41093695163726807,0.6002399325370789,0.4450296461582184,0.3409486413002014,0.47351813316345215,0.4207529127597809,0.3546031415462494,0.30889442563056946,,,0.3158891201019287,0.3675493001937866,0.7948200106620789,0.8414682745933533,0.8687461018562317,0.599301278591156,0.3034875690937042,0.34668418765068054,0.3783569931983948,0.37815043330192566,0.6366145014762878,0.4437102675437927,,,0.7380570769309998,0.6918619275093079,0.8134384155273438,0.40027916431427,,,0.37939316034317017,0.2706941068172455,0.30611652135849,0.3261980712413788,0.22931067645549774,0.1919659823179245,0.3986629247665405,0.4822963774204254,0.31085366010665894,0.37070393562316895,0.4755813181400299,0.7626487612724304,0.32120877504348755,0.3011595904827118,0.4546087980270386,0.3710635006427765,0.37234172224998474,0.32760265469551086,0.23707635700702667,0.48062947392463684,0.41701996326446533,0.4782564342021942,0.7647470831871033,0.3515603840351105,0.3296447694301605,0.2937217354774475,0.6494259834289551,,0.44704341888427734,0.32794052362442017,0.46063706278800964,0.6756477952003479,,,,,0.7696811556816101,,0.310259610414505,0.29892754554748535,0.4108771085739136,0.8016133308410645,0.26328927278518677,0.3022516965866089,0.6807958483695984,0.6998454928398132,0.27421799302101135,0.2947201430797577,0.4128480851650238,0.4150474965572357,0.4626201391220093,0.5690478682518005,,,0.5714252591133118,0.4217636287212372,0.3677200973033905,0.4449543058872223,0.6238206624984741,0.9995391368865967,0.5141215920448303,0.8909527659416199,,,,,,,,,,,,
P5229,0.34014904499053955,0.2075832337141037,0.1721300482749939,0.18087640404701233,0.31290751695632935,0.3879469335079193,0.17580769956111908,0.1693865805864334,0.4798307716846466,0.5615690350532532,0.4223201870918274,0.5991291999816895,0.44297167658805847,0.44883787631988525,0.44589293003082275,0.3594086170196533,0.5080569386482239,0.4146521985530853,0.4790513813495636,0.34926915168762207,,0.8275771141052246,0.3301868140697479,0.39032673835754395,0.6073314547538757,0.6716258525848389,0.6673063635826111,0.6820815801620483,0.24339503049850464,0.31913062930107117,0.3979226052761078,0.40768343210220337,0.45783376693725586,0.3384898900985718,,,0.6212844252586365,0.6451505422592163,0.49078693985939026,0.5241003632545471,,,0.3202045261859894,0.3428369462490082,0.35494136810302734,0.40974193811416626,0.3544396758079529,0.37663358449935913,0.41572463512420654,0.49160104990005493,0.3921947181224823,0.27008333802223206,0.5737960934638977,0.6768512725830078,0.20246270298957825,0.21395619213581085,0.2717303931713104,0.17852739989757538,0.2897592782974243,0.40687307715415955,0.36402738094329834,0.4535543620586395,0.5098972916603088,0.31953445076942444,0.5379713773727417,0.3762637674808502,0.37425321340560913,0.23344352841377258,0.7655491232872009,,0.47265708446502686,0.4476407468318939,0.5677438974380493,0.7122504115104675,,,,0.9129118919372559,0.8174400329589844,,0.22887255251407623,0.25840282440185547,0.3357773721218109,0.47875216603279114,0.15983989834785461,0.23791202902793884,0.5957399010658264,0.20987868309020996,0.3611171841621399,0.3542821705341339,0.6010152101516724,0.4845502972602844,,0.8748311996459961,,,0.5959050059318542,0.35610702633857727,0.4845365583896637,0.39900946617126465,,,,0.9687889218330383,,,,,,,,,,,,
P5216,0.265095055103302,0.2651124894618988,0.2312989979982376,0.1848195344209671,0.2943893373012543,0.33519357442855835,0.20498298108577728,0.2155768722295761,0.5253000259399414,0.4122805595397949,0.48944392800331116,0.6480600237846375,0.3758765161037445,0.3310447335243225,0.5044345259666443,0.37576577067375183,0.4987786114215851,0.417739599943161,0.6035813093185425,0.434985488653183,,,0.3458481729030609,0.3979169726371765,0.785235583782196,0.8143854141235352,0.6894000172615051,0.6067865490913391,0.34070146083831787,0.33211204409599304,0.3626526892185211,0.4026663601398468,0.512911319732666,0.38921767473220825,,,0.6359972357749939,0.6152366399765015,0.5284484028816223,0.54718017578125,,,0.4170234501361847,0.3816043734550476,0.35997310280799866,0.521524965763092,0.2887977063655853,0.3344152271747589,0.48419004678726196,0.40412262082099915,0.343292236328125,0.32706838846206665,0.5732852816581726,0.6894309520721436,0.2863490879535675,0.23185883462429047,0.29648295044898987,0.22978876531124115,0.4012773633003235,0.4152182340621948,0.3764778971672058,0.5457134246826172,0.5213563442230225,0.6673470735549927,0.6375247836112976,0.5349251627922058,0.46885016560554504,0.20614942908287048,0.5620939135551453,,0.4604281783103943,0.4649229943752289,0.4589104652404785,0.5579686164855957,,,,,0.9096970558166504,,0.37512677907943726,0.3286667764186859,0.6052455306053162,0.6370373368263245,0.3054313361644745,0.2857193052768707,0.7798475027084351,0.7084645628929138,0.31694382429122925,0.33435681462287903,0.5292433500289917,0.5325998067855835,0.6465738415718079,0.5996948480606079,,,0.5923905372619629,0.4372400939464569,0.3927239775657654,0.48458656668663025,0.6268352270126343,0.9729096293449402,0.5608071684837341,0.7846391201019287,,,,,,,,,,,,
P5220,0.3813311457633972,0.2902831435203552,0.21097201108932495,0.27873948216438293,0.6022332906723022,0.644966185092926,0.1798461228609085,0.18545939028263092,0.5624878406524658,0.5459997057914734,0.6127983927726746,0.6714781522750854,0.46266958117485046,0.5440571308135986,0.4705788493156433,0.5396885275840759,0.6528320908546448,0.5097971558570862,0.6625758409500122,0.5770224928855896,,0.9216943383216858,0.4338553845882416,0.4327584207057953,0.768303632736206,0.7840112447738647,0.7614837884902954,0.7325962781906128,0.40418776869773865,0.45820215344429016,0.44575878977775574,0.4577016532421112,0.574775755405426,0.4757743775844574,,,0.6420907378196716,0.6141042709350586,0.5242222547531128,0.6078140735626221,,,0.49075594544410706,0.5647096633911133,0.6631061434745789,0.4764077365398407,0.5022462606430054,0.45249107480049133,0.44615790247917175,0.42925503849983215,0.34908604621887207,0.36306482553482056,0.5679909586906433,0.7737054228782654,0.4068800210952759,0.4435440003871918,0.46390658617019653,0.23231640458106995,0.4449613392353058,0.4412190318107605,0.5181146860122681,0.5084714293479919,0.5616880655288696,0.6823071837425232,0.6285573244094849,0.5109375715255737,0.5086027383804321,0.2694748640060425,0.5847682356834412,,0.5178454518318176,0.7134038805961609,0.6054145693778992,0.6875665783882141,,,,0.9392998814582825,0.9104996919631958,,0.4635118544101715,0.43207046389579773,0.5504010915756226,0.6552441120147705,0.23049287497997284,0.27024489641189575,0.8024147748947144,,0.42178305983543396,0.49674561619758606,0.6986069083213806,0.6303192973136902,,0.826936662197113,,,0.4793049097061157,0.5133164525032043,0.5808767080307007,0.46060365438461304,,,,0.9992793202400208,,,,,,,,,,,,
P5218,0.48465704917907715,0.4208444356918335,0.38509857654571533,0.24119128286838531,,,0.3818161189556122,0.40562018752098083,,,,,,,,,,,,,,,0.9702895283699036,,,,,,,0.8828943371772766,,,,,,,,,,,,,0.7652693390846252,,,,,0.23041582107543945,,1.0,0.4227512776851654,0.7626602053642273,,,0.560023844242096,0.6398574113845825,0.486964613199234,0.37460047006607056,0.8917202949523926,0.5917769074440002,,,,,,0.9797127842903137,0.8187846541404724,0.4775349795818329,,,,,,,,,,,,,0.961447536945343,0.9264428615570068,,,0.5352858304977417,0.53642338514328,,,0.8641505241394043,0.8559282422065735,,,,,,,,,,0.8635120987892151,,,,,,,,,,,,,,,,
P5227,0.46263694763183594,0.37320470809936523,0.3256121575832367,0.2430107593536377,0.38868069648742676,0.4508228003978729,0.3188505172729492,0.31963562965393066,0.6292077898979187,0.5789144039154053,0.6724184155464172,0.7917575240135193,0.4973119795322418,0.6056684851646423,0.5815898180007935,0.5519391894340515,0.51485276222229,0.5186900496482849,0.4876407980918884,0.3589257299900055,,0.7589841485023499,0.414566308259964,0.4280763268470764,0.5296750068664551,0.5871187448501587,0.6291546821594238,0.5211918950080872,0.39998555183410645,0.38480374217033386,0.45332780480384827,0.5018931031227112,0.43522173166275024,0.44297900795936584,,,0.7145545482635498,0.6963573694229126,0.774787425994873,0.5662459135055542,,,0.5295034646987915,0.4494411051273346,0.600854754447937,0.47151604294776917,0.39974331855773926,0.4807434380054474,0.625691294670105,0.6144038438796997,0.5253515839576721,0.5535542368888855,0.6680719256401062,0.7618411183357239,0.39780664443969727,0.45573630928993225,0.4771525263786316,0.35570886731147766,0.520517110824585,0.5500190258026123,0.48812633752822876,0.601024329662323,0.5587834119796753,0.5880443453788757,0.42857566475868225,0.5789588093757629,0.32247495651245117,0.3463384211063385,0.7265254855155945,,0.4420132339000702,0.35900911688804626,0.5589540004730225,0.6601684093475342,,,,0.6460189819335938,0.6427753567695618,,0.5370872616767883,0.3986707031726837,0.5091660618782043,0.5472025871276855,0.4102521538734436,0.3885330557823181,0.42257288098335266,,0.45719265937805176,0.3754503130912781,0.6797720789909363,0.5306366682052612,,,,,0.781124472618103,0.5726603269577026,0.7337585091590881,0.613368570804596,,0.0,,,,,0.0,,,,,,,,,
P5228,0.34281250834465027,0.2231753170490265,0.2160056084394455,0.17067432403564453,0.22669486701488495,0.25205177068710327,0.2200513333082199,0.21331378817558289,0.4940279424190521,0.6985081434249878,0.6880823969841003,0.7542527318000793,0.6101967692375183,0.49736738204956055,0.3271971642971039,0.4725756049156189,0.4962513744831085,0.427267849445343,0.31170621514320374,0.26138514280319214,,0.9095593690872192,0.24989259243011475,0.30948302149772644,0.5084875822067261,0.6657962203025818,0.6240676641464233,0.7300434112548828,0.21143308281898499,0.28149327635765076,0.3126613199710846,0.3427657186985016,0.40921902656555176,0.3023776113986969,,,0.853300154209137,0.7630924582481384,0.5933839678764343,0.5445645451545715,,,0.4219120144844055,0.37674081325531006,0.33231639862060547,0.5281292796134949,0.358079731464386,0.2713446021080017,0.5211886763572693,0.5402288436889648,0.266770601272583,0.29271790385246277,0.513787567615509,0.8962810039520264,0.30236902832984924,0.28233930468559265,0.30723196268081665,0.22689054906368256,0.3670467436313629,0.29853853583335876,0.3588027060031891,0.6095997095108032,0.6010295152664185,0.5118197202682495,0.8325316905975342,0.37144193053245544,0.31940406560897827,0.24269381165504456,0.8972184062004089,,0.3805539011955261,0.34831780195236206,0.6805307269096375,0.7099022269248962,,,,0.9923974275588989,0.895541250705719,,0.22724734246730804,0.2326928675174713,0.4609442353248596,0.8060989379882812,0.25077512860298157,0.29377853870391846,0.6420291662216187,0.7010211944580078,0.2310100793838501,0.18117496371269226,0.31833162903785706,0.3980996012687683,0.5602960586547852,0.6637591123580933,,,0.8640807271003723,0.44409286975860596,0.4046451151371002,0.3269020915031433,0.7191371321678162,,0.23265935480594635,0.9290100336074829,,,,,,,,,,,,
P5210,0.3312794864177704,0.23361928761005402,0.2578478455543518,0.2584308683872223,0.26301735639572144,0.3974951207637787,0.17026466131210327,0.1758354753255844,0.5715189576148987,0.5664736032485962,0.4679722487926483,0.6749706864356995,0.5533729195594788,0.5352128148078918,0.5228737592697144,0.5222916007041931,0.42680782079696655,0.3407549560070038,0.4325074851512909,0.4028586745262146,,,0.3110678195953369,0.31847378611564636,0.5930353403091431,0.6814866065979004,0.8816241025924683,0.8328238725662231,0.21152862906455994,0.3342137932777405,0.47208061814308167,0.3392004370689392,0.5842596888542175,0.36887338757514954,,,0.819272518157959,0.6487482786178589,0.7494975924491882,0.5075162649154663,,,0.2721582055091858,0.26811522245407104,0.3430470824241638,0.39430108666419983,0.2522162199020386,0.3897538483142853,0.237423375248909,0.388804167509079,0.41802215576171875,0.33310630917549133,0.5131526589393616,0.9143246412277222,0.17651458084583282,0.19023485481739044,0.2434977889060974,0.19617265462875366,0.3119942843914032,0.505073606967926,0.3160095512866974,0.5737417340278625,0.32889324426651,0.522408127784729,0.7410523891448975,0.5550696849822998,0.440279096364975,0.16901850700378418,0.5995557308197021,,0.40242844820022583,0.40543699264526367,0.49911776185035706,0.7945063710212708,,,,1.0,0.9159254431724548,,0.2562636435031891,0.19677412509918213,0.5614079236984253,0.7655601501464844,0.1515265256166458,0.21279074251651764,0.6777010560035706,0.8563266396522522,0.30158427357673645,0.19125208258628845,0.6075361967086792,0.59427809715271,0.9048899412155151,0.6825042366981506,,,0.8560709953308105,0.4680802822113037,0.4323860704898834,0.4870496988296509,0.22318871319293976,,0.46800145506858826,0.8989132046699524,,,,,,,,,,,,
