,Primary_visual_cortex,Medial_superior_temporal_area,Sixth_Visual_Area,Second_Visual_Area,Third_Visual_Area,Forth_Visual_Area,Eighth_Visual_Area,Primary_Motor_Cortex,Primary_Sensory_Cortex,Frontal_Eye_Field,Premotor_Eye_Field,Area_55b,Area_V3A,RetroSplenial_Complex,Parieto-Occipital_Sulcus_Area_2,Seventh_Visual_Area,IntraParietal_Sulcus_Area_1,Fusiform_Face_Complex,Area_V3B,Lateral_Occipital_Area_1,Lateral_Occipital_Area_2,Posterior_InferoTemporal_Complex,Middle_Temporal_Area,Primary_Auditory_Cortex,PeriSylvian_Language_Area,Superior_Frontal_Language_Area,PreCuneus_Visual_Area,Superior_Temporal_Visual_Area,Medial_Area_7P,Area_7m,Parieto-Occipital_Sulcus_Area_1,Area_23d,Area_Ventral_23_a+b,Area_Dorsal_23_a+b,Area_31p_Ventral,Area_5m,Area_5m_ventral,Area_23c,Area_5L,Dorsal_Area_24d,Lateral_Area_7A,Supplementary_and_Cingulate_Eye_Field,Area_6m_Anterior,Medial_6m_anterior,Medial_Area_7A,Lateral_Area_7P,Area_7PC,Area_Lateral_IntraParietal_ventral,Ventral_IntraParietal_Complex,Medial_IntraParietal_Area,Area_1,Area_2,Area_3a,Dorsal_area_6,Area_6mp,Ventral_Area_6,Area_Posterior_24,Area_33_prime,Anterior_24_prime,Area_p32_prime,Area_a24,Area_dorsal_32,Area_8BM,Area_p32,Area_10r,Area_47m,Area_8Av,Area_8Ad,Area_9_Middle,Area_8B_Lateral,Area_9_Posterior,Area_10d,Area_8C,Area_44,Area_45,Area_47L,Area_anterior_47R,Rostral_Area_6,Area_IFJa,Area_IFJp,Area_IFSp,Area_IFSa,Area_posterior_9-46v,Area_46,Area_anterior_9-46v,Area_9-46d,Area_9_anterior,Area_10v,Area_anterior_10p,Polar_10p,Area_11,Area_13,Orbital_Frontal_Complex,Area_47s,Area_Lateral_IntraParietal_dorsal,Area_6_anterior,Inferior_6-8_Transitional_Area,Superior_6-8_Transitional_Area,Area_43,Area_OP4/PV,Area_OP1/SII,Area_OP2-3/VS,Area_52,RetroInsular_Cortex,Area_PFcm,Posterior_Insular_Area_2,Area_TA2,Frontal_OPercular_Area_4,Middle_Insular_Area,Pirform_Cortex,Anterior_Ventral_Insular_Area,Anterior_Agranular_Insula_Complex,Frontal_OPercular_Area_1,Frontal_OPercular_Area_3,Frontal_OPercular_Area_2,Area_PFt,Anterior_IntraParietal_Area,Entorhinal_Cortex,PreSubiculum,Hippocampus,ProStraite_Area,Perirhinal_Ectorhinal_Cortex,Area_STGa,ParaBelt_Complex,Auditory_5_Complex,ParaHippocampal_Area_1,ParaHippocampal_Area_3,Area_STSd_Anterior,Area_STSd_Posterior,Area_STSv_Posterior,Area_TG_Dorsal,Area_TE1_Anterior,Area_TE1_Posterior,Area_TE2_Anterior,Area_TF,Area_TE2_Posterior,Area_PHT,Area_PH,Area_TemporoParietoOccipital_Junction_1,Area_TemporoParietoOccipital_Junction_2,Area_TemporoParietoOccipital_Junction_3,Dorsal_Transitional_Visual_Area,Area_PGp,Area_IntraParietal_2,Area_IntraParietal_1,Area_IntraParietal_0,Area_PF_Opercular,Area_PF_Complex,Area_PFm_Complex,Area_PGi,Area_PGs,Area_V6A,VentroMedial_Visual_Area_1,VentroMedial_Visual_Area_3,ParaHippocampal_Area_2,Area_V4t,Area_FST,Area_V3CD,Area_Lateral_Occipital_3,VentroMedial_Visual_Area_2,Area_31pd,Area_31a,Ventral_Visual_Complex,Area_25,Area_s32,Posterior_OFC_Complex,Area_Posterior_Insular_1,Insular_Granular_Complex,Area_Frontal_Opercular_5,Area_Posterior_10p,Area_Posterior_47r,Area_TG_ventral,Medial_Belt_Complex,Lateral_Belt_Complex,Auditory_4_Complex,Area_STSv_Anterior,Area_TE1_Middle,Para-Insular_Area,Area_Anterior_32_Prime,Area_Posterior_24
P5259,0.2645007073879242,,,0.29223114252090454,0.21797053515911102,0.4462977647781372,,0.3284914791584015,0.3037060797214508,1.0,,,0.9943611025810242,0.6256518363952637,1.0,1.0,1.0,0.725146472454071,,,,,,,,0.5768263936042786,,,,,,,,,,,1.0,0.7258268594741821,0.864107608795166,1.0,,0.8263491988182068,,0.5062705874443054,,,0.6467843055725098,,0.842449963092804,,0.2914712429046631,0.4706677496433258,0.433661550283432,0.9531999230384827,0.7932179570198059,,,,,,,,,,,,0.6717963218688965,0.47739529609680176,,0.48066386580467224,0.683319628238678,,0.7256105542182922,,,,0.6056854724884033,,,,,,0.684449315071106,0.6701650619506836,0.8321744799613953,0.6323917508125305,0.6212404370307922,0.42477068305015564,,0.5744243264198303,0.5103797912597656,0.5685804486274719,0.7009966373443604,1.0,,0.7722046375274658,0.7858696579933167,0.9933849573135376,,,,,,,,0.6573907136917114,0.6647816896438599,0.7984364628791809,0.8360291719436646,,,0.9125342965126038,,,,,1.0,0.6731840968132019,0.7222016453742981,0.729580819606781,0.8026211261749268,0.3605985939502716,,,,0.7944537997245789,0.6670399308204651,,,,0.47488415241241455,,,0.7079718708992004,0.6733536720275879,0.9995030164718628,,0.9612259864807129,,,,0.48403021693229675,,1.0,0.9790809750556946,0.7987078428268433,,,0.5830503106117249,0.9138781428337097,0.498160719871521,,1.0,0.9682344198226929,,,,,,,,,0.5364508032798767,,,1.0,0.7618606686592102,0.7799010872840881,0.9272496104240417,0.660539984703064,,0.7839888334274292,1.0,,,,,0.905322253704071,,0.17952494323253632
P5232,0.7714053392410278,,,0.523712694644928,0.6416400671005249,0.908464252948761,,0.7284207344055176,0.4585689604282379,,,,,0.951347827911377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49096521735191345,0.972627580165863,0.6260946989059448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.5552747249603271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.9275732636451721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1545598953962326
P5235,0.3394120931625366,,,0.39452728629112244,0.2573506236076355,0.3736048936843872,,0.4186091423034668,0.3089698255062103,1.0,,1.0,0.7526656985282898,0.4540843367576599,1.0,1.0,1.0,0.582204282283783,,,,,,,,0.5149867534637451,,,,,,,,,,,1.0,0.47314175963401794,0.907252848148346,1.0,,0.6891442537307739,,0.5556269884109497,,,0.5586342811584473,,0.7762194275856018,,0.45631393790245056,0.6120643615722656,0.3855542838573456,0.7270213961601257,0.8173804879188538,,,,,,,,,,,,0.4669347405433655,0.5016449093818665,,0.6379894018173218,0.6575037837028503,,0.6223542094230652,,,,0.5356786251068115,,,,,,0.5397583842277527,0.4423666000366211,0.6974324584007263,0.42338111996650696,0.5707380175590515,0.3955892324447632,,0.6041074991226196,0.5051482915878296,0.5748831033706665,0.531714677810669,1.0,,0.5406380891799927,0.692918062210083,0.9066444039344788,,,,,,,,0.5553960800170898,0.8670462369918823,0.7339075207710266,0.6040405035018921,,,0.8725987076759338,,,,,0.9053351879119873,0.6510143280029297,0.6297602653503418,0.6355202198028564,0.8513503074645996,0.37774455547332764,,,,0.6895406246185303,0.6367387771606445,,,,0.4096469283103943,,,0.4773758053779602,0.5664469003677368,0.7133564352989197,,0.7362823486328125,,,,0.6059077382087708,,1.0,0.7583429217338562,0.8545130491256714,,,0.7240914702415466,0.8462561368942261,0.6322497725486755,,1.0,0.8684211373329163,,,,,,,,,0.49267780780792236,,,1.0,0.9193073511123657,0.7174346446990967,0.6879430413246155,0.6383219361305237,,0.7909605503082275,1.0,,,,,0.798132598400116,,0.15115445852279663
P5258,0.3357029855251312,,,0.20055930316448212,0.24703532457351685,0.2176852971315384,,0.3462623953819275,0.31408804655075073,1.0,,0.9977097511291504,0.9997491240501404,0.5716431736946106,0.998253345489502,1.0,1.0,0.4862171411514282,,,,,,,,0.7270199060440063,,,,,1.0,,,,,,1.0,0.9288175106048584,0.7671908736228943,0.8533174395561218,,0.7822442054748535,,0.48086053133010864,,,0.4740432798862457,,0.6787087321281433,,0.4922085404396057,0.395763099193573,0.4395923316478729,0.8893656730651855,0.7192842364311218,,,,,,,,,,,,0.47047165036201477,0.5978627800941467,,0.5754612684249878,0.6739599704742432,0.6293196082115173,0.5604903101921082,,,,0.5564903020858765,,,,,1.0,0.601580023765564,0.44167155027389526,0.8362606167793274,0.5165449976921082,0.6042920351028442,0.48468464612960815,,0.6064457297325134,0.5647148489952087,0.6914499402046204,0.6447464227676392,0.8521184921264648,,0.8082592487335205,0.8578119277954102,0.7090223431587219,,,1.0,0.9374245405197144,,1.0,,0.5095469355583191,0.8099158406257629,0.653536319732666,0.643535315990448,,,0.9275872707366943,,,,,0.9999954104423523,0.6525053381919861,0.7104314565658569,0.9822092652320862,0.8659488558769226,0.3411000072956085,,1.0,1.0,0.8126932382583618,0.7631004452705383,,,,0.3879028260707855,,,0.6974412798881531,0.5735012888908386,0.8892088532447815,,0.7991628646850586,,,,0.5166668891906738,1.0,0.8750202655792236,0.8348678946495056,0.8688271641731262,,,0.5120531916618347,0.7503453493118286,0.4324939250946045,,0.742019534111023,1.0,,,,,,1.0,,,0.7143535017967224,,,1.0,0.6831519603729248,0.8211337327957153,0.8691979050636292,0.770150363445282,,1.0,0.9848453402519226,,,,,0.6589957475662231,,0.14209839701652527
P52125,0.4753470718860626,,,0.331688791513443,0.39526641368865967,0.5562790036201477,,0.3348405063152313,0.34731125831604004,1.0,,,0.9922651648521423,0.5272703170776367,1.0,1.0,1.0,0.6645126938819885,,,,,,,,0.778437077999115,,,,,,,,,,,1.0,0.8078382611274719,0.8322400450706482,1.0,,0.8024306893348694,,0.6115043759346008,,,0.615073561668396,,0.6905162334442139,,0.25942090153694153,0.4742015600204468,0.38205280900001526,0.9155966639518738,0.7811012268066406,,,,,,,,,,,,0.47704654932022095,0.5986959934234619,,0.7805818319320679,0.7391341328620911,,0.611494779586792,,,,0.5486412048339844,,,,,,0.47226428985595703,0.5336050391197205,0.7800115942955017,0.4480776786804199,0.6298506855964661,0.6979591250419617,,0.783022940158844,0.49115318059921265,0.7260220050811768,0.778749406337738,1.0,,0.7260777950286865,0.686261773109436,0.9808067679405212,,,,,,,,0.6115714907646179,0.998507559299469,0.7622805237770081,0.7146250009536743,,,0.8021527528762817,,,,,1.0,0.7327989339828491,0.7046992778778076,0.5769281387329102,0.8950794339179993,0.37361547350883484,,,,0.7416769862174988,0.5588135123252869,,,,0.4030916094779968,,,0.7310507297515869,0.6310912370681763,0.9930269122123718,,0.8869291543960571,,,,0.6001782417297363,,1.0,0.8953620791435242,0.8265969753265381,,,0.643422544002533,0.8836829662322998,0.6034452319145203,,1.0,0.9784520864486694,,,,,,,,,0.6379440426826477,,,1.0,0.7265645265579224,0.8537346124649048,0.8790351748466492,0.7236344218254089,,0.9084528684616089,1.0,,,,,0.9252530932426453,,0.1785314977169037
P5260,0.5896801352500916,,,0.2952483296394348,0.23297685384750366,0.3412943482398987,,0.3881152272224426,0.3579726219177246,1.0,,,0.999607503414154,0.39991775155067444,1.0,1.0,1.0,0.6209295392036438,,,,,,,,0.7382900714874268,,,,,,,,,,,1.0,0.4532618522644043,0.8878782987594604,1.0,,0.7888687252998352,,0.46654394268989563,,,0.7105411887168884,,0.6645287275314331,,0.24379627406597137,0.5234498381614685,0.47146353125572205,0.9230242371559143,0.7918635606765747,,,,,,,,,,,,0.6644522547721863,0.505059540271759,,0.6421041488647461,0.6649995446205139,,0.6591759324073792,,,,0.5530357360839844,,,,,,0.5557423233985901,0.729142963886261,0.7039797306060791,0.41353684663772583,0.6253594756126404,0.3531166911125183,,0.6786903142929077,0.3901618719100952,0.6731782555580139,0.6208024621009827,1.0,,0.8455147743225098,0.7539370059967041,0.9978914856910706,,,,,,,,0.6989457607269287,0.9339833855628967,0.7416378855705261,0.6429872512817383,,,0.8351641297340393,,,,,1.0,0.6697031855583191,0.6351341009140015,0.5638968348503113,0.7015116810798645,0.3381842374801636,,,,0.7025920152664185,0.4744511544704437,,,,0.507955014705658,,,0.46197405457496643,0.6891481876373291,0.9757682681083679,,0.6220386624336243,,,,0.5605196952819824,,1.0,0.8317310810089111,0.8024797439575195,,,0.8186392784118652,0.8853349685668945,0.4584728181362152,,1.0,0.8675093054771423,,,,,,,,,0.5332322716712952,,,1.0,0.665090799331665,0.832075834274292,0.9053663015365601,0.6887753009796143,,0.6624789237976074,1.0,,,,,0.8025447130203247,,0.22380255162715912
P5234,0.46641236543655396,,,0.3297877609729767,0.3823002874851227,0.5777469277381897,,0.26964259147644043,0.31843727827072144,,,,,0.9560062885284424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.41723912954330444,0.4600350856781006,0.4841747283935547,,,,,,,,,,,,,,0.9977470636367798,,,,,1.0,,,,,0.8195960521697998,,,,,,0.7265925407409668,0.9843035340309143,,0.9654257297515869,,0.8305705785751343,,,,,,,,,,,,,,,,,,0.733069658279419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9607889652252197,,,,,,,0.7653244137763977,,0.8172665238380432,,,,,,,,,,,,,,,,0.9868871569633484,,,,,,,,,,,,,0.1878233253955841
P5233,0.373590350151062,,,0.24528923630714417,0.3610185980796814,0.23052309453487396,,0.2450236976146698,0.2669121026992798,1.0,,1.0,0.7394907474517822,0.5140256285667419,1.0,1.0,1.0,0.36862289905548096,,,,,,,,0.5582630038261414,,,,,,,,,,,1.0,0.5357523560523987,0.6342642903327942,1.0,,0.7555833458900452,,0.5906720757484436,,,0.378431111574173,,0.7678747773170471,,0.41912397742271423,0.3934593200683594,0.25847020745277405,0.4562656283378601,0.6563626527786255,,,,,,,,,,,,0.29891496896743774,0.654430627822876,,0.6743764281272888,0.7512908577919006,,0.4681912362575531,,,,0.42669472098350525,,,,,,0.7792285084724426,0.355071485042572,0.46286144852638245,0.34025976061820984,0.5337164402008057,0.39514246582984924,,0.6959146857261658,0.5083475708961487,0.6276934146881104,0.69536292552948,1.0,,0.5421241521835327,0.5589991211891174,0.8177447319030762,,,,,,,,0.34102192521095276,0.7012009024620056,0.5573859214782715,0.4584428071975708,,,0.7775311470031738,,,,,0.7818844318389893,0.7303892374038696,0.5652257204055786,0.4069378674030304,0.7239000201225281,0.269173264503479,,,,0.6248751282691956,0.3776698410511017,,,,0.3767845630645752,,,0.462421178817749,0.3684581518173218,0.5139389634132385,,0.6257365942001343,,,,0.4426754415035248,,1.0,0.7148882746696472,0.7614699602127075,,,0.7193351984024048,0.5737429857254028,0.6077356338500977,,1.0,0.8985018134117126,,,,,,,,,0.3840380609035492,,,1.0,0.7074185013771057,0.7062867879867554,0.6649668216705322,0.6139229536056519,,0.5159096717834473,1.0,,,,,0.568719208240509,,0.11049158126115799
P5245,0.3354940712451935,,,0.2592694163322449,0.3646163046360016,0.7542600631713867,,0.5509287118911743,0.2568749189376831,,,,1.0,0.5029792189598083,1.0,,,0.9386266469955444,,,,,,,,0.9999827742576599,,,,,0.9952990412712097,,,,,,,1.0,0.974169909954071,,,1.0,,0.8502098321914673,,,0.5404579043388367,,,,0.37288185954093933,0.5490647554397583,0.4428102374076843,,0.8542416095733643,,,,,,,,,,,,0.540791928768158,0.6169351935386658,,0.7303556203842163,0.9575960040092468,0.8601991534233093,0.7775269150733948,,,,0.8739646673202515,,,,,1.0,0.813285231590271,0.44018179178237915,0.7224263548851013,0.831781804561615,0.8131476044654846,0.730365514755249,,0.859839677810669,0.7532537579536438,0.9982905983924866,1.0,,,0.999613344669342,0.8489542007446289,,,,,,,,,0.6583685278892517,,0.9999353885650635,0.7213755249977112,,,0.824328601360321,,,,,,0.9302693605422974,0.880103349685669,,,0.6895360350608826,,,,1.0,0.9882295727729797,,,,0.6262216567993164,,,0.907336413860321,0.7381776571273804,0.7383579015731812,,0.8919090628623962,,,,0.7456097602844238,1.0,,1.0,1.0,,,0.4208448529243469,0.7383525967597961,0.5455759763717651,,,,,,,,,,,,0.9833950400352478,,,1.0,0.8059657216072083,1.0,,0.9552910327911377,,,1.0,,,,,,,0.10840195417404175
P5244,0.26039865612983704,,,0.2954346537590027,0.5718002915382385,0.37413710355758667,,0.411582350730896,0.2907119691371918,1.0,,0.9973239302635193,0.8342906832695007,0.44651058316230774,0.9651653170585632,1.0,0.787116289138794,0.4759402871131897,,,,1.0,,,,0.7958420515060425,,,,,0.7509258389472961,,,,,,1.0,0.808948814868927,0.7820224761962891,0.4606300890445709,,0.7245957851409912,1.0,0.4926336109638214,1.0,1.0,0.46134600043296814,1.0,0.8638386726379395,0.9271038770675659,0.3962191641330719,0.4182259440422058,0.2799694836139679,0.8214335441589355,0.4730808734893799,,,,,,,,,,,1.0,0.4472152292728424,0.7005043029785156,,0.6730315089225769,0.6649793982505798,0.734584391117096,0.5834947228431702,1.0,,0.6726535558700562,0.45464983582496643,,,,1.0,0.7281567454338074,0.6725504994392395,0.3330063819885254,0.7182561755180359,0.8513745665550232,0.6788533926010132,0.4132992625236511,0.91642165184021,0.4507618248462677,0.8487541675567627,0.6578037142753601,0.9951296448707581,0.984834611415863,,0.9181313514709473,0.8153418898582458,0.9447989463806152,,,0.7667755484580994,0.7647688984870911,1.0,0.4844253957271576,1.0,0.5977107286453247,0.41578707098960876,0.798354983329773,0.4754156470298767,0.9429752230644226,0.7778858542442322,0.8462740778923035,,,,1.0,1.0,0.4881642758846283,0.6687780022621155,0.6750679016113281,0.941981315612793,0.7656866312026978,0.9989880919456482,,0.8434441089630127,0.5793352127075195,0.8641757369041443,,,,0.3221302330493927,,,,0.3364873230457306,0.7081014513969421,,0.7256134152412415,,,0.7305535674095154,0.5764471888542175,0.7009701728820801,0.6676660180091858,0.9016535878181458,0.8445976376533508,,,0.5355553030967712,0.7588589191436768,0.44589361548423767,0.9997904300689697,0.867972195148468,,,,0.8677921891212463,1.0,,,1.0,,0.8494349718093872,,,0.9557704925537109,0.6199064254760742,0.7553389072418213,0.6294542551040649,0.9140836596488953,0.8794695138931274,0.0,0.9047557711601257,,,,,0.5788959860801697,,0.19884438812732697
